source,line,exclusive_seconds,exclusive_percent
[unknown],0,36.917371,61.580504
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,431,1.341233,2.237261
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,493,0.851643,1.420594
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c,557,0.688878,1.149092
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,404,0.588298,0.981318
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world.c,1353,0.506078,0.844170
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,1016,0.378593,0.631517
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1063,0.362267,0.604284
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,108,0.331928,0.553677
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,549,0.300822,0.501790
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness_barycentric_steps.h,18,0.275349,0.459300
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1444,0.218887,0.365117
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world_cycle.c,1549,0.212044,0.353703
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\int_wrap.h,49,0.202707,0.338128
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,1527,0.175806,0.293255
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_emit.c,2038,0.168382,0.280872
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\render\torirs_frame.c,1985,0.167959,0.280166
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,404,0.166204,0.277239
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,87,0.158206,0.263898
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,533,0.153448,0.255961
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,109,0.149369,0.249157
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,116,0.144483,0.241007
