module,function,source,line,exclusive_seconds,exclusive_percent,inclusive_seconds,inclusive_percent
kernel32,RegisterWaitForInputIdle,[unknown],0,0.000000,0.000000,59.799195,99.760616
torirs-profile,public_all,[unknown],0,0.000000,0.000000,59.799195,99.760616
torirs-profile,main,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\main.c,3117,0.000000,0.000000,59.762082,99.698702
torirs-profile,frame_loop_step,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,790,0.007804,0.013019,58.050665,96.843613
torirs-profile,App_WorldApplyNpcType,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,25119,0.004881,0.008143,53.108516,88.598823
torirs-profile,app_dispatch_clientscript,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,10470,0.884540,1.475643,47.437582,79.138230
torirs-profile,PlatformXIOJs5Cache_Tick,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io_js5_cache.c,107,0.181718,0.303153,22.085095,36.843685
torirs-profile,PlatformXIO_Js5Pump,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io.c,959,0.011718,0.019549,21.785254,36.343472
torirs-profile,js5_validate_local_group,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1017,0.083965,0.140075,21.186636,35.344821
torirs-profile,dat2_file_store_get,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,702,0.080019,0.133493,20.698129,34.529865
torirs-profile,js5_rscache_read_raw,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5_rscache.c,17,0.076149,0.127036,19.863891,33.138139
ntdll,KiFastSystemCallRet,[unknown],0,14.987113,25.002404,14.987113,25.002404
msvcrt,wscanf,[unknown],0,0.180585,0.301263,9.878696,16.480235
torirs-profile,Task_GameProtoExec_Run,C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_gameproto_exec.c,146,0.000000,0.000000,9.402709,15.686165
ntdll,RtlInitializeCriticalSection,[unknown],0,0.591521,0.986811,8.638053,14.410520
