source,line,exclusive_seconds,exclusive_percent
[unknown],0,39.290807,65.547289
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,51,0.903964,1.508047
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_iface_stats.c,115,0.529639,0.883576
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,395,0.472018,0.787449
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,422,0.425244,0.709418
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,484,0.368890,0.615405
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,52,0.350470,0.584675
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\datatypes\sound_vorbis.c,1656,0.305649,0.509902
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,549,0.257852,0.430164
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,315,0.253754,0.423328
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,87,0.243135,0.405612
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,1470,0.223512,0.372876
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,490,0.214335,0.357567
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,167,0.209946,0.350245
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c,463,0.202210,0.337339
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\datatypes\sound_vorbis.c,1650,0.192423,0.321012
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,173,0.186387,0.310942
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,1029,0.173948,0.290191
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,1463,0.170083,0.283743
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,533,0.149408,0.249251
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,469,0.147482,0.246038
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\uitree_from_component.c,126,0.136741,0.228120
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,269,0.123058,0.205293
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,5468,0.120181,0.200493
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,12173,0.119068,0.198636
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,357,0.107369,0.179119
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,5947,0.106459,0.177601
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,174,0.106389,0.177485
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_iface_stats.c,120,0.100685,0.167969
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\uitree_from_component.c,242,0.100615,0.167852
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,468,0.098669,0.164606
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness_barycentric_steps.h,18,0.095653,0.159574
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,9831,0.093746,0.156393
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,6028,0.093702,0.156319
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,9856,0.092793,0.154803
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,816,0.091821,0.153181
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,409,0.091789,0.153128
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\reference_table.c,74,0.090953,0.151733
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,1617,0.088845,0.148217
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\world_sharelight.u.c,208,0.085941,0.143372
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,116,0.085829,0.143185
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,177,0.081016,0.135156
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\world_sharelight.u.c,124,0.080090,0.133611
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\datatypes\sound_vorbis.c,113,0.079098,0.131956
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,531,0.078163,0.130396
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1063,0.078124,0.130331
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,3614,0.077112,0.128643
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_iface_stats.c,127,0.076253,0.127210
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,377,0.076231,0.127173
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,588,0.072245,0.120523
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,22330,0.071286,0.118924
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,22332,0.070314,0.117302
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,1032,0.070296,0.117272
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,11518,0.068350,0.114026
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,238,0.068346,0.114019
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,340,0.067417,0.112469
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,537,0.066424,0.110813
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,715,0.065389,0.109086
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_iface_stats.c,123,0.064553,0.107691
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\dat2disk.c,663,0.063435,0.105826
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,358,0.061244,0.102171
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world_cycle.c,1549,0.060598,0.101093
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,591,0.060524,0.100970
