0.001955 sym342
0.007814 sym342
0.002930 sym340 sym346
0.002927 sym520 sym352
0.002925 sym520 sym606
0.002925 sym520 sym607
0.012694 sym520 sym544
0.001953 sym520 sym404 sym170
0.001951 sym520 sym351 sym170
0.002925 sym520 sym354 sym170
0.002929 sym520 sym357 sym170
0.002929 sym520 sym603 sym170
0.002931 sym520 sym605 sym170
0.002926 sym520 sym608 sym170
0.002929 sym520 sym614 sym170
0.004886 sym472 sym1 sym1 sym509
0.001971 sym534 sym1 sym1 sym509
0.001952 sym19 sym345 sym1 sym1 sym509
0.002927 sym88 sym345 sym1 sym1 sym509
0.001951 sym88 sym345 sym1 sym1 sym509
0.002926 sym88 sym345 sym1 sym1 sym509
0.001951 sym360 sym370 sym495 sym495 sym347
0.019527 sym472 sym345 sym1 sym1 sym509
0.003909 sym472 sym345 sym1 sym1 sym509
0.001951 sym476 sym345 sym1 sym1 sym509
0.035159 sym534 sym345 sym1 sym1 sym509
0.075167 sym534 sym364 sym495 sym495 sym347
0.003903 sym33 sym88 sym345 sym1 sym1 sym509
0.070314 sym33 sym88 sym345 sym1 sym1 sym509
0.020500 sym33 sym88 sym345 sym1 sym1 sym509
0.061519 sym33 sym88 sym345 sym1 sym1 sym509
0.005864 sym33 sym88 sym345 sym1 sym1 sym509
0.004884 sym33 sym88 sym345 sym1 sym1 sym509
0.001949 sym33 sym88 sym345 sym1 sym1 sym509
0.001950 sym33 sym88 sym345 sym1 sym1 sym509
0.002928 sym35 sym88 sym345 sym1 sym1 sym509
0.001953 sym35 sym88 sym345 sym1 sym1 sym509
0.002931 sym61 sym19 sym345 sym1 sym1 sym509
0.003926 sym149 sym89 sym345 sym1 sym1 sym509
0.001952 sym341 sym19 sym345 sym1 sym1 sym509
0.001958 sym341 sym19 sym345 sym1 sym1 sym509
0.001955 sym341 sym19 sym345 sym1 sym1 sym509
0.001952 sym341 sym19 sym345 sym1 sym1 sym509
0.001954 sym341 sym19 sym345 sym1 sym1 sym509
0.001953 sym341 sym19 sym345 sym1 sym1 sym509
0.001953 sym341 sym19 sym345 sym1 sym1 sym509
0.001953 sym341 sym19 sym345 sym1 sym1 sym509
0.001952 sym341 sym19 sym345 sym1 sym1 sym509
0.001953 sym341 sym19 sym345 sym1 sym1 sym509
0.001953 sym344 sym19 sym345 sym1 sym1 sym509
0.001955 sym344 sym19 sym345 sym1 sym1 sym509
0.001953 sym344 sym19 sym345 sym1 sym1 sym509
0.001952 sym344 sym19 sym345 sym1 sym1 sym509
0.001952 sym344 sym19 sym345 sym1 sym1 sym509
0.007814 sym344 sym19 sym345 sym1 sym1 sym509
0.003907 sym344 sym19 sym345 sym1 sym1 sym509
0.001954 sym344 sym19 sym345 sym1 sym1 sym509
0.005863 sym344 sym19 sym345 sym1 sym1 sym509
0.003907 sym344 sym19 sym345 sym1 sym1 sym509
0.001952 sym344 sym19 sym345 sym1 sym1 sym509
0.001937 sym344 sym19 sym345 sym1 sym1 sym509
0.001952 sym344 sym19 sym345 sym1 sym1 sym509
0.001954 sym344 sym19 sym345 sym1 sym1 sym509
0.005861 sym344 sym19 sym345 sym1 sym1 sym509
0.001954 sym344 sym19 sym345 sym1 sym1 sym509
0.001954 sym344 sym19 sym345 sym1 sym1 sym509
0.003905 sym344 sym19 sym345 sym1 sym1 sym509
0.001954 sym344 sym19 sym345 sym1 sym1 sym509
0.060547 sym472 sym88 sym345 sym1 sym1 sym509
0.001951 sym524 sym486 sym345 sym1 sym1 sym509
0.002919 sym526 sym88 sym345 sym1 sym1 sym509
0.001945 sym534 sym88 sym345 sym1 sym1 sym509
0.017540 sym534 sym486 sym345 sym1 sym1 sym509
0.001954 sym25 sym35 sym88 sym345 sym1 sym1 sym509
0.002925 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.005854 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.001942 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.022457 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.002926 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.100685 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.064553 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.076253 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.003256 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.526383 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.007829 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.009779 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.011744 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.003911 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.007830 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.033288 sym26 sym35 sym88 sym345 sym1 sym1 sym509
0.002941 sym32 sym35 sym88 sym345 sym1 sym1 sym509
0.006862 sym32 sym35 sym88 sym345 sym1 sym1 sym509
0.003907 sym32 sym35 sym88 sym345 sym1 sym1 sym509
0.001958 sym32 sym35 sym88 sym345 sym1 sym1 sym509
0.001952 sym80 sym110 sym89 sym345 sym1 sym1 sym509
0.001948 sym92 sym33 sym88 sym345 sym1 sym1 sym509
0.002926 sym109 sym35 sym88 sym345 sym1 sym1 sym509
0.002951 sym109 sym110 sym88 sym345 sym1 sym1 sym509
0.009801 sym147 sym150 sym19 sym345 sym1 sym1 sym509
0.010767 sym147 sym150 sym19 sym345 sym1 sym1 sym509
0.001953 sym147 sym150 sym19 sym345 sym1 sym1 sym509
0.001954 sym147 sym150 sym19 sym345 sym1 sym1 sym509
0.001964 sym147 sym150 sym19 sym345 sym1 sym1 sym509
0.003904 sym147 sym150 sym19 sym345 sym1 sym1 sym509
0.005866 sym147 sym150 sym19 sym345 sym1 sym1 sym509
0.003905 sym147 sym150 sym19 sym345 sym1 sym1 sym509
0.003916 sym147 sym150 sym19 sym345 sym1 sym1 sym509
0.003918 sym147 sym150 sym19 sym345 sym1 sym1 sym509
0.003920 sym147 sym150 sym19 sym345 sym1 sym1 sym509
0.002932 sym306 sym33 sym88 sym345 sym1 sym1 sym509
0.001954 sym306 sym33 sym88 sym345 sym1 sym1 sym509
0.001956 sym306 sym33 sym88 sym345 sym1 sym1 sym509
0.001957 sym314 sym35 sym88 sym345 sym1 sym1 sym509
0.001954 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.001953 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.001952 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.003906 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.003904 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.001953 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.001952 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.001952 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.001952 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.001953 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.005858 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.001963 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.001953 sym341 sym341 sym19 sym345 sym1 sym1 sym509
0.001969 sym344 sym341 sym19 sym345 sym1 sym1 sym509
0.001945 sym344 sym341 sym19 sym345 sym1 sym1 sym509
