id,name,examine,cost,is_members,tradeable,ge_tradeable,stacking_behaviour,team,weight,category,shift_click_drop_index,noted_id,noted_template,placeholder_id,placeholder_template,bought_id,bought_template,inv_model,wearpos_1,wearpos_2,wearpos_3,male_model_0,male_model_1,male_model_2,male_head_model,male_head_model_2,male_offset,female_model_0,female_model_1,female_model_2,female_head_model,female_head_model_2,female_offset,zoom2d,xan2d,yan2d,zan2d,offset_x2d,offset_y2d,resize_x,resize_y,resize_z,ambient,contrast,recolors,retextures,ground_op1,ground_op2,ground_op3,ground_op4,ground_op5,inv_op1,inv_op2,inv_op3,inv_op4,inv_op5,stack_ids,stack_counts,params,record_bytes,decoded_bytes,stop_opcode
0,Dwarf remains,The body of a Dwarf savaged by Goblins.,1,true,false,false,0,0,16000,0,-2,-1,-1,17851,-1,-1,-1,2595,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1780,320,436,0,-4,12,128,128,128,0,0,,,,,,,,,,,,Destroy,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,92,92,-1
1,Toolkit,Good for repairing broken cannons.,1,true,false,false,0,0,453,0,-2,-1,-1,17852,-1,-1,-1,2679,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1164,477,2026,0,-3,2,128,128,128,0,0,,,,,,,,,,,,Destroy,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,81,81,-1
2,Steel cannonball,Ammo suited for a boat's cannon or for a dwarf multicannon.,5,true,true,true,1,0,3628,1176,-2,-1,-1,17853,-1,-1,-1,2413,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1400,156,1852,0,1,0,128,128,128,0,0,12>55 158>61,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,2456=8085,132,132,-1
3,Nulodion's notes,Construction notes for Dwarf cannon ammo.,1,true,false,false,0,0,28,0,-2,-1,-1,17854,-1,-1,-1,2794,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,844,285,1958,0,2,3,128,128,128,0,0,5018>18712 10351>10452,,,,,,,Read,,,,Destroy,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,113,113,-1
4,Ammo mould,Used to make cannon ammunition.,5,true,false,false,0,0,4535,0,-2,-1,-1,17855,-1,-1,-1,2706,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2160,308,88,0,8,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,74,74,-1
5,Instruction manual,An old note book.,10,true,false,false,0,0,510,0,-2,-1,-1,17856,-1,-1,-1,2794,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,844,285,1958,0,2,3,128,128,128,0,0,5018>4391 10351>10452,,,,,,,Read,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,87,87,-1
6,Cannon base,The cannon is built on this.,187500,true,true,true,0,0,10000,75,-2,7,-1,17857,-1,-1,-1,2461,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2590,188,1756,0,-2,-4,128,128,128,0,0,,,,,,,,Set-up,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,89,89,-1
7,null,,1,false,true,false,0,0,0,0,-2,6,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
8,Cannon stand,The mounting for the multicannon.,187500,true,true,true,0,0,907,75,-2,9,-1,17858,-1,-1,-1,2642,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1750,268,1456,0,0,106,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,84,84,-1
9,null,,1,false,true,false,0,0,0,0,-2,8,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
