npc_id,npc_name,gameval,framemap_id,seed_seqs,strict_covers
0,Tool Leprechaun,farming_tools_leprechaun,2402,2904 12042,true
1,Molanisk,molanisk,1392,6010 6011,true
2,Aberrant spectre,slayer_abberant_spectre_1,815,1506 1505,true
3,Aberrant spectre,slayer_abberant_spectre_2,815,1506 1505,true
4,Aberrant spectre,slayer_abberant_spectre_3,815,1506 1505,true
5,Aberrant spectre,slayer_abberant_spectre_4,815,1506 1505,true
6,Aberrant spectre,slayer_aberrantspectre_1_strongholdcave,815,1506 1505,true
7,Aberrant spectre,slayer_aberrantspectre_2_strongholdcave,815,1506 1505,true
8,Nechryael,slayer_nechryael,802,1527 1526,true
9,Skylark,sailing_skylark,2248,13236,true
10,Death spawn,slayer_nechryael_spawn,0,1539,false
11,Nechryael,slayer_nechryael_strongholdcave,802,1527 1526,true
12,Hudo,gnome_hudo,2402,2331 12042,false
13,Piles,wilderness_resource_certer,0,808 819 820 821 822,true
14,Rometti,gnome_rometti,2402,2331 12042,true
15,Gulluck,gnome_gulluck,2402,2331 12042,true
16,Heckel Funch,gnome_heckelfunch,2402,2331 12042,false
17,Rug Merchant,magic_carpet_seller1,0,808 819 820 821 822,true
18,Rug Merchant,magic_carpet_seller2,0,808 819 820 821 822,true
19,Rug Merchant,magic_carpet_seller3,0,808 819 820 821 822,true
20,Rug Merchant,magic_carpet_seller4,0,1144,false
21,,magic_carpet_seller5,0,1144,true
22,Rug Merchant,magic_carpet_seller8,0,808 819 820 821 822,true
23,Monkey,magic_carpet_monkey,320,222 219,true
24,,magic_carpet_multi_monkey1,320,222 219,true
25,,magic_carpet_multi_monkey2,320,222 219,true
26,Zombie,zombie_unarmed,1288,5565 5566 5790 5788 5789,true
27,Zombie,zombie_unarmed2,1288,5565 5566 5790 5788 5789,true
28,Zombie,zombie_unarmed3,1288,5565 5566 5790 5788 5789,true
29,Zombie,zombie_unarmed4,1288,5565 5566 5790 5788 5789,true
30,Zombie,zombie_unarmed5,1288,5565 5566 5790 5788 5789,true
31,Zombie,zombie_unarmed6,1288,5565 5566 5790 5788 5789,true
32,Zombie,zombie_unarmed_city1,1288,5565 5566 5790 5788 5789,true
33,Zombie,zombie_unarmed_city2,1288,5565 5566 5790 5788 5789,true
34,Zombie,zombie_unarmed_city3,1288,5565 5566 5790 5788 5789,true
35,Zombie,zombie_unarmed_city4,1288,5565 5566 5790 5788 5789,true
36,Zombie,zombie_unarmed_city5,1288,5565 5566 5790 5788 5789,true
37,Zombie,zombie_unarmed_city6,1288,5565 5566 5790 5788 5789,true
38,Zombie,zombie_unarmed_sewer1,1288,5565 5566 5790 5788 5789,true
39,Zombie,zombie_unarmed_sewer2,1288,5565 5566 5790 5788 5789,true
40,Zombie,zombie_unarmed_sewer3,1288,5565 5566 5790 5788 5789,true
41,Zombie,zombie_unarmed_sewer4,1288,5565 5566 5790 5788 5789,true
42,Zombie,zombie2,1288,5576 5577 5793 5792 5791,true
43,Zombie,zombie2_b,1288,5565 5566 5790 5788 5789,true
44,Zombie,zombie2_c,1288,5572 5570 5790 5788 5789,true
45,Zombie,zombie2_rural1,1288,5565 5566 5790 5788 5789,true
46,Zombie,zombie2_rural2,1288,5565 5566 5790 5788 5789,true
47,Zombie,zombie2_rural3,1288,5565 5566 5790 5788 5789,true
48,Zombie,zombie2_rural4,1288,5565 5566 5790 5788 5789,true
49,Zombie,zombie_armed,1288,5572 5570 5790 5788 5789,true
50,Zombie,zombie_armed2,1288,5572 5570 5790 5788 5789,true
51,Zombie,zombie_armed3,1288,5576 5577 5793 5792 5791,true
52,Zombie,zombie_armed_city1,1288,5572 5570 5790 5788 5789,true
53,Zombie,zombie_armed_city2,1288,5572 5570 5790 5788 5789,true
54,Zombie,zombie_armed_city3,1288,5572 5570 5790 5788 5789,true
55,Zombie,zombie_armed_sewer1,1288,5572 5570 5790 5788 5789,true
56,Zombie,zombie_armed_sewer2,1288,5565 5570 5790 5788 5789,true
57,Zombie,zombie_armed_sewer3,1288,5572 5570 5790 5788 5789,true
58,Zombie,zombie_armed_sewer4,1288,5576 5577 5793 5792 5791,true
59,Zombie,zombie_armed_rural1,1288,5572 5570 5790 5788 5789,true
60,Zombie,zombie_armed_rural2,1288,5572 5570 5790 5788 5789,true
61,Zombie,zombie_armed_rural3,1288,5572 5570 5790 5788 5789,true
62,Zombie,zombie_armed_rural4,1288,5572 5570 5790 5788 5789,true
63,Zombie,zombie_armed_rural5,1288,5572 5570 5790 5788 5789,true
64,Zombie,zombie_entranan,1288,5572 5570 5790 5788 5789,true
65,Zombie,zombie_entranan2,1288,5572 5570 5790 5788 5789,true
66,Zombie,zombie_entranan3,1288,5572 5570 5790 5788 5789,true
67,Zombie,zombie_entranan4,1288,5572 5570 5790 5788 5789,true
68,Zombie,zombie_entranan5,1288,5572 5570 5790 5788 5789,true
69,Summoned Zombie,summonedzombie,1288,5565 5566 5790 5788 5789,true
70,Skeleton,skeleton_unarmed,1291,5483 5481,true
71,Skeleton,skeleton_unarmed2,1291,5483 5479,true
72,Skeleton,skeleton_unarmed3,1291,5483 5479,true
73,Skeleton,skeleton_unarmed4,1291,5483 5481,true
74,Skeleton,skeleton_unagressive,1291,5483 5481,true
75,Skeleton,skeleton_unagressive2,1291,5483 5479,true
76,Skeleton,skeleton_unagressive3,1291,5483 5479,true
77,Skeleton,skeleton_armed,1291,5483 5481,true
78,Skeleton,skeleton_armed2,1291,5483 5481,true
79,Skeleton,skeleton_armed3,1291,5483 5481,true
80,Skeleton,skeleton_armed4,1291,5483 5481,true
81,Skeleton,skeleton_armed5,1291,5483 5479,true
82,Skeleton,giantskeleton,1291,5493 5497,true
83,Skeleton,giantskeleton2,1291,5495 5497,true
84,Skeleton Mage,skeletonmage,1291,5483 5479,true
85,Ghost,ghost,1290,5538 5539,true
86,Ghost,ghost2,1289,5530 5531,true
87,Ghost,ghost3,1289,5530 5531,true
88,Ghost,ghost4,1289,5530 5531,true
89,Ghost,ghost5,1289,5530 5531,true
90,Ghost,ghost6,1289,5530 5531,true
91,Ghost,ghost7,1289,5530 5531,true
92,Ghost,ghost8,1289,5530 5531,true
93,Ghost,ghost_unaggressive,1290,5538 5539,true
94,Ghost,ghost2_unaggressive,1289,5530 5531,true
95,Ghost,ghost3_unaggressive,1289,5530 5531,true
96,Ghost,ghost4_unaggressive,1289,5530 5531,true
97,Ghost,ghost5_unaggressive,1289,5530 5531,true
98,Ghost,ghost6_unaggressive,1289,5530 5531,true
99,Ghost,ghost7_unaggressive,1289,5530 5531,true
100,Rock Crab,horror_rockcrab,539,1310 1311,true
101,Rocks,horror_rockcrab_inactive,539,1315 1311,true
102,Rock Crab,horror_rockcrab_small,539,1310 1311,true
103,Rocks,horror_rockcrab_small_inactive,539,1315 1311,true
104,Hellhound,hellhound,1491,6561 6583,true
105,Hellhound,hellhound_strongholdcave,1491,6561 6583,true
106,Wolf,wolf,1491,6580 6556,true
107,White wolf,whitewolf_sentry,1491,6580 6556,true
108,White wolf,whitewolf,1491,6580 6556,true
109,Big Wolf,wolfpack_leader_whiter,1491,6580 6556,true
110,Wolf,pack_wolf_whiter,1491,6580 6556,true
111,Dog,dog,1491,6561 6560,true
112,Wild dog,dog_wild,1491,6561 6560,true
113,Wild dog,dog_wild_2,1491,6561 6560,true
114,Guard dog,guarddog,1491,6561 6560,true
115,Big Wolf,wolfpack_leader,1491,6580 6556,true
116,Wolf,pack_wolf,1491,6580 6556,true
117,Wolf,pack_wolf2,1491,6580 6556,true
118,Ignatius Vulcan,skillcapes_firemaster,0,808 819 820 821 822,true
119,,cws_doomsayer,0,813 1146 820 821 822,true
120,Aggie,aggie_1op,0,808 819 820 821 822,true
121,Aggie,aggie_2ops,0,808 819 820 821 822,true
122,,grandtree_charlie_multi,0,808 819 820 821 822,true
123,,yama_throne,2425,12153,true
129,Tentacle,poh_tentacle_monster,416,3617,false
130,Skeleton,poh_skeleton,1291,5483 5479,true
131,Guard dog,poh_guarddog,1491,6561 6560,true
132,Hobgoblin,poh_hobgoblin,312,166 162,true
133,Troll,poh_troll,461,286 283,true
134,Huge spider,poh_giantspider,1248,5318 5317,true
135,Hellhound,poh_hellhound,1491,6561 6583,true
136,Ogre,poh_ogre,321,357 358,true
137,Baby red dragon,poh_babyreddragon,1080,27 21,true
138,Kalphite Soldier,poh_kalphite_soldier,1422,6218 6220,true
139,Steel dragon,poh_steel_dragon,1080,6496 79,true
140,Dagannoth,poh_dagganoth,538,1338 1339,true
141,Tok-Xil,poh_tok_xil,164,2631 2632,true
142,Demon,poh_demon,1078,66 63,true
143,Rocnar,poh_oub_monster1,423,3707 3708,true
154,Treasure fairy,poh_treasure_hunt_fairy,299,112 106,false
