npc_id,npc_name,gameval,models,seed_seqs,framemaps,rig_match_seqs,rig_match_skeletal,animaya_skinned,strict_covers,name_match_seqs,name_matches_outside_rig
26000,Dreadfowl,,120000,23000 23001,10000,3,0,false,true,0,0
26016,Spirit terrorbird,,120032,23032 23033,10032,3,0,false,false,0,0
26032,Spirit spider,,120064,23064 23065,10064,3,0,false,true,0,0
26048,Thorny snail,,120096,23096 23097,10096,3,0,false,true,0,0
26064,Granite crab,,120128,23128 23129,10128,3,0,false,true,0,0
26080,Spirit mosquito,,120160,23160 23161,10160,4,0,false,false,0,0
26096,Desert wyrm,,120192,23192 23193,10192,5,0,false,true,0,0
26112,Spirit scorpion,,120224,23224 23225,10224,2,0,false,false,0,0
26128,Spirit Tz-Kih,,120256,23256 23257,10256,4,0,false,true,0,0
26144,Albino rat,,120288,23288 23289,10288,3,0,false,false,0,0
26160,Spirit kalphite,,120320,23320 23321,10320,2,0,false,false,0,0
26176,Compost mound,,120352,23352 23353,10352,3,0,false,false,0,0
26192,Giant chinchompa,,120384,23384 23385,10384,2,0,false,false,0,0
26208,Vampire bat,,120416,23416 23417,10416,7,0,false,false,0,0
26224,Honey badger,,120448,23448 23449,10448,2,0,false,false,0,0
26240,Beaver,,120480,23480 23481,10480,2,0,false,true,0,0
26256,Void ravager,,120512,23512 23513,10512,2,0,false,false,0,0
26272,Void spinner,,120544,23544 23545,10544,2,0,false,true,0,0
26288,Void torcher,,120576,23576 23577,10576,2,0,false,false,0,0
26304,Bronze minotaur,,120608,23608 23609,10608,12,0,false,false,0,0
26320,Iron minotaur,,120640,23640 23641,10608,12,0,false,false,0,0
26336,Steel minotaur,,120672,23672 23673,10608,12,0,false,false,0,0
26352,Mithril minotaur,,120704,23704 23705,10608,12,0,false,false,0,0
26368,Adamant minotaur,,120736,23736 23737,10608,12,0,false,false,0,0
26384,Rune minotaur,,120768,23768 23769,10608,12,0,false,false,0,0
26400,Bull ant,,120800,23800 23801,10160,4,0,false,true,0,0
26416,Macaw,,120832,23832 23833,10832,6,0,false,false,0,0
26432,Evil turnip,,120864,23864 23865,10864,2,0,false,false,0,0
26448,Spirit cockatrice,,120896,23896 23897,10896,14,0,false,false,0,0
26464,Spirit guthatrice,,120928,23928 23929,10896,14,0,false,false,0,0
26480,Spirit saratrice,,120960,23960 23961,10896,14,0,false,false,0,0
26496,Spirit zamatrice,,120992,23992 23993,10896,14,0,false,false,0,0
26512,Spirit pengatrice,,121024,24024 24025,10896,14,0,false,false,0,0
26528,Spirit coraxatrice,,121056,24056 24057,10896,14,0,false,false,0,0
26544,Spirit vulatrice,,121088,24088 24089,10896,14,0,false,false,0,0
26560,Pyrelord,,121120,24120 24121,11120,3,0,false,true,0,0
26576,Magpie,,121152,24152 24153,10832,6,0,false,false,0,0
26592,Bloated leech,,121184,24184 24185,11184,2,0,false,true,0,0
26608,Abyssal parasite,,121216,24216 24217,11216,2,0,false,true,0,0
26624,Spirit jelly,,121248,24248 24249,11248,2,0,false,true,0,0
26640,Ibis,,121280,24280 24281,11280,5,0,false,false,0,0
26656,Spirit kyatt,,121312,24312 24313,11312,6,0,false,false,0,0
26672,Spirit larupia,,121344,24344 24345,11312,6,0,false,false,0,0
26688,Spirit graahk,,121376,24376 24377,11312,6,0,false,false,0,0
26704,Karamthulhu overlord,,121408,24408 24409,11408,2,0,false,false,0,0
26720,Smoke devil,,121440,24440 24441,11440,2,0,false,true,0,0
26736,Abyssal lurker,,121472,24472 24473,11280,5,0,false,false,0,0
26752,Spirit cobra,,121504,24504 24505,10192,5,0,false,false,0,0
26768,Stranger plant,,121536,24536 24537,11536,2,0,false,false,0,0
26784,Barker toad,,121568 121569,24568 24569,11568,2,0,false,false,0,0
26800,War tortoise,,121600,24600 24601,11600,3,0,false,false,0,0
26816,Bunyip,,121632,24632 24633,11632,2,0,false,false,0,0
26832,Fruit bat,,121664,24664 24665,10416,7,0,false,false,0,0
26848,Ravenous locust,,121696,24696 24697,11696,2,0,false,true,0,0
26864,Arctic bear,,121728,24728 24729,11728,3,0,false,false,0,0
26896,Obsidian golem,,121792,24792 24793,11792,2,0,false,false,0,0
26912,Granite lobster,,121824,24824 24825,11824,3,0,false,true,0,0
26928,Praying mantis,,121856,24856 24857,11856,2,0,false,true,0,0
26944,Forge regent,,121888,24888 24889,10256,4,0,false,true,0,0
26960,Talon beast,,121920,24920 24921,11920,2,0,false,false,0,0
26976,Giant ent,,121952,24952 24953,11952,2,0,false,false,0,0
26992,Hydra,,121984,24984 24985,11984,2,0,false,false,0,0
27008,Spirit dagannoth,,122016,25016 25017,12016,2,0,false,false,0,0
27024,Unicorn stallion,,122048,25048 25049,12048,3,0,false,false,0,0
27040,Wolpertinger,,122080,25080 25081,12080,2,0,false,true,0,0
27056,Pack yak,,122112,25112 25113,12112,2,0,false,true,0,0
27072,Fire titan,,122144,25144 25145,12144,2,0,false,true,0,0
27088,Moss titan,,122176,25176 25177,12176,10,0,false,false,0,0
27104,Ice titan,,122208,25208 25209,12176,10,0,false,true,0,0
27120,Lava titan,,122240,25240 25241,12240,2,0,false,false,0,0
27136,Swamp titan,,122272,25272 25273,12272,2,0,false,false,0,0
27152,Geyser titan,,122304,25304 25305,12304,2,0,false,true,0,0
27168,Abyssal titan,,122336,25336 25337,12176,10,0,false,false,0,0
27184,Iron titan,,122368,25368 25369,12176,10,0,false,false,0,0
27200,Steel titan,,122400,25400 25401,12176,10,0,false,true,0,0
