npc_id,npc_name,gameval,framemap_id,seed_seqs,strict_covers
26000,Dreadfowl,,10000,23000 23001,true
26016,Spirit terrorbird,,10032,23032 23033,false
26032,Spirit spider,,10064,23064 23065,true
26048,Thorny snail,,10096,23096 23097,true
26064,Granite crab,,10128,23128 23129,true
26080,Spirit mosquito,,10160,23160 23161,false
26096,Desert wyrm,,10192,23192 23193,true
26112,Spirit scorpion,,10224,23224 23225,false
26128,Spirit Tz-Kih,,10256,23256 23257,true
26144,Albino rat,,10288,23288 23289,false
26160,Spirit kalphite,,10320,23320 23321,false
26176,Compost mound,,10352,23352 23353,false
26192,Giant chinchompa,,10384,23384 23385,false
26208,Vampire bat,,10416,23416 23417,false
26224,Honey badger,,10448,23448 23449,false
26240,Beaver,,10480,23480 23481,true
26256,Void ravager,,10512,23512 23513,false
26272,Void spinner,,10544,23544 23545,true
26288,Void torcher,,10576,23576 23577,false
26304,Bronze minotaur,,10608,23608 23609,false
26320,Iron minotaur,,10608,23640 23641,false
26336,Steel minotaur,,10608,23672 23673,false
26352,Mithril minotaur,,10608,23704 23705,false
26368,Adamant minotaur,,10608,23736 23737,false
26384,Rune minotaur,,10608,23768 23769,false
26400,Bull ant,,10160,23800 23801,true
26416,Macaw,,10832,23832 23833,false
26432,Evil turnip,,10864,23864 23865,false
26448,Spirit cockatrice,,10896,23896 23897,false
26464,Spirit guthatrice,,10896,23928 23929,false
26480,Spirit saratrice,,10896,23960 23961,false
26496,Spirit zamatrice,,10896,23992 23993,false
26512,Spirit pengatrice,,10896,24024 24025,false
26528,Spirit coraxatrice,,10896,24056 24057,false
26544,Spirit vulatrice,,10896,24088 24089,false
26560,Pyrelord,,11120,24120 24121,true
26576,Magpie,,10832,24152 24153,false
26592,Bloated leech,,11184,24184 24185,true
26608,Abyssal parasite,,11216,24216 24217,true
26624,Spirit jelly,,11248,24248 24249,true
26640,Ibis,,11280,24280 24281,false
26656,Spirit kyatt,,11312,24312 24313,false
26672,Spirit larupia,,11312,24344 24345,false
26688,Spirit graahk,,11312,24376 24377,false
26704,Karamthulhu overlord,,11408,24408 24409,false
26720,Smoke devil,,11440,24440 24441,true
26736,Abyssal lurker,,11280,24472 24473,false
26752,Spirit cobra,,10192,24504 24505,false
26768,Stranger plant,,11536,24536 24537,false
26784,Barker toad,,11568,24568 24569,false
26800,War tortoise,,11600,24600 24601,false
26816,Bunyip,,11632,24632 24633,false
26832,Fruit bat,,10416,24664 24665,false
26848,Ravenous locust,,11696,24696 24697,true
26864,Arctic bear,,11728,24728 24729,false
26896,Obsidian golem,,11792,24792 24793,false
26912,Granite lobster,,11824,24824 24825,true
26928,Praying mantis,,11856,24856 24857,true
26944,Forge regent,,10256,24888 24889,true
26960,Talon beast,,11920,24920 24921,false
26976,Giant ent,,11952,24952 24953,false
26992,Hydra,,11984,24984 24985,false
27008,Spirit dagannoth,,12016,25016 25017,false
27024,Unicorn stallion,,12048,25048 25049,false
27040,Wolpertinger,,12080,25080 25081,true
27056,Pack yak,,12112,25112 25113,true
27072,Fire titan,,12144,25144 25145,true
27088,Moss titan,,12176,25176 25177,false
27104,Ice titan,,12176,25208 25209,true
27120,Lava titan,,12240,25240 25241,false
27136,Swamp titan,,12272,25272 25273,false
27152,Geyser titan,,12304,25304 25305,true
27168,Abyssal titan,,12176,25336 25337,false
27184,Iron titan,,12176,25368 25369,false
27200,Steel titan,,12176,25400 25401,true
