framemap_id,seq_id,kind,frame_count,seq_name
344,0,classic,14,
344,1,classic,11,
344,2,classic,23,
304,3,classic,35,
304,4,classic,8,
304,5,classic,1,
277,6,classic,16,
1540,7,classic,12,
1540,8,classic,12,
1540,9,classic,23,
335,10,classic,8,
335,11,classic,10,
335,12,classic,10,
0,13,classic,8,
0,14,classic,11,
0,15,classic,12,
284,16,classic,8,
284,17,classic,2,
284,18,classic,13,
284,19,classic,9,
284,20,classic,9,
1080,21,classic,16,
272,22,classic,8,
272,23,classic,8,
272,24,classic,8,
1080,25,classic,17,
1080,26,classic,15,
1080,27,classic,12,
1080,28,classic,36,
273,29,classic,8,
273,30,classic,7,
273,31,classic,6,
273,32,classic,8,
273,33,classic,8,
273,34,classic,8,
273,35,classic,8,
273,36,classic,9,
275,37,classic,8,
275,38,classic,8,
275,39,classic,8,
275,40,classic,8,
275,41,classic,5,
275,42,classic,8,
275,43,classic,2,
275,44,classic,9,
279,45,classic,8,
279,46,classic,8,
279,47,classic,8,
279,48,classic,8,
279,49,classic,7,
279,50,classic,8,
279,51,classic,2,
279,52,classic,5,
281,53,classic,4,
281,54,classic,2,
281,55,classic,4,
281,56,classic,5,
281,57,classic,7,
282,58,classic,8,
282,59,classic,4,
282,60,classic,4,
282,61,classic,26,
282,62,classic,9,
1078,63,classic,20,
1078,64,classic,18,
1078,65,classic,20,
1078,66,classic,11,
1078,67,classic,31,
1078,68,classic,31,
1078,69,classic,27,
286,70,classic,9,
286,71,classic,12,
286,72,classic,12,
285,73,classic,16,
288,74,classic,8,
288,75,classic,4,
288,76,classic,8,
288,77,classic,2,
288,78,classic,9,
1080,79,classic,16,
1080,80,classic,17,
1080,81,classic,30,
1080,82,classic,30,
1080,83,classic,30,
1080,84,classic,30,
294,85,classic,12,
1090,86,classic,20,
291,87,classic,12,
293,88,classic,12,
1080,89,classic,21,
1080,90,classic,12,
1080,91,classic,11,
1080,92,classic,36,
295,93,classic,8,
295,94,classic,5,
295,95,classic,5,
295,96,classic,2,
295,97,classic,5,
297,98,classic,8,
297,99,classic,7,
297,100,classic,6,
297,101,classic,4,
297,102,classic,9,
297,103,classic,25,
297,104,classic,8,
297,105,classic,18,
299,106,classic,8,
299,107,classic,8,
299,108,classic,8,
299,109,classic,8,
299,110,classic,7,
299,111,classic,6,
299,112,classic,2,
299,113,classic,9,
2180,114,classic,5,
2180,115,classic,6,
2180,116,classic,6,
2180,117,classic,5,
2180,118,classic,6,
301,119,classic,8,
301,120,classic,8,
301,121,classic,8,
301,122,classic,8,
301,123,classic,10,
301,124,classic,9,
301,125,classic,2,
301,126,classic,9,
302,127,classic,8,
302,128,classic,7,
302,129,classic,8,
302,130,classic,4,
302,131,classic,9,
302,132,classic,18,
302,133,classic,16,
302,134,classic,16,
303,135,classic,16,
303,136,classic,15,
2180,137,classic,2,
2180,138,classic,1,
2180,139,classic,3,
2180,140,classic,6,
2180,141,classic,6,
306,142,classic,6,
306,143,classic,3,
306,144,classic,3,
306,145,classic,2,
306,146,classic,5,
306,147,classic,13,
306,148,classic,9,
306,149,classic,9,
307,150,classic,9,
307,151,classic,9,
310,152,classic,8,
310,153,classic,8,
310,154,classic,8,
310,155,classic,4,
310,156,classic,9,
311,157,classic,8,
311,158,classic,6,
311,159,classic,8,
311,160,classic,2,
311,161,classic,9,
312,162,classic,8,
312,163,classic,4,
312,164,classic,4,
312,165,classic,8,
312,166,classic,2,
312,167,classic,9,
1240,168,classic,8,
1240,169,classic,12,
1240,170,classic,8,
1240,171,classic,8,
1240,172,classic,19,
1240,173,classic,12,
1240,174,classic,6,
1240,175,classic,10,
316,176,classic,8,
316,177,classic,6,
316,178,classic,6,
316,179,classic,2,
316,180,classic,9,
317,181,classic,5,
317,182,classic,5,
317,183,classic,5,
317,184,classic,5,
317,185,classic,9,
317,186,classic,8,
317,187,classic,2,
317,188,classic,5,
319,189,classic,8,
319,190,classic,6,
319,191,classic,8,
319,192,classic,8,
319,193,classic,4,
319,194,classic,8,
319,195,classic,2,
319,196,classic,9,
319,197,classic,12,
319,198,classic,10,
319,199,classic,16,
319,200,classic,9,
319,201,classic,12,
319,202,classic,8,
319,203,classic,13,
319,204,classic,9,
319,205,classic,1,
319,206,classic,7,
319,207,classic,10,
319,208,classic,1,
319,209,classic,6,
319,210,classic,12,
319,211,classic,8,
319,212,classic,8,
319,213,classic,8,
319,214,classic,8,
319,215,classic,8,
319,216,classic,8,
319,217,classic,8,
319,218,classic,8,
320,219,classic,5,
320,220,classic,6,
320,221,classic,8,
320,222,classic,2,
320,223,classic,9,
819,224,classic,20,
799,225,classic,8,
799,226,classic,2,
799,227,classic,12,
799,228,classic,12,
322,229,classic,8,
322,230,classic,4,
322,231,classic,5,
322,232,classic,2,
322,233,classic,7,
324,234,classic,8,
324,235,classic,2,
324,236,classic,5,
324,237,classic,8,
324,238,classic,9,
331,239,classic,8,
331,240,classic,3,
331,241,classic,6,
331,242,classic,4,
331,243,classic,5,
333,244,classic,4,
333,245,classic,2,
333,246,classic,6,
333,247,classic,7,
333,248,classic,5,
336,249,classic,8,
336,250,classic,3,
336,251,classic,6,
336,252,classic,2,
336,253,classic,7,
337,254,classic,8,
337,255,classic,8,
337,256,classic,4,
337,257,classic,2,
337,258,classic,9,
1291,259,classic,25,
2094,260,classic,19,
2094,261,classic,13,
2094,262,classic,16,
2094,263,classic,16,
2094,264,classic,36,
2091,265,classic,36,
2091,266,classic,14,
2091,267,classic,13,
2091,268,classic,16,
339,269,classic,4,
339,270,classic,3,
339,271,classic,2,
339,272,classic,2,
339,273,classic,5,
340,274,classic,8,
340,275,classic,8,
340,276,classic,8,
340,277,classic,4,
340,278,classic,9,
342,279,classic,4,
342,280,classic,5,
342,281,classic,6,
342,282,classic,5,
461,283,classic,8,
461,284,classic,7,
461,285,classic,4,
461,286,classic,2,
461,287,classic,9,
376,288,classic,8,
376,289,classic,8,
376,290,classic,8,
376,291,classic,2,
376,292,classic,17,
377,293,classic,8,
377,294,classic,8,
377,295,classic,8,
377,296,classic,2,
377,297,classic,9,
2091,298,classic,16,
2100,299,classic,13,
2100,300,classic,50,
2100,301,classic,13,
2100,302,classic,16,
318,303,classic,8,
318,304,classic,9,
318,305,classic,8,
318,306,classic,2,
318,307,classic,9,
308,308,classic,8,
308,309,classic,8,
308,310,classic,8,
308,311,classic,2,
308,312,classic,8,
308,313,classic,9,
280,314,classic,8,
280,315,classic,8,
280,316,classic,8,
280,317,classic,4,
280,318,classic,21,
280,319,classic,7,
280,320,classic,9,
2180,321,classic,6,
2180,322,classic,6,
2180,323,classic,6,
2180,324,classic,6,
2180,325,classic,6,
2180,326,classic,6,
2180,327,classic,10,
2002,328,classic,18,
0,329,classic,20,
0,330,classic,12,
0,331,classic,40,
298,332,classic,12,
298,333,classic,18,
298,334,classic,12,
298,335,classic,11,
341,336,classic,8,
341,337,classic,2,
341,338,classic,8,
341,339,classic,8,
341,340,classic,5,
276,341,classic,8,
276,342,classic,8,
276,343,classic,13,
276,344,classic,12,
276,345,classic,14,
0,346,classic,6,
0,347,classic,17,
375,348,classic,40,
375,349,classic,3,
375,350,classic,20,
375,351,classic,20,
375,352,classic,4,
375,353,classic,9,
375,354,classic,12,
375,355,classic,21,
375,356,classic,4,
321,357,classic,4,
321,358,classic,8,
321,359,classic,8,
321,360,classic,6,
321,361,classic,9,
278,362,classic,64,
0,363,classic,17,
0,364,classic,16,
0,365,classic,11,
431,366,classic,15,
433,367,classic,7,
438,368,classic,8,
443,369,classic,8,
1492,370,classic,12,
440,371,classic,8,
442,372,classic,8,
437,373,classic,2,
444,374,classic,11,
445,375,classic,8,
0,376,classic,8,
0,377,classic,9,
0,378,classic,10,
0,379,classic,10,
0,380,classic,9,
0,381,classic,6,
0,382,classic,9,
0,383,classic,10,
0,384,classic,10,
0,385,classic,11,
0,386,classic,6,
0,387,classic,10,
0,388,classic,10,
0,389,classic,10,
0,390,classic,10,
0,391,classic,10,
0,392,classic,8,
0,393,classic,8,
0,394,classic,8,
0,395,classic,9,
0,396,classic,8,
0,397,classic,10,
0,398,classic,10,
0,399,classic,10,
0,400,classic,6,
0,401,classic,8,
0,402,classic,8,
0,403,classic,10,
0,404,classic,10,
0,405,classic,7,
0,406,classic,20,
0,407,classic,19,
0,408,classic,7,
0,409,classic,5,
0,410,classic,21,
0,411,classic,20,
0,412,classic,6,
0,413,classic,9,
0,414,classic,11,
0,415,classic,10,
0,416,classic,10,
0,417,classic,6,
0,418,classic,9,
0,419,classic,11,
0,420,classic,10,
0,421,classic,10,
0,422,classic,11,
0,423,classic,19,
0,424,classic,11,
0,425,classic,11,
0,426,classic,21,
0,427,classic,9,
0,428,classic,6,
0,429,classic,9,
0,430,classic,10,
0,431,classic,10,
0,432,classic,8,
0,433,classic,6,
0,434,classic,10,
0,435,classic,10,
0,436,classic,10,
0,437,classic,12,
0,438,classic,12,
0,439,classic,5,
0,440,classic,13,
726,441,classic,9,
726,442,classic,9,
726,443,classic,18,
726,444,classic,1,
726,445,classic,1,
758,446,classic,4,
755,447,classic,1,
755,448,classic,1,
725,449,classic,11,
750,450,classic,15,
0,451,classic,10,
2137,452,classic,60,
699,453,classic,17,
697,454,classic,17,
697,455,classic,17,
776,456,classic,8,
771,457,classic,17,
775,458,classic,17,
772,459,classic,13,
773,460,classic,13,
773,461,classic,5,
770,462,classic,15,
770,463,classic,5,
764,464,classic,5,
763,465,classic,10,
720,466,classic,12,
721,467,classic,12,
783,468,classic,6,
781,469,classic,6,
769,470,classic,8,
730,471,classic,7,
723,472,classic,8,
694,473,classic,64,
696,474,classic,12,
728,475,classic,64,
729,476,classic,7,
718,477,classic,32,
719,478,classic,32,
715,479,classic,7,
713,480,classic,25,
782,481,classic,64,
717,482,classic,13,
717,483,classic,12,
717,484,classic,13,
717,485,classic,13,
717,486,classic,13,
717,487,classic,13,
742,488,classic,24,
760,489,classic,13,
754,490,classic,17,
780,491,classic,9,
743,492,classic,10,
732,493,classic,12,
733,494,classic,64,
734,495,classic,8,
745,496,classic,23,
739,497,classic,20,
749,498,classic,17,
746,499,classic,7,
748,500,classic,7,
747,501,classic,7,
702,502,classic,12,
701,503,classic,16,
712,504,classic,39,
703,505,classic,26,
759,506,classic,8,
759,507,classic,8,
759,508,classic,8,
759,509,classic,8,
