npc_id,npc_name,gameval,models,seed_seqs,framemaps,rig_match_seqs,rig_match_skeletal,animaya_skinned,strict_covers,name_match_seqs,name_matches_outside_rig
0,Hans,,40329 28785 28796 40370 28767 28810,9870 9869,0,3038,0,false,false,0,0
1,Man,,215 246 292 326 151 177 12138 181,808 819 820 821 822,0,3038,0,false,true,0,0
2,Man,,217 246 292 326 170 177 274 185,808 819 820 821 822,0,3038,0,false,false,0,0
3,Man,,235 253 292 326 151 177 267 181,808 819 820 821 822,0,3038,0,false,true,0,0
4,Woman,,390 456 332 10706 421 358,808 819 820 821 822,0,3038,0,false,true,0,0
5,Woman,,391 471 332 10706 419 358 414,808 819 820 821 822,0,3038,0,false,false,0,0
6,Woman,,393 456 40401 10706 435 414,808 819 820 821 822,0,3038,0,false,true,0,0
7,Farmer,,40333 40352 40364 40370 28767 28810 40319,7188 7191 7192 7193 7194,0,3038,0,false,false,0,0
8,Thief,,215 246 292 151 179 254 185 320,808 819 820 821 822,0,3038,0,false,false,0,0
9,Guard,,233 246 294 151 176 254 185 519 541,808 819 820 821 822,0,3038,0,false,false,0,0
10,Schoolgirl,,28599,7167 7165,1628,64,0,false,true,0,0
11,Tramp,,18190 203 11190 310 18126 10218 15005 18127,808 819 820 821 822,0,3038,0,false,false,0,0
12,Barbarian,,219 252 311 173 176 274 242 185 550,808 819 820 821 822,0,3038,0,false,false,0,0
13,Wizard,,215 181 246 292 170 176 265 202 3189 326,808 819 820 821 822,0,3038,0,false,false,0,0
14,Druid,,217 181 250 292 170 176 260,808 819 820 821 822,0,3038,0,false,true,0,0
15,Warrior woman,,390 468 337 353 432 361 376 519 541,808 819 820 821 822,0,3038,0,false,false,0,0
16,Man,,215 246 292 151 10218 254 181,808 819 820 821 822,0,3038,0,false,true,0,0
17,Schoolgirl,,28599,7167 7165,1628,64,0,false,true,0,0
18,Al-Kharid warrior,,40313,808 819 820 821 822,0,3038,0,false,false,0,0
19,White Knight,,11744 306 164 13318 546 268 4954,7047 7046 7045 7044 7043,0,3038,0,false,false,0,0
20,Paladin,,217 248 313 156 10218 268 185 518 541 3330,808 819 820 821 822,0,3038,0,false,false,0,0
21,Hero,,217 306 164 179 268 185 518 246 541,808 819 820 821 822,0,3038,0,false,false,0,0
22,Forester,,217 247 292 151 179 274 181 196 326 323 510,808 819 820 821 822,0,3038,0,false,false,0,0
23,Knight of Ardougne,,218 313 164 179 268 185 518 3330,808 819 820 821 822,0,3038,0,false,false,0,0
24,Man,,230 185 299 32592 179 267 252 321 186,808 819 820 821 822,0,3038,0,false,false,0,0
25,Woman,,378 361 462 341 10706 428 483 445,808 819 820 821 822,0,3038,0,false,false,0,0
26,Knight of Ardougne,,232 246 313 164 179 268 185 518 3330,819 820 821 822,0,3038,0,false,false,0,0
27,Archer,,220 185 253 296 151 179 262 563,808 819 820 821 822,0,3038,0,false,false,0,0
28,Zoo keeper,,215 292 250 151 10218 271 185 194 327 495,808 819 820 821 822,0,3038,0,false,false,0,0
29,Chuck,,210 250 315 173 179 271 185 196 510 280,808 819 820 821 822,0,3038,0,false,false,0,0
30,Barman,,230 247 299 32592 176 254 185 321,808 819 820 821 822,0,3038,0,false,false,0,0
31,Priest,,223 249 292 162 176 265 185 325,808 819 820 821 822,0,3038,0,false,false,0,0
32,Guard,,225 301 162 179 274 185 502,808 819 820 821 822,0,3038,0,false,false,0,0
33,Door man,,214 252 295 323 283 170 176 268 183,808 819 820 821 822,0,3038,0,false,false,0,0
34,Watchman,,219 301 167 179 274 185 249,808 819 820 821 822,0,3038,0,false,false,0,0
35,Soldier,,219 301 167 179 274 185 249 518,808 819 820 821 822,0,3038,0,false,false,0,0
36,Wyson the gardener,,230 253 11761 10301 179 40270 185 4843 496,808 819 820 821 822,0,3038,0,false,false,0,0
37,Sigbert the Adventurer,,313 208 167 268 185 179 250 323 553 3330,813 819 820 821 822,0,3038,0,false,false,0,0
38,Shipyard worker,,215 247 305 151 179 254 185,808 819 820 821 822,0,3038,0,false,false,0,0
39,Shipyard worker,,230 246 305 173 179 271 185 491,808 819 820 821 822,0,3038,0,false,false,0,0
40,Shark,,2848,10,335,3,0,false,false,0,0
41,Chicken,,23905,5386 5385,1255,13,0,false,true,0,0
42,Sheep,,20283 20289 20285,5339 5340,1247,13,0,false,false,0,0
43,Sheep,,20290 20291,5335 5334,1247,13,0,false,false,0,0
44,Banker,,215 246 17365 163 10218 12138 181,808,0,3038,0,false,true,0,0
45,Banker,,378 25868 343 353 433 358,808,0,3038,0,false,true,0,0
46,Duck,,26873,6818 6817,1539,15,0,false,false,0,0
47,Rat,,9610,2704 2703,326,6,0,false,true,0,0
48,Oomlie bird,,23905,5386 5385,1255,13,0,false,true,0,0
49,Hellhound,,26256,6561 6583,1491,53,0,false,true,0,0
50,King Black Dragon,,17414 17415 17429 17422,90 4635,1080,54,0,false,true,0,0
51,Baby dragon,,17411 17427 17421,27 21,1080,54,0,false,true,0,0
52,Baby blue dragon,,17411 17427 17421,27 21,1080,54,0,false,true,0,0
53,Red dragon,,17407 17425 17418,90 79,1080,54,0,false,true,0,0
54,Black dragon,,17407 17425 17418,90 79,1080,54,0,false,true,0,0
55,Blue dragon,,17408 17425 17418,90 79,1080,54,0,false,true,0,0
56,Dryad,,2856,96 93,295,5,0,false,false,0,0
57,Fairy,,2857,112 106,299,13,0,false,false,0,0
58,Shadow spider,,20309 20312,5326 5325,1248,24,0,false,true,0,0
59,Giant spider,,20309 20311,5326 5325,1248,24,0,false,true,0,0
60,Giant spider,,20309 20310,5326 5325,1248,24,0,false,true,0,0
61,Spider,,24613,6247 6248,1427,5,0,false,false,0,0
62,Jungle spider,,20315 20313,5326 5325,1248,24,0,false,true,0,0
63,Deadly red spider,,20309 20312,5326 5325,1248,24,0,false,true,0,0
64,Ice spider,,20303 20304,5326 5325,1248,24,0,false,true,0,0
65,Leprechaun,,2909 2896 2915,195 189,319,88,0,false,true,0,0
66,Gnome,,2909 2890 2915,195 189,319,88,0,false,true,0,0
67,Gnome,,2909 2890 2915,195 189,319,88,0,false,true,0,0
68,Gnome,,2909 2890 2915,195 189,319,88,0,false,true,0,0
69,Lizard man,,2888,179 176,316,5,0,false,false,0,0
70,,,,10898 10899,0,3038,0,false,true,0,0
71,Orc,,2926,232 229,322,5,0,false,true,0,0
72,Troll,,3752,286 283,461,49,0,false,true,0,0
73,Zombie,,21104 21057 21037 21086 21113 21073 21140,5565 5566 5790 5788 5789,1288,32,0,false,true,0,0
74,Zombie,,21002 20971 20964 21000 21028 20982 21029,5576 5577 5793 5792 5791,1288,32,0,false,true,0,0
75,Zombie,,21102 21058 21040 21087 21116 21073 21136,5572 5570 5790 5788 5789,1288,32,0,false,true,0,0
76,Zombie,,21104 21057 21037 21086 21113 21073 21133,5572 5570 5790 5788 5789,1288,32,0,false,true,0,0
77,Summoned Zombie,,21111 21067 21049 21098 21125 21081 21140,5565 5566 5790 5788 5789,1288,32,0,false,true,0,0
78,Giant bat,,18898,4914 4913,1153,17,0,false,false,0,0
