id,name,combat_level,size,footprint_size,height,category,is_interactable,is_minimap_visible,is_pet,has_render_priority,render_priority,rotation_flag,low_priority_follower_ops,rotation_speed,width_scale,height_scale,ambient,contrast,stat_74,stat_75,stat_76,stat_77,stat_78,stat_79,varbit_id,varp_index,configs,op1,op2,op3,op4,op5,models,chathead_models,recolors,retextures,bas_type_id,anim_stand,anim_walk,anim_run,anim_idle_rot_left,anim_idle_rot_right,anim_rot180,anim_rot_left,anim_rot_right,anim_run_rot180,anim_run_rot_left,anim_run_rot_right,anim_crawl,anim_crawl_rot180,anim_crawl_rot_left,anim_crawl_rot_right,sound_idle,sound_crawl,sound_walk,sound_run,sound_radius,ambient_sound_volume,head_icons,params,record_bytes,decoded_bytes,stop_opcode
0,Hans,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,,,,,40329 28785 28796 40370 28767 28810,39575,5133>6798 6443>1561 5404>1561 6563>1555 5524>1555,255>292 251>262,1426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,97,97,-1
1,Man,2,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,,,,215 246 292 326 151 177 12138 181,39836 39223,6798>4888 8741>43160 25238>6430 4626>8,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=-21;6=-21;7=-21;9=-21;8=-21,140,140,-1
2,Man,2,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,,,,217 246 292 326 170 177 274 185,39859 39223,6798>8755 8741>3858 25238>12585,203>140,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=-21;6=-21;7=-21;9=-21;8=-21,142,142,-1
3,Man,2,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,,,,235 253 292 326 151 177 267 181,38641 39227,8741>21660 25238>10518,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=-21;6=-21;7=-21;9=-21;8=-21,132,132,-1
4,Woman,2,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,,,,390 456 332 10706 421 358,39066,25238>10508 8741>55194 43072>4550,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=-21;6=-21;7=-21;9=-21;8=-21,130,130,-1
5,Woman,2,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,,,,391 471 332 10706 419 358 414,39068 38861,25238>5652 8741>5784 43072>4550 6798>5921 8741>5784,252>257,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=-21;6=-21;7=-21;9=-21;8=-21,150,150,-1
6,Woman,2,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,Attack,,,,393 456 40401 10706 435 414,39016 38861,8741>557 6024>7830 25238>920 43072>4550 6798>6852,228>426,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=-21;6=-21;7=-21;9=-21;8=-21,158,158,-1
7,Farmer,7,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,25,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,48098,48093,,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=-150;6=-18;5=-18;7=-18;8=-18;9=-18;14=6,114,114,-1
8,Thief,16,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,215 246 292 151 179 254 185 320,39836 39223,25238>47399 8741>6930,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,67,67,-1
9,Guard,21,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,233 246 294 151 176 254 185 49415 541,,25238>10508 8741>6930 61>5652,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,14=4;641=50;5=18;6=25;7=19;9=20;8=-4,135,135,-1
10,Schoolgirl,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,,,,,28599,28686,,,509,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,42,42,-1
11,Tramp,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,,,,,18190 203 11190 310 18126 10218 15005 18127,39635 39212 39452,8741>6558 4550>4418 6798>26 4626>21642 7331>10401 4540>4408,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,89,89,-1
12,Hallvar,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,,Cert-ore,,,11749,39799 39256,,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,55,55,-1
13,Wizard,9,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,215 181 246 292 170 176 265 202 3189 326,39836 39223 39400,8741>38817 25238>39834 6798>127,257>252,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,5=0;6=0;7=0;9=0;8=3,128,128,-1
14,Liquid Gold Nymph,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,25,75,1,1,1,1,1,1,-1,-1,,Talk-to,,,,,74 40,43,,,2021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,58,58,-1
15,Warrior woman,24,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,390 468 337 353 432 361 376 519 541,,6798>6854 4626>24,228>426,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=70;14=4;5=40;6=41;7=37;9=38;8=-10,153,153,-1
16,Man,2,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,215 246 292 151 10218 254 181,,25238>10508 8741>10508 4550>4647 43072>4647 4540>4639,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,77,77,-1
17,Schoolgirl,0,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,Talk-to,,,,,28599,28686,206>6967 41145>23843 6550>0 933>9152,,509,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,,60,60,-1
18,Al-Kharid warrior,9,1,-1,-1,0,true,true,false,false,0,true,false,32,128,128,0,0,1,1,1,1,1,1,-1,-1,,,Attack,,,,40313,,25238>10508 8741>55194 4550>4657 6798>10508 43072>4657 4540>4649,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,255,,641=90;14=4;5=12;6=15;7=10;9=12;8=-1,143,143,-1
