id,name,examine,cost,is_members,tradeable,ge_tradeable,stacking_behaviour,team,weight,category,shift_click_drop_index,noted_id,noted_template,placeholder_id,placeholder_template,bought_id,bought_template,inv_model,wearpos_1,wearpos_2,wearpos_3,male_model_0,male_model_1,male_model_2,male_head_model,male_head_model_2,male_offset,female_model_0,female_model_1,female_model_2,female_head_model,female_head_model_2,female_offset,zoom2d,xan2d,yan2d,zan2d,offset_x2d,offset_y2d,resize_x,resize_y,resize_z,ambient,contrast,recolors,retextures,ground_op1,ground_op2,ground_op3,ground_op4,ground_op5,inv_op1,inv_op2,inv_op3,inv_op4,inv_op5,stack_ids,stack_counts,params,record_bytes,decoded_bytes,stop_opcode
0,Dwarf remains,,1,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2595,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1780,320,436,0,-4,12,128,128,128,0,0,,,,,,,,,,,,Destroy,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,58,58,-1
1,Toolkit,,1,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2679,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1164,477,2026,0,-3,2,128,128,128,0,0,,,,,,,,,,,,Destroy,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,52,52,-1
2,Cannonball,,5,true,true,true,1,0,0,0,-2,-1,-1,-1,-1,-1,-1,2413,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1144,2024,1507,0,1,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,2195=1;764=34,58,58,-1
3,Nulodion's notes,,1,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2794,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,844,285,1958,0,2,3,128,128,128,0,0,5018>18712 10351>10452,,,,,,,Read,,,,Destroy,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,81,81,-1
4,Ammo mould,,5,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2706,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2160,308,88,0,8,0,128,128,128,0,0,,,,,,,,,,,Add-to-toolbelt,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,770=13;771=35,73,73,-1
5,Instruction manual,,10,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2794,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,844,285,1958,0,2,3,128,128,128,0,0,5018>4391 10351>10452,,,,,,,Read,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,79,79,-1
6,Cannon base,,187500,true,true,true,0,0,0,0,-2,7,-1,-1,-1,-1,-1,63866,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2590,362,1702,0,-2,8,128,128,128,0,0,,,,,,,,Set-up,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,2195=30;764=34,78,78,-1
7,null,,1,false,true,false,0,0,0,0,-2,6,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
8,Cannon stand,,187500,true,true,true,0,0,0,0,-2,9,-1,-1,-1,-1,-1,63876,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2390,202,1204,0,0,-28,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,2195=30;764=34,64,64,-1
9,null,,1,false,true,false,0,0,0,0,-2,8,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
10,Cannon barrels,,187500,true,true,true,0,0,0,0,-2,11,-1,-1,-1,-1,-1,63868,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,188,1872,0,0,-3,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,2195=30;764=34,63,63,-1
11,null,,1,false,true,false,0,0,0,0,-2,10,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
12,Cannon furnace,,187500,true,true,true,0,0,0,0,-2,13,-1,-1,-1,-1,-1,63870,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2066,205,1915,0,2,16,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,2195=30;764=34,69,69,-1
13,null,,1,false,true,false,0,0,0,0,-2,12,799,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,0,0,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,,7,7,-1
14,Railing,,1,true,true,false,1,0,0,0,-2,-1,-1,-1,-1,-1,-1,4877,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1730,4,1976,212,4,-3,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,47,47,-1
15,Holy table napkin,,10,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2443,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,670,440,1932,0,-3,10,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,58,58,-1
16,Magic whistle,,10,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2433,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,490,152,1208,0,0,-2,128,128,128,0,0,,,,,,,,Blow,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,57,57,-1
17,Grail bell,,10,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2536,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,830,1132,776,0,2,0,128,128,128,0,0,11179>103,,,,,,,Ring,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,60,60,-1
18,Magic gold feather,,2,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2476,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,700,428,692,0,4,10,128,128,128,0,0,127>10820,,,,,,,Blow-on,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,74,74,-1
19,Holy grail,,3,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2623,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,670,116,2044,0,0,0,128,128,128,0,0,,,,,,,,,,,,Destroy,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,54,54,-1
20,White cog,,1,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2351,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,292,2040,0,0,0,128,128,128,0,0,,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,36,36,-1
21,Black cog,,1,true,true,false,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,2351,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2000,292,2040,0,0,0,128,128,128,0,0,127>0,,,,,,,,,,,,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,1397=1,42,42,-1
