sheet	row	col	sprite	width	height
0	0	0	2x_ancient_spells_off_0	35	14
0	0	1	2x_ancient_spells_off_1	35	30
0	0	2	2x_ancient_spells_off_10	14	35
0	0	3	2x_ancient_spells_off_11	38	40
0	0	4	2x_ancient_spells_off_12	35	14
0	0	5	2x_ancient_spells_off_13	35	30
0	0	6	2x_ancient_spells_off_14	14	35
0	0	7	2x_ancient_spells_off_15	38	40
0	0	8	2x_ancient_spells_off_16	40	40
0	0	9	2x_ancient_spells_off_17	40	40
0	0	10	2x_ancient_spells_off_18	40	40
0	0	11	2x_ancient_spells_off_19	40	40
0	0	12	2x_ancient_spells_off_2	14	35
0	0	13	2x_ancient_spells_off_20	40	40
0	0	14	2x_ancient_spells_off_21	40	40
0	0	15	2x_ancient_spells_off_22	40	40
0	0	16	2x_ancient_spells_off_23	40	40
0	0	17	2x_ancient_spells_off_3	38	40
0	0	18	2x_ancient_spells_off_4	35	14
0	0	19	2x_ancient_spells_off_5	35	30
0	1	0	2x_ancient_spells_off_6	14	35
0	1	1	2x_ancient_spells_off_7	38	40
0	1	2	2x_ancient_spells_off_8	35	14
0	1	3	2x_ancient_spells_off_9	35	30
0	1	4	2x_ancient_spells_on_0	35	14
0	1	5	2x_ancient_spells_on_1	35	30
0	1	6	2x_ancient_spells_on_10	14	35
0	1	7	2x_ancient_spells_on_11	38	40
0	1	8	2x_ancient_spells_on_12	35	14
0	1	9	2x_ancient_spells_on_13	35	30
0	1	10	2x_ancient_spells_on_14	14	35
0	1	11	2x_ancient_spells_on_15	38	40
0	1	12	2x_ancient_spells_on_16	40	40
0	1	13	2x_ancient_spells_on_17	40	40
0	1	14	2x_ancient_spells_on_18	40	40
0	1	15	2x_ancient_spells_on_19	40	40
0	1	16	2x_ancient_spells_on_2	14	35
0	1	17	2x_ancient_spells_on_20	40	40
0	1	18	2x_ancient_spells_on_21	40	40
0	1	19	2x_ancient_spells_on_22	40	40
0	2	0	2x_ancient_spells_on_23	40	40
0	2	1	2x_ancient_spells_on_3	38	40
0	2	2	2x_ancient_spells_on_4	35	14
0	2	3	2x_ancient_spells_on_5	35	30
0	2	4	2x_ancient_spells_on_6	14	35
0	2	5	2x_ancient_spells_on_7	38	40
0	2	6	2x_ancient_spells_on_8	35	14
0	2	7	2x_ancient_spells_on_9	35	30
0	2	8	2x_lunar_spells_off_0	40	40
0	2	9	2x_lunar_spells_off_1	28	40
0	2	10	2x_lunar_spells_off_10	40	40
0	2	11	2x_lunar_spells_off_11	40	40
0	2	12	2x_lunar_spells_off_12	40	40
0	2	13	2x_lunar_spells_off_13	40	40
0	2	14	2x_lunar_spells_off_14	40	40
0	2	15	2x_lunar_spells_off_15	40	40
0	2	16	2x_lunar_spells_off_16	40	32
0	2	17	2x_lunar_spells_off_17	40	34
0	2	18	2x_lunar_spells_off_18	40	40
0	2	19	2x_lunar_spells_off_19	40	40
0	3	0	2x_lunar_spells_off_2	40	32
0	3	1	2x_lunar_spells_off_20	40	40
0	3	2	2x_lunar_spells_off_21	40	40
0	3	3	2x_lunar_spells_off_22	40	34
0	3	4	2x_lunar_spells_off_23	40	38
0	3	5	2x_lunar_spells_off_24	36	40
0	3	6	2x_lunar_spells_off_25	40	40
0	3	7	2x_lunar_spells_off_26	32	32
0	3	8	2x_lunar_spells_off_27	40	40
0	3	9	2x_lunar_spells_off_28	40	40
