algo    grid lvls    fov    yaw eye      scenery     sc_ct  radius      iters       time_s      ns/iter
bucket*   11    1     90      0 center   none            0       5         50     0.000066       1320.0
w3d       11    1     90      0 center   none            0       5         50     0.000156       3120.0
bucket*   11    1     90      0 center   def_heap        4       5         50     0.000072       1440.0
w3d       11    1     90      0 center   def_heap        4       5         50     0.000161       3220.0
bucket*   11    1     90      0 center   def_w3d         4       5         50     0.000070       1400.0
w3d       11    1     90      0 center   def_w3d         4       5         50     0.000163       3260.0
bucket*   11    1     90      0 center   rand20         20       5         50     0.000061       1220.0
w3d       11    1     90      0 center   rand20         20       5         50     0.000143       2860.0
bucket*   11    1     90      0 corner   none            0       5         50     0.000032        640.0
w3d       11    1     90      0 corner   none            0       5         50     0.000094       1880.0
bucket*   11    1     90      0 corner   def_heap        4       5         50     0.000034        680.0
w3d       11    1     90      0 corner   def_heap        4       5         50     0.000094       1880.0
bucket*   11    1     90      0 corner   def_w3d         4       5         50     0.000031        620.0
w3d       11    1     90      0 corner   def_w3d         4       5         50     0.000087       1740.0
bucket*   11    1     90      0 corner   rand20         20       5         50     0.000038        760.0
w3d       11    1     90      0 corner   rand20         20       5         50     0.000105       2100.0
bucket*   11    1     90      0 edge     none            0       5         50     0.000048        960.0
w3d       11    1     90      0 edge     none            0       5         50     0.000133       2660.0
bucket*   11    1     90      0 edge     def_heap        4       5         50     0.000052       1040.0
w3d       11    1     90      0 edge     def_heap        4       5         50     0.000141       2820.0
bucket*   11    1     90      0 edge     def_w3d         4       5         50     0.000055       1100.0
w3d       11    1     90      0 edge     def_w3d         4       5         50     0.000146       2920.0
bucket*   11    1     90      0 edge     rand20         20       5         50     0.000053       1060.0
w3d       11    1     90      0 edge     rand20         20       5         50     0.000131       2620.0
bucket*   11    1     90     45 center   none            0       5         50     0.000053       1060.0
w3d       11    1     90     45 center   none            0       5         50     0.000143       2860.0
bucket*   11    1     90     45 center   def_heap        4       5         50     0.000054       1080.0
w3d       11    1     90     45 center   def_heap        4       5         50     0.000135       2700.0
bucket*   11    1     90     45 center   def_w3d         4       5         50     0.000059       1180.0
w3d       11    1     90     45 center   def_w3d         4       5         50     0.000134       2680.0
bucket*   11    1     90     45 center   rand20         20       5         50     0.000072       1440.0
w3d       11    1     90     45 center   rand20         20       5         50     0.000144       2880.0
bucket*   11    1     90     45 corner   none            0       5         50     0.000028        560.0
w3d       11    1     90     45 corner   none            0       5         50     0.000094       1880.0
bucket*   11    1     90     45 corner   def_heap        4       5         50     0.000033        660.0
w3d       11    1     90     45 corner   def_heap        4       5         50     0.000095       1900.0
bucket*   11    1     90     45 corner   def_w3d         4       5         50     0.000033        660.0
w3d       11    1     90     45 corner   def_w3d         4       5         50     0.000095       1900.0
bucket*   11    1     90     45 corner   rand20         20       5         50     0.000035        700.0
w3d       11    1     90     45 corner   rand20         20       5         50     0.000088       1760.0
bucket*   11    1     90     45 edge     none            0       5         50     0.000051       1020.0
w3d       11    1     90     45 edge     none            0       5         50     0.000124       2480.0
bucket*   11    1     90     45 edge     def_heap        4       5         50     0.000058       1160.0
w3d       11    1     90     45 edge     def_heap        4       5         50     0.000145       2900.0
bucket*   11    1     90     45 edge     def_w3d         4       5         50     0.000066       1320.0
w3d       11    1     90     45 edge     def_w3d         4       5         50     0.000134       2680.0
bucket*   11    1     90     45 edge     rand20         20       5         50     0.000069       1380.0
w3d       11    1     90     45 edge     rand20         20       5         50     0.000132       2640.0
bucket*   11    1     90    180 center   none            0       5         50     0.000051       1020.0
w3d       11    1     90    180 center   none            0       5         50     0.000137       2740.0
