algo   grid lvls    fov    yaw eye      scenery     sc_ct  radius      iters       time_s      ns/iter
heap*    11    1     90      0 center   none            0       5      10000     0.022530       2253.0
w3d      11    1     90      0 center   none            0       5      10000     0.033929       3392.9
heap*    11    1     90      0 center   def_heap        4       5      10000     0.016256       1625.6
w3d      11    1     90      0 center   def_heap        4       5      10000     0.028108       2810.8
heap*    11    1     90      0 center   def_w3d         4       5      10000     0.015289       1528.9
w3d      11    1     90      0 center   def_w3d         4       5      10000     0.027911       2791.1
heap*    11    1     90      0 center   rand20         20       5      10000     0.018045       1804.5
w3d      11    1     90      0 center   rand20         20       5      10000     0.031834       3183.4
heap*    11    1     90      0 corner   none            0       5      10000     0.005852        585.2
w3d      11    1     90      0 corner   none            0       5      10000     0.018726       1872.6
heap*    11    1     90      0 corner   def_heap        4       5      10000     0.006152        615.2
w3d      11    1     90      0 corner   def_heap        4       5      10000     0.018760       1876.0
heap*    11    1     90      0 corner   def_w3d         4       5      10000     0.006209        620.9
w3d      11    1     90      0 corner   def_w3d         4       5      10000     0.018559       1855.9
heap*    11    1     90      0 corner   rand20         20       5      10000     0.007211        721.1
w3d      11    1     90      0 corner   rand20         20       5      10000     0.018586       1858.6
heap*    11    1     90      0 edge     none            0       5      10000     0.009307        930.7
w3d      11    1     90      0 edge     none            0       5      10000     0.022669       2266.9
heap*    11    1     90      0 edge     def_heap        4       5      10000     0.012283       1228.3
w3d      11    1     90      0 edge     def_heap        4       5      10000     0.024337       2433.7
heap*    11    1     90      0 edge     def_w3d         4       5      10000     0.012319       1231.9
w3d      11    1     90      0 edge     def_w3d         4       5      10000     0.024075       2407.5
heap*    11    1     90      0 edge     rand20         20       5      10000     0.012465       1246.5
w3d      11    1     90      0 edge     rand20         20       5      10000     0.023347       2334.7
heap*    11    1     90     45 center   none            0       5      10000     0.013671       1367.1
w3d      11    1     90     45 center   none            0       5      10000     0.026470       2647.0
heap*    11    1     90     45 center   def_heap        4       5      10000     0.018063       1806.3
