algo    grid lvls    fov    yaw eye      scenery     sc_ct  radius      iters       time_s      ns/iter
bucket*   51    2     90      0 center   none            0      25        100     0.007020      70201.0
w3d       51    2     90      0 center   none            0      25        100     0.010157     101572.0
bucket*   51    2     90      0 center   def_heap        4      25        100     0.006117      61173.0
w3d       51    2     90      0 center   def_heap        4      25        100     0.010643     106434.0
bucket*   51    2     90      0 center   def_w3d         4      25        100     0.006031      60315.0
w3d       51    2     90      0 center   def_w3d         4      25        100     0.010681     106811.0
bucket*   51    2     90      0 center   rand20         20      25        100     0.006180      61801.0
w3d       51    2     90      0 center   rand20         20      25        100     0.010750     107498.0
bucket*   51    2     90      0 corner   none            0      25        100     0.003122      31222.0
w3d       51    2     90      0 corner   none            0      25        100     0.007271      72707.0
bucket*   51    2     90      0 corner   def_heap        4      25        100     0.003275      32746.0
w3d       51    2     90      0 corner   def_heap        4      25        100     0.006197      61965.0
bucket*   51    2     90      0 corner   def_w3d         4      25        100     0.003377      33775.0
w3d       51    2     90      0 corner   def_w3d         4      25        100     0.006110      61099.0
bucket*   51    2     90      0 corner   rand20         20      25        100     0.003183      31826.0
w3d       51    2     90      0 corner   rand20         20      25        100     0.006554      65542.0
bucket*   51    2     90      0 edge     none            0      25        100     0.004572      45720.0
w3d       51    2     90      0 edge     none            0      25        100     0.007604      76035.0
bucket*   51    2     90      0 edge     def_heap        4      25        100     0.004809      48090.0
w3d       51    2     90      0 edge     def_heap        4      25        100     0.007630      76299.0
bucket*   51    2     90      0 edge     def_w3d         4      25        100     0.004580      45803.0
w3d       51    2     90      0 edge     def_w3d         4      25        100     0.007884      78844.0
bucket*   51    2     90      0 edge     rand20         20      25        100     0.004533      45331.0
w3d       51    2     90      0 edge     rand20         20      25        100     0.007835      78349.0
bucket*   51    2     90     45 center   none            0      25        100     0.005994      59944.0
w3d       51    2     90     45 center   none            0      25        100     0.009614      96144.0
bucket*   51    2     90     45 center   def_heap        4      25        100     0.006031      60306.0
w3d       51    2     90     45 center   def_heap        4      25        100     0.009764      97637.0
bucket*   51    2     90     45 center   def_w3d         4      25        100     0.006016      60157.0
w3d       51    2     90     45 center   def_w3d         4      25        100     0.009882      98816.0
bucket*   51    2     90     45 center   rand20         20      25        100     0.006053      60534.0
w3d       51    2     90     45 center   rand20         20      25        100     0.010535     105354.0
bucket*   51    2     90     45 corner   none            0      25        100     0.003308      33076.0
w3d       51    2     90     45 corner   none            0      25        100     0.006411      64107.0
bucket*   51    2     90     45 corner   def_heap        4      25        100     0.003115      31154.0
w3d       51    2     90     45 corner   def_heap        4      25        100     0.006407      64071.0
bucket*   51    2     90     45 corner   def_w3d         4      25        100     0.003339      33392.0
