algo    grid lvls    fov    yaw eye      scenery     sc_ct  radius      iters       time_s      ns/iter
bucket*   51    2     90      0 center   none            0      25        100     0.008771      87710.0
w3d       51    2     90      0 center   none            0      25        100     0.015934     159340.0
bucket*   51    2     90      0 center   def_heap        4      25        100     0.005921      59210.0
w3d       51    2     90      0 center   def_heap        4      25        100     0.012767     127670.0
bucket*   51    2     90      0 center   def_w3d         4      25        100     0.004897      48970.0
w3d       51    2     90      0 center   def_w3d         4      25        100     0.010887     108870.0
bucket*   51    2     90      0 center   rand20         20      25        100     0.004449      44490.0
w3d       51    2     90      0 center   rand20         20      25        100     0.010163     101630.0
bucket*   51    2     90      0 corner   none            0      25        100     0.001908      19080.0
w3d       51    2     90      0 corner   none            0      25        100     0.006505      65050.0
bucket*   51    2     90      0 corner   def_heap        4      25        100     0.001882      18820.0
w3d       51    2     90      0 corner   def_heap        4      25        100     0.006457      64570.0
bucket*   51    2     90      0 corner   def_w3d         4      25        100     0.001927      19270.0
w3d       51    2     90      0 corner   def_w3d         4      25        100     0.005974      59740.0
bucket*   51    2     90      0 corner   rand20         20      25        100     0.001838      18380.0
w3d       51    2     90      0 corner   rand20         20      25        100     0.006192      61920.0
bucket*   51    2     90      0 edge     none            0      25        100     0.002872      28720.0
w3d       51    2     90      0 edge     none            0      25        100     0.010225     102250.0
bucket*   51    2     90      0 edge     def_heap        4      25        100     0.003021      30210.0
w3d       51    2     90      0 edge     def_heap        4      25        100     0.007604      76040.0
bucket*   51    2     90      0 edge     def_w3d         4      25        100     0.002871      28710.0
w3d       51    2     90      0 edge     def_w3d         4      25        100     0.008055      80550.0
bucket*   51    2     90      0 edge     rand20         20      25        100     0.002944      29440.0
w3d       51    2     90      0 edge     rand20         20      25        100     0.007774      77740.0
bucket*   51    2     90     45 center   none            0      25        100     0.003858      38580.0
w3d       51    2     90     45 center   none            0      25        100     0.008811      88110.0
bucket*   51    2     90     45 center   def_heap        4      25        100     0.003920      39200.0
w3d       51    2     90     45 center   def_heap        4      25        100     0.008910      89100.0
bucket*   51    2     90     45 center   def_w3d         4      25        100     0.004020      40200.0
w3d       51    2     90     45 center   def_w3d         4      25        100     0.009096      90960.0
bucket*   51    2     90     45 center   rand20         20      25        100     0.004107      41070.0
w3d       51    2     90     45 center   rand20         20      25        100     0.008782      87820.0
bucket*   51    2     90     45 corner   none            0      25        100     0.001976      19760.0
w3d       51    2     90     45 corner   none            0      25        100     0.006146      61460.0
bucket*   51    2     90     45 corner   def_heap        4      25        100     0.001841      18410.0
w3d       51    2     90     45 corner   def_heap        4      25        100     0.006434      64340.0
bucket*   51    2     90     45 corner   def_w3d         4      25        100     0.001822      18220.0
w3d       51    2     90     45 corner   def_w3d         4      25        100     0.006329      63290.0
bucket*   51    2     90     45 corner   rand20         20      25        100     0.001829      18290.0
w3d       51    2     90     45 corner   rand20         20      25        100     0.006391      63910.0
bucket*   51    2     90     45 edge     none            0      25        100     0.003379      33790.0
w3d       51    2     90     45 edge     none            0      25        100     0.007976      79760.0
bucket*   51    2     90     45 edge     def_heap        4      25        100     0.003597      35970.0
w3d       51    2     90     45 edge     def_heap        4      25        100     0.008336      83360.0
bucket*   51    2     90     45 edge     def_w3d         4      25        100     0.003487      34870.0
w3d       51    2     90     45 edge     def_w3d         4      25        100     0.008256      82560.0
bucket*   51    2     90     45 edge     rand20         20      25        100     0.003590      35900.0
w3d       51    2     90     45 edge     rand20         20      25        100     0.008315      83150.0
bucket*   51    2     90    180 center   none            0      25        100     0.003998      39980.0
w3d       51    2     90    180 center   none            0      25        100     0.008805      88050.0
bucket*   51    2     90    180 center   def_heap        4      25        100     0.003869      38690.0
w3d       51    2     90    180 center   def_heap        4      25        100     0.009306      93060.0
bucket*   51    2     90    180 center   def_w3d         4      25        100     0.003921      39210.0
w3d       51    2     90    180 center   def_w3d         4      25        100     0.009140      91400.0
bucket*   51    2     90    180 center   rand20         20      25        100     0.004083      40830.0
w3d       51    2     90    180 center   rand20         20      25        100     0.009323      93230.0
bucket*   51    2     90    180 corner   none            0      25        100     0.002803      28030.0
w3d       51    2     90    180 corner   none            0      25        100     0.007220      72200.0
bucket*   51    2     90    180 corner   def_heap        4      25        100     0.002770      27700.0
w3d       51    2     90    180 corner   def_heap        4      25        100     0.007479      74790.0
bucket*   51    2     90    180 corner   def_w3d         4      25        100     0.002879      28790.0
w3d       51    2     90    180 corner   def_w3d         4      25        100     0.007298      72980.0
bucket*   51    2     90    180 corner   rand20         20      25        100     0.002778      27780.0
w3d       51    2     90    180 corner   rand20         20      25        100     0.007393      73930.0
bucket*   51    2     90    180 edge     none            0      25        100     0.002832      28320.0
w3d       51    2     90    180 edge     none            0      25        100     0.007800      78000.0
bucket*   51    2     90    180 edge     def_heap        4      25        100     0.002947      29470.0
w3d       51    2     90    180 edge     def_heap        4      25        100     0.007753      77530.0
bucket*   51    2     90    180 edge     def_w3d         4      25        100     0.002860      28600.0
w3d       51    2     90    180 edge     def_w3d         4      25        100     0.007835      78350.0
bucket*   51    2     90    180 edge     rand20         20      25        100     0.002916      29160.0
w3d       51    2     90    180 edge     rand20         20      25        100     0.007733      77330.0
bucket*   51    2     90    360 center   none            0      25        100     0.003967      39670.0
w3d       51    2     90    360 center   none            0      25        100     0.009213      92130.0
bucket*   51    2     90    360 center   def_heap        4      25        100     0.004057      40570.0
w3d       51    2     90    360 center   def_heap        4      25        100     0.009580      95800.0
bucket*   51    2     90    360 center   def_w3d         4      25        100     0.003958      39580.0
w3d       51    2     90    360 center   def_w3d         4      25        100     0.009151      91510.0
bucket*   51    2     90    360 center   rand20         20      25        100     0.003821      38210.0
w3d       51    2     90    360 center   rand20         20      25        100     0.009210      92100.0
bucket*   51    2     90    360 corner   none            0      25        100     0.001876      18760.0
w3d       51    2     90    360 corner   none            0      25        100     0.006343      63430.0
bucket*   51    2     90    360 corner   def_heap        4      25        100     0.001762      17620.0
w3d       51    2     90    360 corner   def_heap        4      25        100     0.006109      61090.0
bucket*   51    2     90    360 corner   def_w3d         4      25        100     0.001891      18910.0
w3d       51    2     90    360 corner   def_w3d         4      25        100     0.006385      63850.0
bucket*   51    2     90    360 corner   rand20         20      25        100     0.001969      19690.0
w3d       51    2     90    360 corner   rand20         20      25        100     0.006103      61030.0
bucket*   51    2     90    360 edge     none            0      25        100     0.002817      28170.0
w3d       51    2     90    360 edge     none            0      25        100     0.007792      77920.0
bucket*   51    2     90    360 edge     def_heap        4      25        100     0.002928      29280.0
w3d       51    2     90    360 edge     def_heap        4      25        100     0.007662      76620.0
bucket*   51    2     90    360 edge     def_w3d         4      25        100     0.002897      28970.0
w3d       51    2     90    360 edge     def_w3d         4      25        100     0.007813      78130.0
bucket*   51    2     90    360 edge     rand20         20      25        100     0.002953      29530.0
w3d       51    2     90    360 edge     rand20         20      25        100     0.008007      80070.0
bucket*   51    4     90      0 center   none            0      25        100     0.007587      75870.0
w3d       51    4     90      0 center   none            0      25        100     0.017679     176790.0
bucket*   51    4     90      0 center   def_heap        4      25        100     0.007392      73920.0
w3d       51    4     90      0 center   def_heap        4      25        100     0.017413     174130.0
bucket*   51    4     90      0 center   def_w3d         4      25        100     0.007321      73210.0
w3d       51    4     90      0 center   def_w3d         4      25        100     0.017681     176810.0
bucket*   51    4     90      0 center   rand20         20      25        100     0.007548      75480.0
w3d       51    4     90      0 center   rand20         20      25        100     0.017712     177120.0
bucket*   51    4     90      0 corner   none            0      25        100     0.002946      29460.0
w3d       51    4     90      0 corner   none            0      25        100     0.012061     120610.0
bucket*   51    4     90      0 corner   def_heap        4      25        100     0.002945      29450.0
w3d       51    4     90      0 corner   def_heap        4      25        100     0.011693     116930.0
bucket*   51    4     90      0 corner   def_w3d         4      25        100     0.002904      29040.0
w3d       51    4     90      0 corner   def_w3d         4      25        100     0.011902     119020.0
bucket*   51    4     90      0 corner   rand20         20      25        100     0.002751      27510.0
w3d       51    4     90      0 corner   rand20         20      25        100     0.011398     113980.0
bucket*   51    4     90      0 edge     none            0      25        100     0.004784      47840.0
w3d       51    4     90      0 edge     none            0      25        100     0.014018     140180.0
bucket*   51    4     90      0 edge     def_heap        4      25        100     0.005110      51100.0
w3d       51    4     90      0 edge     def_heap        4      25        100     0.014709     147090.0
bucket*   51    4     90      0 edge     def_w3d         4      25        100     0.005101      51010.0
w3d       51    4     90      0 edge     def_w3d         4      25        100     0.014641     146410.0
bucket*   51    4     90      0 edge     rand20         20      25        100     0.004998      49980.0
w3d       51    4     90      0 edge     rand20         20      25        100     0.014741     147410.0
bucket*   51    4     90     45 center   none            0      25        100     0.007230      72300.0
w3d       51    4     90     45 center   none            0      25        100     0.017139     171390.0
bucket*   51    4     90     45 center   def_heap        4      25        100     0.007278      72780.0
w3d       51    4     90     45 center   def_heap        4      25        100     0.017142     171420.0
bucket*   51    4     90     45 center   def_w3d         4      25        100     0.007399      73990.0
w3d       51    4     90     45 center   def_w3d         4      25        100     0.016916     169160.0
bucket*   51    4     90     45 center   rand20         20      25        100     0.007519      75190.0
w3d       51    4     90     45 center   rand20         20      25        100     0.017136     171360.0
bucket*   51    4     90     45 corner   none            0      25        100     0.002825      28250.0
w3d       51    4     90     45 corner   none            0      25        100     0.011831     118310.0
bucket*   51    4     90     45 corner   def_heap        4      25        100     0.002935      29350.0
w3d       51    4     90     45 corner   def_heap        4      25        100     0.012281     122810.0
bucket*   51    4     90     45 corner   def_w3d         4      25        100     0.003076      30760.0
w3d       51    4     90     45 corner   def_w3d         4      25        100     0.012139     121390.0
bucket*   51    4     90     45 corner   rand20         20      25        100     0.003129      31290.0
w3d       51    4     90     45 corner   rand20         20      25        100     0.013384     133840.0
bucket*   51    4     90     45 edge     none            0      25        100     0.006256      62560.0
w3d       51    4     90     45 edge     none            0      25        100     0.015658     156580.0
bucket*   51    4     90     45 edge     def_heap        4      25        100     0.006475      64750.0
w3d       51    4     90     45 edge     def_heap        4      25        100     0.015814     158140.0
bucket*   51    4     90     45 edge     def_w3d         4      25        100     0.006219      62190.0
w3d       51    4     90     45 edge     def_w3d         4      25        100     0.015856     158560.0
bucket*   51    4     90     45 edge     rand20         20      25        100     0.006304      63040.0
w3d       51    4     90     45 edge     rand20         20      25        100     0.015882     158820.0
bucket*   51    4     90    180 center   none            0      25        100     0.007038      70380.0
w3d       51    4     90    180 center   none            0      25        100     0.016817     168170.0
bucket*   51    4     90    180 center   def_heap        4      25        100     0.006839      68390.0
w3d       51    4     90    180 center   def_heap        4      25        100     0.018065     180650.0
bucket*   51    4     90    180 center   def_w3d         4      25        100     0.007273      72730.0
w3d       51    4     90    180 center   def_w3d         4      25        100     0.017761     177610.0
bucket*   51    4     90    180 center   rand20         20      25        100     0.007568      75680.0
w3d       51    4     90    180 center   rand20         20      25        100     0.018338     183380.0
bucket*   51    4     90    180 corner   none            0      25        100     0.004677      46770.0
w3d       51    4     90    180 corner   none            0      25        100     0.013440     134400.0
bucket*   51    4     90    180 corner   def_heap        4      25        100     0.004673      46730.0
w3d       51    4     90    180 corner   def_heap        4      25        100     0.013462     134620.0
bucket*   51    4     90    180 corner   def_w3d         4      25        100     0.004721      47210.0
w3d       51    4     90    180 corner   def_w3d         4      25        100     0.013790     137900.0
bucket*   51    4     90    180 corner   rand20         20      25        100     0.004504      45040.0
w3d       51    4     90    180 corner   rand20         20      25        100     0.013812     138120.0
bucket*   51    4     90    180 edge     none            0      25        100     0.004866      48660.0
w3d       51    4     90    180 edge     none            0      25        100     0.014930     149300.0
bucket*   51    4     90    180 edge     def_heap        4      25        100     0.004757      47570.0
w3d       51    4     90    180 edge     def_heap        4      25        100     0.014400     144000.0
bucket*   51    4     90    180 edge     def_w3d         4      25        100     0.004877      48770.0
w3d       51    4     90    180 edge     def_w3d         4      25        100     0.014458     144580.0
bucket*   51    4     90    180 edge     rand20         20      25        100     0.004925      49250.0
w3d       51    4     90    180 edge     rand20         20      25        100     0.014815     148150.0
bucket*   51    4     90    360 center   none            0      25        100     0.007212      72120.0
w3d       51    4     90    360 center   none            0      25        100     0.017644     176440.0
bucket*   51    4     90    360 center   def_heap        4      25        100     0.007471      74710.0
w3d       51    4     90    360 center   def_heap        4      25        100     0.018340     183400.0
bucket*   51    4     90    360 center   def_w3d         4      25        100     0.007207      72070.0
w3d       51    4     90    360 center   def_w3d         4      25        100     0.017729     177290.0
bucket*   51    4     90    360 center   rand20         20      25        100     0.007567      75670.0
w3d       51    4     90    360 center   rand20         20      25        100     0.018186     181860.0
bucket*   51    4     90    360 corner   none            0      25        100     0.003056      30560.0
w3d       51    4     90    360 corner   none            0      25        100     0.012209     122090.0
bucket*   51    4     90    360 corner   def_heap        4      25        100     0.002946      29460.0
w3d       51    4     90    360 corner   def_heap        4      25        100     0.012161     121610.0
bucket*   51    4     90    360 corner   def_w3d         4      25        100     0.002962      29620.0
w3d       51    4     90    360 corner   def_w3d         4      25        100     0.012086     120860.0
bucket*   51    4     90    360 corner   rand20         20      25        100     0.002980      29800.0
w3d       51    4     90    360 corner   rand20         20      25        100     0.012010     120100.0
bucket*   51    4     90    360 edge     none            0      25        100     0.004872      48720.0
w3d       51    4     90    360 edge     none            0      25        100     0.014312     143120.0
bucket*   51    4     90    360 edge     def_heap        4      25        100     0.004975      49750.0
w3d       51    4     90    360 edge     def_heap        4      25        100     0.014695     146950.0
bucket*   51    4     90    360 edge     def_w3d         4      25        100     0.005126      51260.0
w3d       51    4     90    360 edge     def_w3d         4      25        100     0.014716     147160.0
bucket*   51    4     90    360 edge     rand20         20      25        100     0.004923      49230.0
w3d       51    4     90    360 edge     rand20         20      25        100     0.014875     148750.0
bucket*  104    2     90      0 center   none            0      25        100     0.010315     103150.0
w3d      104    2     90      0 center   none            0      25        100     0.014549     145490.0
bucket*  104    2     90      0 center   def_heap        4      25        100     0.009317      93170.0
w3d      104    2     90      0 center   def_heap        4      25        100     0.014051     140510.0
bucket*  104    2     90      0 center   def_w3d         4      25        100     0.009408      94080.0
w3d      104    2     90      0 center   def_w3d         4      25        100     0.014282     142820.0
