algo    grid lvls    fov    yaw eye      scenery     sc_ct  radius      iters       time_s      ns/iter
bucket*   25    1     90      0 center   none            0      24      10000     0.065781       6578.1
w3d       25    1     90      0 center   none            0      24      10000     0.172099      17209.9
bucket*   25    1     90      0 center   def_heap        4      24      10000     0.062049       6204.9
w3d       25    1     90      0 center   def_heap        4      24      10000     0.176096      17609.6
bucket*   25    1     90      0 center   def_w3d         4      24      10000     0.069612       6961.2
w3d       25    1     90      0 center   def_w3d         4      24      10000     0.222292      22229.2
bucket*   25    1     90      0 center   rand20         20      24      10000     0.067673       6767.3
w3d       25    1     90      0 center   rand20         20      24      10000     0.173155      17315.5
bucket*   25    1     90      0 corner   none            0      24      10000     0.044091       4409.1
w3d       25    1     90      0 corner   none            0      24      10000     0.249468      24946.8
bucket*   25    1     90      0 corner   def_heap        4      24      10000     0.041477       4147.7
w3d       25    1     90      0 corner   def_heap        4      24      10000     0.244090      24409.0
bucket*   25    1     90      0 corner   def_w3d         4      24      10000     0.041826       4182.6
w3d       25    1     90      0 corner   def_w3d         4      24      10000     0.238767      23876.7
bucket*   25    1     90      0 corner   rand20         20      24      10000     0.046608       4660.8
w3d       25    1     90      0 corner   rand20         20      24      10000     0.244967      24496.7
bucket*   25    1     90      0 edge     none            0      24      10000     0.049105       4910.5
w3d       25    1     90      0 edge     none            0      24      10000     0.256213      25621.3
bucket*   25    1     90      0 edge     def_heap        4      24      10000     0.052267       5226.7
w3d       25    1     90      0 edge     def_heap        4      24      10000     0.262963      26296.3
bucket*   25    1     90      0 edge     def_w3d         4      24      10000     0.050321       5032.1
w3d       25    1     90      0 edge     def_w3d         4      24      10000     0.256527      25652.7
bucket*   25    1     90      0 edge     rand20         20      24      10000     0.051095       5109.5
w3d       25    1     90      0 edge     rand20         20      24      10000     0.255720      25572.0
bucket*   25    1     90     45 center   none            0      24      10000     0.060121       6012.1
w3d       25    1     90     45 center   none            0      24      10000     0.166086      16608.6
bucket*   25    1     90     45 center   def_heap        4      24      10000     0.057940       5794.0
w3d       25    1     90     45 center   def_heap        4      24      10000     0.169291      16929.1
bucket*   25    1     90     45 center   def_w3d         4      24      10000     0.061183       6118.3
w3d       25    1     90     45 center   def_w3d         4      24      10000     0.166302      16630.2
bucket*   25    1     90     45 center   rand20         20      24      10000     0.062619       6261.9
w3d       25    1     90     45 center   rand20         20      24      10000     0.170148      17014.8
bucket*   25    1     90     45 corner   none            0      24      10000     0.041199       4119.9
w3d       25    1     90     45 corner   none            0      24      10000     0.245409      24540.9
bucket*   25    1     90     45 corner   def_heap        4      24      10000     0.041268       4126.8
w3d       25    1     90     45 corner   def_heap        4      24      10000     0.242903      24290.3
bucket*   25    1     90     45 corner   def_w3d         4      24      10000     0.042139       4213.9
w3d       25    1     90     45 corner   def_w3d         4      24      10000     0.242050      24205.0
bucket*   25    1     90     45 corner   rand20         20      24      10000     0.045115       4511.5
w3d       25    1     90     45 corner   rand20         20      24      10000     0.245162      24516.2
bucket*   25    1     90     45 edge     none            0      24      10000     0.083460       8346.0
w3d       25    1     90     45 edge     none            0      24      10000     0.275630      27563.0
bucket*   25    1     90     45 edge     def_heap        4      24      10000     0.086528       8652.8
w3d       25    1     90     45 edge     def_heap        4      24      10000     0.282891      28289.1
bucket*   25    1     90     45 edge     def_w3d         4      24      10000     0.085997       8599.7
w3d       25    1     90     45 edge     def_w3d         4      24      10000     0.280012      28001.2
bucket*   25    1     90     45 edge     rand20         20      24      10000     0.091842       9184.2
w3d       25    1     90     45 edge     rand20         20      24      10000     0.287327      28732.7
bucket*   25    1     90    180 center   none            0      24      10000     0.058632       5863.2
w3d       25    1     90    180 center   none            0      24      10000     0.174916      17491.6
bucket*   25    1     90    180 center   def_heap        4      24      10000     0.060505       6050.5
w3d       25    1     90    180 center   def_heap        4      24      10000     0.170886      17088.6
bucket*   25    1     90    180 center   def_w3d         4      24      10000     0.059927       5992.7
w3d       25    1     90    180 center   def_w3d         4      24      10000     0.171146      17114.6
bucket*   25    1     90    180 center   rand20         20      24      10000     0.068883       6888.3
w3d       25    1     90    180 center   rand20         20      24      10000     0.195642      19564.2
bucket*   25    1     90    180 corner   none            0      24      10000     0.087994       8799.4
w3d       25    1     90    180 corner   none            0      24      10000     0.279761      27976.1
bucket*   25    1     90    180 corner   def_heap        4      24      10000     0.091604       9160.4
w3d       25    1     90    180 corner   def_heap        4      24      10000     0.283463      28346.3
bucket*   25    1     90    180 corner   def_w3d         4      24      10000     0.089502       8950.2
w3d       25    1     90    180 corner   def_w3d         4      24      10000     0.280482      28048.2
bucket*   25    1     90    180 corner   rand20         20      24      10000     0.092527       9252.7
w3d       25    1     90    180 corner   rand20         20      24      10000     0.287145      28714.5
bucket*   25    1     90    180 edge     none            0      24      10000     0.050326       5032.6
w3d       25    1     90    180 edge     none            0      24      10000     0.263815      26381.5
bucket*   25    1     90    180 edge     def_heap        4      24      10000     0.051677       5167.7
w3d       25    1     90    180 edge     def_heap        4      24      10000     0.261664      26166.4
bucket*   25    1     90    180 edge     def_w3d         4      24      10000     0.053432       5343.2
w3d       25    1     90    180 edge     def_w3d         4      24      10000     0.267090      26709.0
bucket*   25    1     90    180 edge     rand20         20      24      10000     0.054075       5407.5
w3d       25    1     90    180 edge     rand20         20      24      10000     0.271765      27176.5
bucket*   25    1     90    360 center   none            0      24      10000     0.059838       5983.8
w3d       25    1     90    360 center   none            0      24      10000     0.175395      17539.5
bucket*   25    1     90    360 center   def_heap        4      24      10000     0.062794       6279.4
w3d       25    1     90    360 center   def_heap        4      24      10000     0.178926      17892.6
bucket*   25    1     90    360 center   def_w3d         4      24      10000     0.063558       6355.8
w3d       25    1     90    360 center   def_w3d         4      24      10000     0.175284      17528.4
bucket*   25    1     90    360 center   rand20         20      24      10000     0.065231       6523.1
w3d       25    1     90    360 center   rand20         20      24      10000     0.173536      17353.6
bucket*   25    1     90    360 corner   none            0      24      10000     0.042032       4203.2
w3d       25    1     90    360 corner   none            0      24      10000     0.251962      25196.2
bucket*   25    1     90    360 corner   def_heap        4      24      10000     0.042325       4232.5
w3d       25    1     90    360 corner   def_heap        4      24      10000     0.246526      24652.6
bucket*   25    1     90    360 corner   def_w3d         4      24      10000     0.041885       4188.5
w3d       25    1     90    360 corner   def_w3d         4      24      10000     0.248367      24836.7
bucket*   25    1     90    360 corner   rand20         20      24      10000     0.043373       4337.3
w3d       25    1     90    360 corner   rand20         20      24      10000     0.248870      24887.0
bucket*   25    1     90    360 edge     none            0      24      10000     0.049237       4923.7
w3d       25    1     90    360 edge     none            0      24      10000     0.259395      25939.5
bucket*   25    1     90    360 edge     def_heap        4      24      10000     0.051861       5186.1
w3d       25    1     90    360 edge     def_heap        4      24      10000     0.262513      26251.3
bucket*   25    1     90    360 edge     def_w3d         4      24      10000     0.052208       5220.8
w3d       25    1     90    360 edge     def_w3d         4      24      10000     0.262947      26294.7
bucket*   25    1     90    360 edge     rand20         20      24      10000     0.050786       5078.6
w3d       25    1     90    360 edge     rand20         20      24      10000     0.261979      26197.9
bucket*   25    2     90      0 center   none            0      24      10000     0.126113      12611.3
w3d       25    2     90      0 center   none            0      24      10000     0.323620      32362.0
bucket*   25    2     90      0 center   def_heap        4      24      10000     0.135931      13593.1
w3d       25    2     90      0 center   def_heap        4      24      10000     0.328406      32840.6
bucket*   25    2     90      0 center   def_w3d         4      24      10000     0.137514      13751.4
w3d       25    2     90      0 center   def_w3d         4      24      10000     0.329508      32950.8
bucket*   25    2     90      0 center   rand20         20      24      10000     0.138375      13837.5
w3d       25    2     90      0 center   rand20         20      24      10000     0.343670      34367.0
bucket*   25    2     90      0 corner   none            0      24      10000     0.062063       6206.3
w3d       25    2     90      0 corner   none            0      24      10000     0.475217      47521.7
bucket*   25    2     90      0 corner   def_heap        4      24      10000     0.061933       6193.3
w3d       25    2     90      0 corner   def_heap        4      24      10000     0.484975      48497.5
bucket*   25    2     90      0 corner   def_w3d         4      24      10000     0.062815       6281.5
w3d       25    2     90      0 corner   def_w3d         4      24      10000     0.474439      47443.9
bucket*   25    2     90      0 corner   rand20         20      24      10000     0.066592       6659.2
w3d       25    2     90      0 corner   rand20         20      24      10000     0.470662      47066.2
bucket*   25    2     90      0 edge     none            0      24      10000     0.086497       8649.7
w3d       25    2     90      0 edge     none            0      24      10000     0.511516      51151.6
bucket*   25    2     90      0 edge     def_heap        4      24      10000     0.090022       9002.2
w3d       25    2     90      0 edge     def_heap        4      24      10000     0.506964      50696.4
bucket*   25    2     90      0 edge     def_w3d         4      24      10000     0.088690       8869.0
w3d       25    2     90      0 edge     def_w3d         4      24      10000     0.505789      50578.9
bucket*   25    2     90      0 edge     rand20         20      24      10000     0.090221       9022.1
w3d       25    2     90      0 edge     rand20         20      24      10000     0.510794      51079.4
bucket*   25    2     90     45 center   none            0      24      10000     0.127790      12779.0
w3d       25    2     90     45 center   none            0      24      10000     0.325510      32551.0
bucket*   25    2     90     45 center   def_heap        4      24      10000     0.127822      12782.2
