switch_type,switch_name,shell_count,variant_count,spawned_in_world,spawned_shell_bases,content_ref_count,sample_content_refs
varbit,myq6,150,10823,yes,"burgh_vilager_rat_1, darkm_auctioneer, darkm_buyer_1, darkm_buyer_2, darkm_buyer_3, darkm_buyer_4, darkm_buyer_5, darkm_buyer_6, darkm_prisoner_01, darkm_prisoner_02, dmine_miner_1, dmine_miner_2, dmine_miner_3, dmine_miner_4, dmine_miner_5, dmine_miner_6, dr_harlow, lord_myrmel, myq3_citizen_male_old_1, myq3_citizen_male_old_2, myq4_garth, myq4_harpert, myq5_prison_guard, myq5_prisoner, myreque_pt3_female_citizen1, myreque_pt3_female_citizen10, myreque_pt3_female_citizen2, myreque_pt3_female_citizen3, myreque_pt3_female_citizen4, myreque_pt3_female_citizen5, myreque_pt3_female_citizen6, myreque_pt3_female_citizen7, myreque_pt3_female_citizen8, myreque_pt3_female_citizen9, myreque_pt3_female_huddled1, myreque_pt3_female_huddled2, myreque_pt3_male_citizen1, myreque_pt3_male_citizen2, myreque_pt3_male_citizen3, myreque_pt3_male_citizen4, myreque_pt3_male_citizen5, myreque_pt3_male_citizen6, myreque_pt3_male_citizen7, myreque_pt3_male_citizen8, myreque_pt3_male_huddled1, myreque_pt3_male_huddled2, myreque_pt3_male_looking_out1, myreque_pt3_male_looking_out2, myreque_pt3_miner1, myreque_pt3_miner2, myreque_pt3_miner3, myreque_pt3_miner4, myreque_pt3_miner5, myreque_pt3_miner6, priestperilevilmonk1, priestperilevilmonk2, sanguinesti_old_man_ral, tob_citizen_1, tob_citizen_2, tob_citizen_3, tob_citizen_4, tob_female_orator, tob_male_orator",0,
varbit,deadman_guarded_mode,32,32,yes,"deadman_guard_ardougne, deadman_guard_catherby, deadman_guard_falador, deadman_guard_gnome, deadman_guard_ja, deadman_guard_lumbridge, deadman_guard_portphas, deadman_guard_prif, deadman_guard_rellekka, deadman_guard_seers, deadman_guard_sophanem, deadman_guard_varrock, deadman_guard_voidknight, deadman_guard_yanille",0,
varbit,shadow_realm_visibility,28,84,yes,"camdozaal_ghost_1, camdozaal_ghost_2, camdozaal_ghost_3, hosdun_faeded_beast, prif_ghost, secret_ghost1, secret_ghost10, secret_ghost11, secret_ghost12, secret_ghost13, secret_ghost14, secret_ghost15, secret_ghost16, secret_ghost2, secret_ghost3, secret_ghost4, secret_ghost5, secret_ghost6, secret_ghost7, secret_ghost8, secret_ghost9, shadow_maj_multi_scout1, shadow_maj_multi_scout2, shadow_maj_multi_scout3, shadow_maj_multi_scout4, sw_armadyl_ghost, sw_bandos_ghost",0,
varbit,hunting_hidetrapnpcs,25,25,yes,"ii_common_impling_precursor, ii_crop_circle_npc, ii_impling_adder, ii_maze_blocking_timer, ii_maze_gate_timer, ii_rare_impling_precursor_maze, ii_uncommon_impling_precursor",0,
varbit,deadman_mode,18,34,yes,"castlewars_judge, contact_banker_deadman, cws_doomsayer, deadman_banker_ahoy_north, deadman_banker_blue_north, deadman_banker_blue_south, deadman_banker_blue_west, deadman_banker_gnome_east, deadman_banker_gnome_north, deadman_banker_grey_north, deadman_banker_grey_south, deadman_banker_grey_west, deadman_banker_neitiznot, deadman_banker_pest_north, deadman_banker_wildy, deadman_insurancebroker, deadman_nigel, frisd_banker",0,
varbit,fairy2_queencure_quest,14,114,yes,"fairy_godfatherarmy_multi1, fairy_godfatherarmy_multi2, fairy_multi, fairy_nuff_multi2, fairy_queen_multi2, fairyliquid_multi, fairyliquid_multi2, fairyqueen_multi3, fairyresistance_multi, fairyresistance_multi2, fairyresistance_multi3, fairyresistance_multi4, fairyresistance_multi5",0,
varbit,fossil_herbiboar_visible,9,9,yes,"fossil_herbiboar_1, fossil_herbiboar_2, fossil_herbiboar_3, fossil_herbiboar_4, fossil_herbiboar_5, fossil_herbiboar_6, fossil_herbiboar_7, fossil_herbiboar_8, fossil_herbiboar_9",0,
varbit,fossil_pool_bob,8,8,yes,"fossil_pool_bobber_1, fossil_pool_bobber_2, fossil_pool_bobber_3, fossil_pool_bobber_4, fossil_pool_bobber_5, fossil_pool_bobber_6, fossil_pool_bobber_7, fossil_pool_bobber_8",0,
varbit,league_account,7,9,yes,"ironman_tutor_2, league_tutor, thessalia",0,
varbit,chartering_previous_destination,7,168,yes,"sailing_transport_trader_stan, sailing_transport_trader_stan_crew_man1, sailing_transport_trader_stan_crew_man2, sailing_transport_trader_stan_crew_man3, sailing_transport_trader_stan_crew_woman1, sailing_transport_trader_stan_crew_woman2, sailing_transport_trader_stan_crew_woman3",0,
