kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,12000,
meta,frames_over_20ms,,,,,,91,
meta,eff_fps,,,,,,192.047,
stage,frame,5207069,4795000,6043000,89000000,,
stage,async,169690,3000,198000,32646000,,
stage,logic,577178,230000,964000,83764000,,
stage,cs2,352142,0,709000,83496000,,
stage,layout,84,0,1000,3000,,
stage,interact,24805,24000,32000,117000,,
stage,emit,280267,264000,516000,6764000,,
stage,paint,506171,476000,548000,14924000,,
stage,build,506391,476000,548000,14925000,,
stage,render,3152539,3030000,3715000,15796000,,
stage,present,144634,140000,159000,1880000,,
stage,server,2680,1000,3000,174000,,
counter,uitree_find_id,,,,,2095498,1023.192383
counter,uitree_find_id_probes,,,,,6827513,3333.746582
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,564,0.275391
counter,uitree_find_child,,,,,64752,31.617188
counter,uitree_find_child_hit,,,,,49993,24.410645
counter,uitree_find_child_ceil_miss,,,,,13808,6.742188
counter,uitree_walk_emit,,,,,6899937,3369.109863
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,1454080,710.000000
counter,uitree_walk_hover,,,,,215040,105.000000
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,5786213,2825.299316
counter,uitree_layout_resolve,,,,,1473,0.719238
counter,uitree_layout_skip,,,,,697,0.340332
counter,uitree_layout_nodes,,,,,7852344,3834.152344
counter,uitree_layout_node_skip,,,,,7722020,3770.517578
counter,uitree_layout_depth_recompute,,,,,738,0.360352
counter,uitree_ensure_layout,,,,,36218,17.684570
counter,uitree_cc_create,,,,,13581,6.631348
counter,uitree_cc_delete,,,,,0,0.000000
counter,uitree_cc_deleteall,,,,,1337,0.652832
counter,uitree_cc_deleteall_rows,,,,,13357,6.521973
counter,uitree_apply_geo,,,,,251816,122.957031
counter,uitree_apply_content,,,,,263455,128.640137
counter,uitree_apply_hook,,,,,44261,21.611816
counter,uitree_apply_other,,,,,1083815,529.206543
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,20723712,10119.000000
counter,uitree_capacity,,,,,33554432,16384.000000
counter,uitree_free_list,,,,,0,0.000000
counter,uitree_node_bytes,,,,,58250493952,28442624.000000
counter,cs2_scripts,,,,,15250,7.446289
counter,cs2_opcodes,,,,,5048113,2464.898926
counter,cs2_host_ops,,,,,726085,354.533691
counter,cs2_cycles,,,,,5048113,2464.898926
counter,cs2_aborts,,,,,31,0.015137
counter,cs2_vm_acquire,,,,,15250,7.446289
counter,cs2_vm_pool_hit,,,,,15250,7.446289
counter,cs2_vm_pool_miss,,,,,0,0.000000
counter,cs2_vm_init_ns,,,,,11118000,5428.710938
