kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,16062782,4008000,7377000,5243187000,,,0
window_stage,async,764486,1000,337000,81624000,,,0
window_stage,logic,1858240,187000,1027000,329465000,,,0
window_stage,cs2,1714628,0,882000,328824000,,,0
window_stage,layout,818,0,1000,170000,,,0
window_stage,interact,18330,19000,28000,36000,,,0
window_stage,emit,127920,127000,284000,1310000,,,0
window_stage,paint,363606,437000,727000,1087000,,,0
window_stage,build,363734,437000,728000,1088000,,,0
window_stage,render,2055692,2468000,3870000,4952000,,,0
window_stage,present,144362,139000,178000,266000,,,0
window_stage,server,204744,1000,4000,97766000,,,0
window_counter,uitree_find_id,,,,,662568,1325.136000,0
window_counter,uitree_find_id_probes,,,,,3180400,6360.800000,0
window_counter,uitree_id_rebuild,,,,,208,0.416000,0
window_counter,uitree_find_child,,,,,55919,111.838000,0
window_counter,uitree_find_child_hit,,,,,39546,79.092000,0
window_counter,uitree_find_child_ceil_miss,,,,,15461,30.922000,0
window_counter,uitree_walk_emit,,,,,1084874,2169.748000,0
window_counter,uitree_walk_hit,,,,,259647,519.294000,0
window_counter,uitree_walk_hover,,,,,43510,87.020000,0
window_counter,uitree_emit_skip,,,,,1013764,2027.528000,0
window_counter,uitree_layout_resolve,,,,,507,1.014000,0
window_counter,uitree_layout_skip,,,,,243,0.486000,0
window_counter,uitree_layout_nodes,,,,,2059074,4118.148000,0
window_counter,uitree_layout_node_skip,,,,,1822685,3645.370000,0
window_counter,uitree_layout_depth_recompute,,,,,217,0.434000,0
window_counter,uitree_ensure_layout,,,,,10400,20.800000,0
window_counter,uitree_cc_create,,,,,14393,28.786000,0
window_counter,uitree_cc_delete,,,,,2,0.004000,0
window_counter,uitree_cc_deleteall,,,,,614,1.228000,0
window_counter,uitree_cc_deleteall_rows,,,,,6580,13.160000,0
window_counter,uitree_apply_geo,,,,,36270,72.540000,0
window_counter,uitree_apply_content,,,,,44007,88.014000,0
window_counter,uitree_apply_hook,,,,,25681,51.362000,0
window_counter,uitree_apply_other,,,,,247859,495.718000,0
window_gauge,uitree_components,,,,,9708,9708.000000,0
window_gauge,uitree_capacity,,,,,16384,16384.000000,0
window_gauge,uitree_free_list,,,,,1,1.000000,0
window_gauge,uitree_node_bytes,,,,,28442624,28442624.000000,0
window_counter,cs2_scripts,,,,,6600,13.200000,0
window_counter,cs2_opcodes,,,,,3205398,6410.796000,0
window_counter,cs2_host_ops,,,,,464982,929.964000,0
window_counter,cs2_cycles,,,,,3205398,6410.796000,0
