kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,900,
meta,frames_over_20ms,,,,,,15,
meta,eff_fps,,,,,,59.388,
stage,frame,16838293,7051000,8246000,4942947000,,
stage,async,289424,91000,304000,86436000,,
stage,logic,4968298,146000,474000,1314862000,,
stage,cs2,4838940,0,296000,1314609000,,
stage,layout,115392,0,428000,869000,,
stage,interact,18206,17000,28000,100000,,
stage,emit,326421,361000,451000,784000,,
stage,paint,742447,845000,915000,1681000,,
stage,build,742554,845000,915000,1681000,,
stage,render,2876867,3252000,3639000,5224000,,
stage,present,230590,226000,258000,364000,,
counter,uitree_find_id,,,,,613658,681.842222
counter,uitree_find_id_probes,,,,,1708552,1898.391111
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,33,0.036667
counter,uitree_find_child,,,,,25061,27.845556
counter,uitree_find_child_hit,,,,,12861,14.290000
counter,uitree_find_child_ceil_miss,,,,,11650,12.944444
counter,uitree_walk_emit,,,,,2238400,2487.111111
counter,uitree_walk_emit_drag,,,,,2743449,3048.276667
counter,uitree_walk_hit,,,,,558655,620.727778
counter,uitree_walk_hover,,,,,85974,95.526667
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,4123358,4581.508889
counter,uitree_layout_resolve,,,,,1551,1.723333
counter,uitree_layout_nodes,,,,,10387273,11541.414444
counter,uitree_layout_depth_recompute,,,,,375,0.416667
counter,uitree_ensure_layout,,,,,20695,22.994444
counter,uitree_cc_create,,,,,7274,8.082222
counter,uitree_cc_delete,,,,,3,0.003333
counter,uitree_cc_deleteall,,,,,515,0.572222
counter,uitree_cc_deleteall_rows,,,,,1829,2.032222
counter,uitree_apply_geo,,,,,20476,22.751111
counter,uitree_apply_content,,,,,22970,25.522222
counter,uitree_apply_hook,,,,,5702,6.335556
counter,uitree_apply_other,,,,,425022,472.246667
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,5536137,6151.263333
counter,uitree_capacity,,,,,6428672,7142.968889
counter,uitree_free_list,,,,,1434,1.593333
counter,uitree_node_bytes,,,,,76578340864,85087045.404444
counter,cs2_scripts,,,,,12113,13.458889
counter,cs2_opcodes,,,,,2088672,2320.746667
counter,cs2_host_ops,,,,,282763,314.181111
counter,cs2_cycles,,,,,2088672,2320.746667
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,10058,11.175556
counter,cs2_vm_pool_hit,,,,,10056,11.173333
counter,cs2_vm_pool_miss,,,,,2,0.002222
counter,cs2_vm_init_ns,,,,,7384000,8204.444444
counter,cache_model_hit,,,,,24835,27.594444
counter,cache_model_miss,,,,,2193,2.436667
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,2475,2.750000
counter,cache_sprite_miss,,,,,911,1.012222
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
