kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,900,
meta,frames_over_20ms,,,,,,11,
meta,eff_fps,,,,,,95.300,
stage,frame,10493198,2489000,2896000,4794028000,,
stage,async,203777,0,162000,83036000,,
stage,logic,814455,129000,293000,264186000,,
stage,cs2,700148,0,141000,263680000,,
stage,layout,375,0,0,118000,,
stage,interact,11866,12000,17000,63000,,
stage,emit,74035,74000,132000,320000,,
stage,paint,1970317,63000,77000,1724337000,,
stage,build,1970395,63000,78000,1724337000,,
stage,render,632318,742000,815000,899000,,
stage,present,132162,131000,150000,246000,,
counter,uitree_find_id,,,,,572249,635.832222
counter,uitree_find_id_probes,,,,,1357142,1507.935556
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,41,0.045556
counter,uitree_find_child,,,,,21646,24.051111
counter,uitree_find_child_hit,,,,,11583,12.870000
counter,uitree_find_child_ceil_miss,,,,,9496,10.551111
counter,uitree_walk_emit,,,,,2166399,2407.110000
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,541625,601.805556
counter,uitree_walk_hover,,,,,84362,93.735556
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2049949,2277.721111
counter,uitree_layout_resolve,,,,,419,0.465556
counter,uitree_layout_skip,,,,,213,0.236667
counter,uitree_layout_nodes,,,,,1220919,1356.576667
counter,uitree_layout_node_skip,,,,,1134488,1260.542222
counter,uitree_layout_depth_recompute,,,,,194,0.215556
counter,uitree_ensure_layout,,,,,9763,10.847778
counter,uitree_cc_create,,,,,8188,9.097778
counter,uitree_cc_delete,,,,,1,0.001111
counter,uitree_cc_deleteall,,,,,355,0.394444
counter,uitree_cc_deleteall_rows,,,,,2740,3.044444
counter,uitree_apply_geo,,,,,19962,22.180000
counter,uitree_apply_content,,,,,21924,24.360000
counter,uitree_apply_hook,,,,,5545,6.161111
counter,uitree_apply_other,,,,,411938,457.708889
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,5354033,5948.925556
counter,uitree_capacity,,,,,6215680,6906.311111
counter,uitree_free_list,,,,,8,0.008889
counter,uitree_node_bytes,,,,,10690969600,11878855.111111
counter,cs2_scripts,,,,,6224,6.915556
counter,cs2_opcodes,,,,,1535466,1706.073333
counter,cs2_host_ops,,,,,212228,235.808889
counter,cs2_cycles,,,,,1535466,1706.073333
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,4160,4.622222
counter,cs2_vm_pool_hit,,,,,4158,4.620000
counter,cs2_vm_pool_miss,,,,,2,0.002222
counter,cs2_vm_init_ns,,,,,2741000,3045.555556
counter,cs2_frame_pool_hit,,,,,9198,10.220000
counter,cs2_frame_pool_miss,,,,,11,0.012222
counter,cache_model_hit,,,,,25030,27.811111
counter,cache_model_miss,,,,,2193,2.436667
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,2536,2.817778
counter,cache_sprite_miss,,,,,911,1.012222
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
counter,painter_pops,,,,,0,0.000000
counter,painter_gate_rejects,,,,,0,0.000000
counter,painter_pushes,,,,,0,0.000000
counter,painter_push_dedup,,,,,0,0.000000
counter,painter_drain_events,,,,,0,0.000000
counter,painter_commands,,,,,0,0.000000
counter,painter_tiles_remaining_set,,,,,0,0.000000
