kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,30000,
meta,frames_over_20ms,,,,,,56,
meta,eff_fps,,,,,,231.519,
stage,frame,4319298,4253000,4874000,11601000,,
stage,async,52223,2000,186000,842000,,
stage,logic,224919,189000,378000,2622000,,
stage,cs2,42357,0,155000,809000,,
stage,layout,89,0,1000,9000,,
stage,interact,22176,21000,30000,90000,,
stage,emit,177370,169000,281000,1069000,,
stage,paint,355330,347000,396000,1716000,,
stage,build,355572,348000,396000,1716000,,
stage,render,3089363,3055000,3406000,8408000,,
stage,present,141437,138000,156000,1022000,,
stage,server,1457,1000,2000,85000,,
counter,uitree_find_id,,,,,1537213,750.592285
counter,uitree_find_id_probes,,,,,2591686,1265.471680
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,0,0.000000
counter,uitree_find_child,,,,,12440,6.074219
counter,uitree_find_child_hit,,,,,3665,1.789551
counter,uitree_find_child_ceil_miss,,,,,8775,4.284668
counter,uitree_walk_emit,,,,,5885952,2874.000000
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,1454080,710.000000
counter,uitree_walk_hover,,,,,212992,104.000000
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,5382144,2628.000000
counter,uitree_layout_resolve,,,,,1142,0.557617
counter,uitree_layout_skip,,,,,571,0.278809
counter,uitree_layout_nodes,,,,,4049532,1977.310547
counter,uitree_layout_node_skip,,,,,4047546,1976.340820
counter,uitree_layout_depth_recompute,,,,,571,0.278809
counter,uitree_ensure_layout,,,,,32759,15.995605
counter,uitree_cc_create,,,,,0,0.000000
counter,uitree_cc_delete,,,,,0,0.000000
counter,uitree_cc_deleteall,,,,,571,0.278809
counter,uitree_cc_deleteall_rows,,,,,0,0.000000
counter,uitree_apply_geo,,,,,212015,103.522949
counter,uitree_apply_content,,,,,208012,101.568359
counter,uitree_apply_hook,,,,,1065,0.520020
counter,uitree_apply_other,,,,,1027934,501.920898
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,14524416,7092.000000
counter,uitree_capacity,,,,,16777216,8192.000000
counter,uitree_free_list,,,,,6144,3.000000
counter,uitree_node_bytes,,,,,29125246976,14221312.000000
counter,cs2_scripts,,,,,17130,8.364258
counter,cs2_opcodes,,,,,1551763,757.696777
counter,cs2_host_ops,,,,,207720,101.425781
counter,cs2_cycles,,,,,1551763,757.696777
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,17130,8.364258
counter,cs2_vm_pool_hit,,,,,17130,8.364258
counter,cs2_vm_pool_miss,,,,,0,0.000000
counter,cs2_vm_init_ns,,,,,10749000,5248.535156
counter,cs2_frame_pool_hit,,,,,33542,16.377930
counter,cs2_frame_pool_miss,,,,,0,0.000000
counter,cache_model_hit,,,,,0,0.000000
counter,cache_model_miss,,,,,0,0.000000
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,6,0.002930
counter,cache_sprite_miss,,,,,0,0.000000
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
counter,painter_pops,,,,,17201292,8399.068359
counter,painter_gate_rejects,,,,,7507533,3665.787598
counter,painter_pushes,,,,,17201292,8399.068359
counter,painter_push_dedup,,,,,7531597,3677.537598
counter,painter_drain_events,,,,,8192,4.000000
counter,painter_commands,,,,,11145263,5442.022949
counter,painter_tiles_remaining_set,,,,,8857600,4325.000000
counter,scene_elements,,,,,34129241,16664.668457
counter,scene_anim_list,,,,,176439,86.151855
counter,zone_map_count,,,,,129024,63.000000
counter,zone_map_capacity,,,,,524288,256.000000
counter,npc_slot_max,,,,,133120,65.000000
counter,cache_model_size,,,,,650369,317.562988
counter,cache_sprite_size,,,,,317476,155.017578
