kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,900,
meta,frames_over_20ms,,,,,,11,
meta,eff_fps,,,,,,89.523,
stage,frame,11170321,5879000,6211000,4487019000,,
stage,async,222022,1000,194000,75261000,,
stage,logic,820842,165000,291000,257294000,,
stage,cs2,699446,0,161000,256835000,,
stage,layout,465,0,0,167000,,
stage,interact,12118,12000,16000,36000,,
stage,emit,62575,69000,86000,208000,,
stage,paint,695490,804000,829000,1116000,,
stage,build,695538,804000,829000,1116000,,
stage,render,2522413,2908000,3004000,3880000,,
stage,present,226108,218000,287000,365000,,
counter,uitree_find_id,,,,,608573,676.192222
counter,uitree_find_id_probes,,,,,1601098,1778.997778
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,43,0.047778
counter,uitree_find_child,,,,,24673,27.414444
counter,uitree_find_child_hit,,,,,12459,13.843333
counter,uitree_find_child_ceil_miss,,,,,11647,12.941111
counter,uitree_walk_emit,,,,,2230183,2477.981111
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,556690,618.544444
counter,uitree_walk_hover,,,,,85788,95.320000
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2111394,2345.993333
counter,uitree_layout_resolve,,,,,684,0.760000
counter,uitree_layout_skip,,,,,345,0.383333
counter,uitree_layout_nodes,,,,,2164070,2404.522222
counter,uitree_layout_node_skip,,,,,2077131,2307.923333
counter,uitree_layout_depth_recompute,,,,,327,0.363333
counter,uitree_ensure_layout,,,,,16991,18.878889
counter,uitree_cc_create,,,,,8188,9.097778
counter,uitree_cc_delete,,,,,3,0.003333
counter,uitree_cc_deleteall,,,,,488,0.542222
counter,uitree_cc_deleteall_rows,,,,,2740,3.044444
counter,uitree_apply_geo,,,,,21701,24.112222
counter,uitree_apply_content,,,,,23553,26.170000
counter,uitree_apply_hook,,,,,5781,6.423333
counter,uitree_apply_other,,,,,424344,471.493333
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,5515852,6128.724444
counter,uitree_capacity,,,,,6404096,7115.662222
counter,uitree_free_list,,,,,1229,1.365556
counter,uitree_node_bytes,,,,,11015045120,12238939.022222
counter,cs2_scripts,,,,,10206,11.340000
counter,cs2_opcodes,,,,,1922314,2135.904444
counter,cs2_host_ops,,,,,263086,292.317778
counter,cs2_cycles,,,,,1922314,2135.904444
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,8151,9.056667
counter,cs2_vm_pool_hit,,,,,8149,9.054444
counter,cs2_vm_pool_miss,,,,,2,0.002222
counter,cs2_vm_init_ns,,,,,5907000,6563.333333
counter,cache_model_hit,,,,,25012,27.791111
counter,cache_model_miss,,,,,2193,2.436667
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,2537,2.818889
counter,cache_sprite_miss,,,,,911,1.012222
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
