kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,9921344,4134000,7156000,4683814000,,,0
window_stage,async,318885,1000,251000,94248000,,,0
window_stage,logic,775362,80000,592000,114970000,,,0
window_stage,cs2,702505,0,472000,114806000,,,0
window_stage,layout,106,0,1000,22000,,,0
window_stage,interact,17960,17000,29000,540000,,,0
window_stage,emit,112080,97000,249000,993000,,,0
window_stage,paint,592316,648000,892000,8096000,,,0
window_stage,build,592445,648000,892000,8097000,,,0
window_stage,render,2601058,2822000,3897000,25171000,,,0
window_stage,present,142752,136000,154000,962000,,,0
window_stage,server,108412,1000,2000,91042000,,,0
window_counter,uitree_find_id,,,,,643303,714.781111,0
window_counter,uitree_find_id_probes,,,,,1736832,1929.813333,0
window_counter,uitree_id_rebuild,,,,,161,0.178889,0
window_counter,uitree_find_child,,,,,26234,29.148889,0
window_counter,uitree_find_child_hit,,,,,14070,15.633333,0
window_counter,uitree_find_child_ceil_miss,,,,,11564,12.848889,0
window_counter,uitree_walk_emit,,,,,2175628,2417.364444,0
window_counter,uitree_walk_hit,,,,,544245,604.716667,0
window_counter,uitree_walk_hover,,,,,84610,94.011111,0
window_counter,uitree_emit_skip,,,,,2057822,2286.468889,0
window_counter,uitree_layout_resolve,,,,,665,0.738889,0
window_counter,uitree_layout_skip,,,,,332,0.368889,0
window_counter,uitree_layout_nodes,,,,,2120704,2356.337778,0
window_counter,uitree_layout_node_skip,,,,,2019665,2244.072222,0
window_counter,uitree_layout_depth_recompute,,,,,320,0.355556,0
window_counter,uitree_ensure_layout,,,,,16171,17.967778,0
window_counter,uitree_cc_create,,,,,10112,11.235556,0
window_counter,uitree_cc_delete,,,,,3,0.003333,0
window_counter,uitree_cc_deleteall,,,,,501,0.556667,0
window_counter,uitree_cc_deleteall_rows,,,,,4549,5.054444,0
window_counter,uitree_apply_geo,,,,,23031,25.590000,0
window_counter,uitree_apply_content,,,,,24257,26.952222,0
window_counter,uitree_apply_hook,,,,,6790,7.544444,0
window_counter,uitree_apply_other,,,,,418664,465.182222,0
window_gauge,uitree_components,,,,,7092,7092.000000,0
window_gauge,uitree_capacity,,,,,8192,8192.000000,0
window_gauge,uitree_free_list,,,,,3,3.000000,0
window_gauge,uitree_node_bytes,,,,,14221312,14221312.000000,0
window_counter,cs2_scripts,,,,,8881,9.867778,0
window_counter,cs2_opcodes,,,,,2088717,2320.796667,0
window_counter,cs2_host_ops,,,,,285573,317.303333,0
window_counter,cs2_cycles,,,,,2088717,2320.796667,0
window_counter,cs2_vm_acquire,,,,,6786,7.540000,0
window_counter,cs2_vm_pool_hit,,,,,6785,7.538889,0
window_counter,cs2_vm_pool_miss,,,,,1,0.001111,0
window_counter,cs2_vm_init_ns,,,,,6236000,6928.888889,0
window_counter,cs2_frame_pool_hit,,,,,14977,16.641111,0
window_counter,cs2_frame_pool_miss,,,,,10,0.011111,0
window_counter,cache_model_hit,,,,,12125,13.472222,0
window_counter,cache_model_miss,,,,,2189,2.432222,0
window_counter,cache_sprite_hit,,,,,2683,2.981111,0
window_counter,cache_sprite_miss,,,,,911,1.012222,0
window_counter,painter_pops,,,,,6329373,7032.636667,0
window_counter,painter_gate_rejects,,,,,2766719,3074.132222,0
window_counter,painter_pushes,,,,,6329373,7032.636667,0
window_counter,painter_push_dedup,,,,,2759004,3065.560000,0
window_counter,painter_drain_events,,,,,3006,3.340000,0
window_gauge,painter_commands,,,,,5212,5212.000000,0
window_gauge,painter_tiles_remaining_set,,,,,4325,4325.000000,0
window_gauge,zone_map_count,,,,,50,50.000000,0
window_gauge,zone_map_capacity,,,,,256,256.000000,0
window_gauge,npc_slot_max,,,,,65,65.000000,0
window_counter,iface_open,,,,,26,0.028889,0
window_counter,iface_bake,,,,,22,0.024444,0
window_counter,iface_bake_reuse,,,,,4,0.004444,0
window_counter,iface_mount_ns,,,,,8137000,9041.111111,0
window_counter,uitree_anim_scan,,,,,540,0.600000,0
window_counter,iface_group_scan_nodes,,,,,2437,2.707778,0
