kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,900,
meta,frames_over_20ms,,,,,,13,
meta,eff_fps,,,,,,87.042,
stage,frame,11488763,5883000,6260000,4717187000,,
stage,async,258208,1000,230000,80293000,,
stage,logic,864727,168000,354000,267326000,,
stage,cs2,740626,0,217000,266872000,,
stage,layout,376,0,1000,106000,,
stage,interact,14071,13000,20000,34000,,
stage,emit,134765,146000,201000,393000,,
stage,paint,685136,783000,863000,988000,,
stage,build,685213,784000,864000,988000,,
stage,render,2640494,3035000,3176000,3964000,,
stage,present,226621,221000,282000,343000,,
counter,uitree_find_id,,,,,618219,686.910000
counter,uitree_find_id_probes,,,,,1633993,1815.547778
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,43,0.047778
counter,uitree_find_child,,,,,26777,29.752222
counter,uitree_find_child_hit,,,,,14518,16.131111
counter,uitree_find_child_ceil_miss,,,,,11692,12.991111
counter,uitree_walk_emit,,,,,2230152,2477.946667
counter,uitree_walk_emit_drag,,,,,2733245,3036.938889
counter,uitree_walk_hit,,,,,556690,618.544444
counter,uitree_walk_hover,,,,,85788,95.320000
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,4107538,4563.931111
counter,uitree_layout_resolve,,,,,689,0.765556
counter,uitree_layout_skip,,,,,347,0.385556
counter,uitree_layout_nodes,,,,,2185431,2428.256667
counter,uitree_layout_node_skip,,,,,2091392,2323.768889
counter,uitree_layout_depth_recompute,,,,,329,0.365556
counter,uitree_ensure_layout,,,,,17134,19.037778
counter,uitree_cc_create,,,,,8188,9.097778
counter,uitree_cc_delete,,,,,3,0.003333
counter,uitree_cc_deleteall,,,,,487,0.541111
counter,uitree_cc_deleteall_rows,,,,,2740,3.044444
counter,uitree_apply_geo,,,,,21504,23.893333
counter,uitree_apply_content,,,,,24321,27.023333
counter,uitree_apply_hook,,,,,5804,6.448889
counter,uitree_apply_other,,,,,426370,473.744444
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,5518086,6131.206667
counter,uitree_capacity,,,,,6404096,7115.662222
counter,uitree_free_list,,,,,1250,1.388889
counter,uitree_node_bytes,,,,,11015045120,12238939.022222
counter,cs2_scripts,,,,,10271,11.412222
counter,cs2_opcodes,,,,,1977776,2197.528889
counter,cs2_host_ops,,,,,271109,301.232222
counter,cs2_cycles,,,,,1977776,2197.528889
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,8207,9.118889
counter,cs2_vm_pool_hit,,,,,8205,9.116667
counter,cs2_vm_pool_miss,,,,,2,0.002222
counter,cs2_vm_init_ns,,,,,6476000,7195.555556
counter,cache_model_hit,,,,,25030,27.811111
counter,cache_model_miss,,,,,2193,2.436667
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,2534,2.815556
counter,cache_sprite_miss,,,,,911,1.012222
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
