kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,900,
meta,frames_over_20ms,,,,,,12,
meta,eff_fps,,,,,,85.096,
stage,frame,11751410,6133000,6964000,4735837000,,
stage,async,255263,2000,241000,79573000,,
stage,logic,871690,173000,392000,269442000,,
stage,cs2,734237,0,227000,268943000,,
stage,layout,431,0,1000,113000,,
stage,interact,16647,16000,25000,47000,,
stage,emit,165088,169000,287000,510000,,
stage,paint,709053,810000,902000,1229000,,
stage,build,709155,810000,902000,1229000,,
stage,render,2793771,3175000,3587000,5425000,,
stage,present,230307,224000,282000,334000,,
counter,uitree_find_id,,,,,621134,690.148889
counter,uitree_find_id_probes,,,,,1655412,1839.346667
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,43,0.047778
counter,uitree_find_child,,,,,27017,30.018889
counter,uitree_find_child_hit,,,,,14593,16.214444
counter,uitree_find_child_ceil_miss,,,,,11857,13.174444
counter,uitree_walk_emit,,,,,2227181,2474.645556
counter,uitree_walk_emit_drag,,,,,2729623,3032.914444
counter,uitree_walk_hit,,,,,556035,617.816667
counter,uitree_walk_hover,,,,,85726,95.251111
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,4100840,4556.488889
counter,uitree_layout_resolve,,,,,711,0.790000
counter,uitree_layout_skip,,,,,358,0.397778
counter,uitree_layout_nodes,,,,,2263443,2514.936667
counter,uitree_layout_node_skip,,,,,2169374,2410.415556
counter,uitree_layout_depth_recompute,,,,,340,0.377778
counter,uitree_ensure_layout,,,,,17729,19.698889
counter,uitree_cc_create,,,,,8188,9.097778
counter,uitree_cc_delete,,,,,3,0.003333
counter,uitree_cc_deleteall,,,,,498,0.553333
counter,uitree_cc_deleteall_rows,,,,,2740,3.044444
counter,uitree_apply_geo,,,,,22310,24.788889
counter,uitree_apply_content,,,,,25147,27.941111
counter,uitree_apply_hook,,,,,5819,6.465556
counter,uitree_apply_other,,,,,425957,473.285556
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,5510994,6123.326667
counter,uitree_capacity,,,,,6395904,7106.560000
counter,uitree_free_list,,,,,1296,1.440000
counter,uitree_node_bytes,,,,,11000954880,12223283.200000
counter,cs2_scripts,,,,,10603,11.781111
counter,cs2_opcodes,,,,,2007785,2230.872222
counter,cs2_host_ops,,,,,275097,305.663333
counter,cs2_cycles,,,,,2007785,2230.872222
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,8539,9.487778
counter,cs2_vm_pool_hit,,,,,8537,9.485556
counter,cs2_vm_pool_miss,,,,,2,0.002222
counter,cs2_vm_init_ns,,,,,6671000,7412.222222
counter,cache_model_hit,,,,,25030,27.811111
counter,cache_model_miss,,,,,2193,2.436667
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,2537,2.818889
counter,cache_sprite_miss,,,,,911,1.012222
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
