kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,22783426,4077000,9829000,5281758000,,,0
window_stage,async,818133,0,328000,86267000,,,0
window_stage,logic,2256983,146000,3444000,274248000,,,0
window_stage,cs2,2164883,0,3444000,273799000,,,0
window_stage,layout,913,0,1000,120000,,,0
window_stage,interact,13543,15000,24000,30000,,,0
window_stage,emit,76413,16000,210000,316000,,,0
window_stage,paint,314993,28000,728000,817000,,,0
window_stage,build,315093,28000,729000,817000,,,0
window_stage,render,1381093,278000,3100000,3383000,,,0
window_stage,present,139013,136000,152000,198000,,,0
window_stage,server,343736,0,2000,99567000,,,0
window_counter,uitree_find_id,,,,,311513,1038.376667,0
window_counter,uitree_find_id_probes,,,,,1188144,3960.480000,0
window_counter,uitree_id_rebuild,,,,,163,0.543333,0
window_counter,uitree_find_child,,,,,26597,88.656667,0
window_counter,uitree_find_child_hit,,,,,15329,51.096667,0
window_counter,uitree_find_child_ceil_miss,,,,,10668,35.560000,0
window_counter,uitree_walk_emit,,,,,432653,1442.176667,0
window_counter,uitree_walk_hit,,,,,114315,381.050000,0
window_counter,uitree_walk_hover,,,,,21838,72.793333,0
window_counter,uitree_emit_skip,,,,,409507,1365.023333,0
window_counter,uitree_layout_resolve,,,,,313,1.043333,0
window_counter,uitree_layout_skip,,,,,156,0.520000,0
window_counter,uitree_layout_nodes,,,,,871450,2904.833333,0
window_counter,uitree_layout_node_skip,,,,,757092,2523.640000,0
window_counter,uitree_layout_depth_recompute,,,,,142,0.473333,0
window_counter,uitree_ensure_layout,,,,,6108,20.360000,0
window_counter,uitree_cc_create,,,,,10119,33.730000,0
window_counter,uitree_cc_deleteall,,,,,324,1.080000,0
window_counter,uitree_cc_deleteall_rows,,,,,4556,15.186667,0
window_counter,uitree_apply_geo,,,,,18580,61.933333,0
window_counter,uitree_apply_content,,,,,22367,74.556667,0
window_counter,uitree_apply_hook,,,,,6243,20.810000,0
window_counter,uitree_apply_other,,,,,116984,389.946667,0
window_gauge,uitree_components,,,,,7092,7092.000000,0
window_gauge,uitree_capacity,,,,,8192,8192.000000,0
window_gauge,uitree_node_bytes,,,,,14221312,14221312.000000,0
window_counter,cs2_scripts,,,,,4516,15.053333,0
window_counter,cs2_opcodes,,,,,1616212,5387.373333,0
window_counter,cs2_host_ops,,,,,226689,755.630000,0
window_counter,cs2_cycles,,,,,1616212,5387.373333,0
window_counter,cs2_vm_acquire,,,,,2433,8.110000,0
window_counter,cs2_vm_pool_hit,,,,,2431,8.103333,0
window_counter,cs2_vm_pool_miss,,,,,2,0.006667,0
window_counter,cs2_vm_init_ns,,,,,1689000,5630.000000,0
window_counter,cs2_frame_pool_hit,,,,,6233,20.776667,0
window_counter,cs2_frame_pool_miss,,,,,11,0.036667,0
window_counter,cache_model_hit,,,,,25371,84.570000,0
window_counter,cache_model_miss,,,,,2186,7.286667,0
window_counter,cache_sprite_hit,,,,,2688,8.960000,0
window_counter,cache_sprite_miss,,,,,911,3.036667,0
window_counter,painter_pops,,,,,1136418,3788.060000,0
window_counter,painter_gate_rejects,,,,,496813,1656.043333,0
window_counter,painter_pushes,,,,,1136418,3788.060000,0
window_counter,painter_push_dedup,,,,,495703,1652.343333,0
window_counter,painter_drain_events,,,,,540,1.800000,0
window_gauge,painter_commands,,,,,5212,5212.000000,0
window_gauge,painter_tiles_remaining_set,,,,,4325,4325.000000,0
window_gauge,scene_elements,,,,,59770,59770.000000,0
window_gauge,scene_anim_list,,,,,309,309.000000,0
window_gauge,zone_map_count,,,,,48,48.000000,0
window_gauge,zone_map_capacity,,,,,256,256.000000,0
window_gauge,npc_slot_max,,,,,65,65.000000,0
window_gauge,cache_model_size,,,,,1132,1132.000000,0
window_gauge,cache_sprite_size,,,,,556,556.000000,0
