kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,900,
meta,frames_over_20ms,,,,,,13,
meta,eff_fps,,,,,,87.484,
stage,frame,11430723,5998000,6881000,4506535000,,
stage,async,272831,54000,258000,76434000,,
stage,logic,820187,125000,312000,261010000,,
stage,cs2,713232,0,172000,260666000,,
stage,layout,1174,0,1000,347000,,
stage,interact,12128,11000,17000,28000,,
stage,emit,276274,314000,348000,512000,,
stage,paint,681204,782000,834000,999000,,
stage,build,681274,782000,834000,1000000,,
stage,render,2527745,2884000,3157000,3940000,,
stage,present,223580,220000,286000,354000,,
counter,uitree_find_id,,,,,619969,688.854444
counter,uitree_find_id_probes,,,,,1647060,1830.066667
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,43,0.047778
counter,uitree_find_child,,,,,26917,29.907778
counter,uitree_find_child_hit,,,,,14553,16.170000
counter,uitree_find_child_ceil_miss,,,,,11797,13.107778
counter,uitree_walk_emit,,,,,2232953,2481.058889
counter,uitree_walk_emit_drag,,,,,2736695,3040.772222
counter,uitree_walk_hit,,,,,557345,619.272222
counter,uitree_walk_hover,,,,,85850,95.388889
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,4113033,4570.036667
counter,uitree_layout_resolve,,,,,1483,1.647778
counter,uitree_layout_skip,,,,,351,0.390000
counter,uitree_layout_nodes,,,,,7770032,8633.368889
counter,uitree_layout_depth_recompute,,,,,337,0.374444
counter,uitree_ensure_layout,,,,,17550,19.500000
counter,uitree_cc_create,,,,,8188,9.097778
counter,uitree_cc_delete,,,,,3,0.003333
counter,uitree_cc_deleteall,,,,,498,0.553333
counter,uitree_cc_deleteall_rows,,,,,2740,3.044444
counter,uitree_apply_geo,,,,,21510,23.900000
counter,uitree_apply_content,,,,,24377,27.085556
counter,uitree_apply_hook,,,,,5795,6.438889
counter,uitree_apply_other,,,,,426944,474.382222
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,5523881,6137.645556
counter,uitree_capacity,,,,,6412288,7124.764444
counter,uitree_free_list,,,,,1287,1.430000
counter,uitree_node_bytes,,,,,11029135360,12254594.844444
counter,cs2_scripts,,,,,10514,11.682222
counter,cs2_opcodes,,,,,1997406,2219.340000
counter,cs2_host_ops,,,,,273923,304.358889
counter,cs2_cycles,,,,,1997406,2219.340000
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,8450,9.388889
counter,cs2_vm_pool_hit,,,,,8448,9.386667
counter,cs2_vm_pool_miss,,,,,2,0.002222
counter,cs2_vm_init_ns,,,,,6375000,7083.333333
counter,cache_model_hit,,,,,25030,27.811111
counter,cache_model_miss,,,,,2193,2.436667
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,2537,2.818889
counter,cache_sprite_miss,,,,,911,1.012222
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
