kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,11372497,4337000,5148000,6722706000,,,0
window_stage,async,341250,1000,184000,99366000,,,0
window_stage,logic,683999,81000,428000,120052000,,,0
window_stage,cs2,621522,0,349000,119885000,,,0
window_stage,layout,462,0,0,136000,,,0
window_stage,interact,14369,14000,21000,65000,,,0
window_stage,emit,121005,125000,191000,496000,,,0
window_stage,paint,512533,592000,641000,908000,,,0
window_stage,build,512657,592000,641000,908000,,,0
window_stage,render,2716452,3118000,3426000,3994000,,,0
window_stage,present,137075,133000,158000,351000,,,0
window_stage,server,101321,1000,2000,95903000,,,0
window_counter,uitree_find_id,,,,,696733,696.733000,0
window_counter,uitree_find_id_probes,,,,,1747120,1747.120000,0
window_counter,uitree_id_rebuild,,,,,606,0.606000,0
window_counter,uitree_find_child,,,,,23931,23.931000,0
window_counter,uitree_find_child_hit,,,,,13677,13.677000,0
window_counter,uitree_find_child_ceil_miss,,,,,9620,9.620000,0
window_counter,uitree_walk_emit,,,,,2703335,2703.335000,0
window_counter,uitree_walk_hit,,,,,557325,557.325000,0
window_counter,uitree_walk_hover,,,,,89628,89.628000,0
window_counter,uitree_emit_skip,,,,,2434488,2434.488000,0
window_counter,uitree_layout_resolve,,,,,746,0.746000,0
window_counter,uitree_layout_skip,,,,,363,0.363000,0
window_counter,uitree_layout_nodes,,,,,2559432,2559.432000,0
window_counter,uitree_layout_node_skip,,,,,2448875,2448.875000,0
window_counter,uitree_layout_depth_recompute,,,,,369,0.369000,0
window_counter,uitree_ensure_layout,,,,,16803,16.803000,0
window_counter,uitree_cc_create,,,,,10183,10.183000,0
window_counter,uitree_cc_deleteall,,,,,616,0.616000,0
window_counter,uitree_cc_deleteall_rows,,,,,4020,4.020000,0
window_counter,uitree_apply_geo,,,,,23625,23.625000,0
window_counter,uitree_apply_content,,,,,27166,27.166000,0
window_counter,uitree_apply_hook,,,,,7206,7.206000,0
window_counter,uitree_apply_other,,,,,472794,472.794000,0
window_gauge,uitree_components,,,,,7373,7373.000000,0
window_gauge,uitree_capacity,,,,,8192,8192.000000,0
window_gauge,uitree_node_bytes,,,,,17039360,17039360.000000,0
window_counter,cs2_scripts,,,,,8893,8.893000,0
window_counter,cs2_opcodes,,,,,2042515,2042.515000,0
window_counter,cs2_host_ops,,,,,283952,283.952000,0
window_counter,cs2_cycles,,,,,2042515,2042.515000,0
window_counter,cs2_vm_acquire,,,,,6688,6.688000,0
window_counter,cs2_vm_pool_hit,,,,,6686,6.686000,0
window_counter,cs2_vm_pool_miss,,,,,2,0.002000,0
window_counter,cs2_vm_init_ns,,,,,5554000,5554.000000,0
window_counter,cs2_frame_pool_hit,,,,,15125,15.125000,0
window_counter,cs2_frame_pool_miss,,,,,12,0.012000,0
window_counter,cache_model_hit,,,,,12128,12.128000,0
window_counter,cache_model_miss,,,,,2213,2.213000,0
window_counter,cache_sprite_hit,,,,,39570,39.570000,0
