kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,1200,
meta,frames_over_20ms,,,,,,28,
meta,eff_fps,,,,,,81.457,
stage,frame,12276459,6300000,14463000,5367810000,,
stage,async,393975,4000,459000,91158000,,
stage,logic,878923,240000,1503000,121138000,,
stage,cs2,718161,0,1120000,120957000,,
stage,layout,456,0,1000,162000,,
stage,interact,25943,19000,53000,1775000,,
stage,emit,243074,181000,575000,4811000,,
stage,paint,836525,628000,2091000,74476000,,
stage,build,836755,628000,2093000,74477000,,
stage,render,4977419,4716000,9224000,133088000,,
stage,present,158790,138000,163000,15320000,,
stage,server,87540,1000,3000,93894000,,
counter,uitree_find_id,,,,,847028,705.856667
counter,uitree_find_id_probes,,,,,2237120,1864.266667
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,498,0.415000
counter,uitree_find_child,,,,,27528,22.940000
counter,uitree_find_child_hit,,,,,16077,13.397500
counter,uitree_find_child_ceil_miss,,,,,10808,9.006667
counter,uitree_walk_emit,,,,,3341932,2784.943333
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,682105,568.420833
counter,uitree_walk_hover,,,,,108810,90.675000
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2960088,2466.740000
counter,uitree_layout_resolve,,,,,1219,1.015833
counter,uitree_layout_skip,,,,,591,0.492500
counter,uitree_layout_nodes,,,,,4378247,3648.539167
counter,uitree_layout_node_skip,,,,,4260190,3550.158333
counter,uitree_layout_depth_recompute,,,,,614,0.511667
counter,uitree_ensure_layout,,,,,30664,25.553333
counter,uitree_cc_create,,,,,11054,9.211667
counter,uitree_cc_delete,,,,,0,0.000000
counter,uitree_cc_deleteall,,,,,932,0.776667
counter,uitree_cc_deleteall_rows,,,,,5022,4.185000
counter,uitree_apply_geo,,,,,27883,23.235833
counter,uitree_apply_content,,,,,31841,26.534167
counter,uitree_apply_hook,,,,,8816,7.346667
