kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,498,
meta,frames_over_20ms,,,,,,19,
meta,eff_fps,,,,,,173.788,
stage,frame,5754122,2825083,14457042,213459500,,
stage,logic,2469770,621625,2674709,185370209,,
stage,cs2,828841,214251,609208,145920540,,
stage,layout,34276,30208,89416,311500,,
stage,interact,0,0,0,0,,
stage,uidraw,1044909,977666,2414709,25664667,,
stage,paint,107849,71208,565375,1064667,,
stage,render,630549,581458,1439584,14945666,,
stage,present,893784,15208,57542,62847084,,
stage,net,612012,4334,14542,153928416,,
stage,cache,434985,0,9417,81307850,,
counter,tri_flat,,,,,0,0.000000
counter,tri_gouraud,,,,,0,0.000000
counter,tri_textured,,,,,0,0.000000
counter,tri_alpha,,,,,0,0.000000
counter,tri_rejected,,,,,0,0.000000
counter,raster_pixels,,,,,0,0.000000
counter,raster_spans,,,,,0,0.000000
counter,models_drawn,,,,,0,0.000000
counter,model_verts,,,,,0,0.000000
counter,model_faces_sorted,,,,,0,0.000000
counter,tiles_visited,,,,,0,0.000000
counter,tiles_drawn,,,,,407245,817.761044
counter,tiles_deferred,,,,,0,0.000000
counter,widgets_visited,,,,,43824,88.000000
counter,widgets_drawn,,,,,0,0.000000
counter,widgets_skipped,,,,,0,0.000000
counter,widget_clip_sets,,,,,0,0.000000
counter,widget_sprite_blits,,,,,0,0.000000
counter,widget_text_glyphs,,,,,0,0.000000
counter,widget_models,,,,,0,0.000000
counter,widget_rects,,,,,0,0.000000
counter,cs2_scripts,,,,,6148,12.345382
counter,cs2_opcodes,,,,,0,0.000000
counter,cache_hit,,,,,0,0.000000
counter,cache_miss,,,,,0,0.000000
counter,packets,,,,,683,1.371486
counter,packet_bytes,,,,,0,0.000000
counter,widget_count,,,,,0,0.000000
counter,heap_used_mb,,,,,375,0.753012
counter,gc_count,,,,,18,0.036145
counter,gc_ms,,,,,40,0.080321
