kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,1200,
meta,frames_over_20ms,,,,,,12,
meta,eff_fps,,,,,,108.109,
stage,frame,9249918,706000,1940000,9614695000,,
stage,async,53970,0,1000,63731000,,
stage,logic,278342,1000,158000,65993000,,
stage,cs2,274632,0,145000,65981000,,
stage,layout,5495,0,55000,81000,,
stage,interact,5774,5000,10000,49000,,
stage,emit,45822,37000,104000,312000,,
stage,paint,76925,85000,104000,131000,,
stage,build,76968,85000,104000,131000,,
stage,render,465440,411000,1489000,1929000,,
stage,present,136335,135000,143000,199000,,
stage,server,113374,0,1000,70304000,,
counter,uitree_find_id,,,,,907685,756.404167
counter,uitree_find_id_probes,,,,,2105949,1754.957500
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,3289,2.740833
counter,uitree_find_child,,,,,26506,22.088333
counter,uitree_find_child_hit,,,,,16880,14.066667
counter,uitree_find_child_ceil_miss,,,,,8651,7.209167
counter,uitree_walk_emit,,,,,3074329,2561.940833
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,683185,569.320833
counter,uitree_walk_hover,,,,,109414,91.178333
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2942347,2451.955833
counter,uitree_layout_resolve,,,,,480,0.400000
counter,uitree_layout_skip,,,,,211,0.175833
counter,uitree_layout_nodes,,,,,1662707,1385.589167
counter,uitree_layout_node_skip,,,,,1551933,1293.277500
counter,uitree_layout_depth_recompute,,,,,249,0.207500
counter,uitree_ensure_layout,,,,,11276,9.396667
counter,uitree_cc_create,,,,,11997,9.997500
counter,uitree_cc_delete,,,,,0,0.000000
counter,uitree_cc_deleteall,,,,,506,0.421667
counter,uitree_cc_deleteall_rows,,,,,3430,2.858333
counter,uitree_apply_geo,,,,,27686,23.071667
counter,uitree_apply_content,,,,,37391,31.159167
counter,uitree_apply_hook,,,,,8067,6.722500
counter,uitree_apply_other,,,,,627936,523.280000
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,7665254,6387.711667
counter,uitree_capacity,,,,,9050112,7541.760000
counter,uitree_free_list,,,,,0,0.000000
counter,uitree_node_bytes,,,,,18824232960,15686860.800000
counter,cs2_scripts,,,,,6211,5.175833
counter,cs2_opcodes,,,,,2061640,1718.033333
counter,cs2_host_ops,,,,,290903,242.419167
counter,cs2_cycles,,,,,2061640,1718.033333
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,4142,3.451667
counter,cs2_vm_pool_hit,,,,,4140,3.450000
counter,cs2_vm_pool_miss,,,,,2,0.001667
counter,cs2_vm_init_ns,,,,,1289000,1074.166667
counter,cs2_frame_pool_hit,,,,,10254,8.545000
counter,cs2_frame_pool_miss,,,,,12,0.010000
counter,cache_model_hit,,,,,11526,9.605000
counter,cache_model_miss,,,,,2141,1.784167
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,7060,5.883333
counter,cache_sprite_miss,,,,,1025,0.854167
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
counter,painter_pops,,,,,8122910,6769.091667
counter,painter_gate_rejects,,,,,3586722,2988.935000
counter,painter_pushes,,,,,8122910,6769.091667
counter,painter_push_dedup,,,,,3973260,3311.050000
counter,painter_drain_events,,,,,4048,3.373333
counter,painter_commands,,,,,4571588,3809.656667
counter,painter_tiles_remaining_set,,,,,4508236,3756.863333
counter,scene_elements,,,,,2671667,2226.389167
counter,scene_anim_list,,,,,3900,3.250000
counter,zone_map_count,,,,,52058,43.381667
counter,zone_map_capacity,,,,,306944,255.786667
counter,npc_slot_max,,,,,80333,66.944167
counter,cache_model_size,,,,,149890,124.908333
counter,cache_sprite_size,,,,,78756,65.630000
counter,iface_open,,,,,49,0.040833
counter,iface_close,,,,,2,0.001667
counter,iface_bake,,,,,21,0.017500
counter,iface_bake_reuse,,,,,28,0.023333
