kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,21137416,694000,2492000,9614695000,,,0
window_stage,async,129436,0,1000,63731000,,,0
window_stage,logic,648076,1000,369000,65993000,,,0
window_stage,cs2,641342,0,339000,65981000,,,0
window_stage,layout,3206,0,47000,72000,,,0
window_stage,interact,4518,5000,7000,33000,,,0
window_stage,emit,32422,36000,63000,312000,,,0
window_stage,paint,61690,84000,107000,131000,,,0
window_stage,build,61726,85000,107000,131000,,,0
window_stage,render,526706,409000,1614000,1929000,,,0
window_stage,present,135696,135000,141000,155000,,,0
window_stage,server,271274,0,1000,70304000,,,0
window_counter,uitree_find_id,,,,,518451,1036.902000,0
window_counter,uitree_find_id_probes,,,,,1628823,3257.646000,0
window_counter,uitree_id_rebuild,,,,,3289,6.578000,0
window_counter,uitree_find_child,,,,,26366,52.732000,0
window_counter,uitree_find_child_hit,,,,,16770,33.540000,0
window_counter,uitree_find_child_ceil_miss,,,,,8621,17.242000,0
window_counter,uitree_walk_emit,,,,,1077929,2155.858000,0
window_counter,uitree_walk_hit,,,,,242185,484.370000,0
window_counter,uitree_walk_hover,,,,,41514,83.028000,0
window_counter,uitree_emit_skip,,,,,1031347,2062.694000,0
window_counter,uitree_layout_resolve,,,,,400,0.800000,0
window_counter,uitree_layout_skip,,,,,211,0.422000,0
window_counter,uitree_layout_nodes,,,,,1098227,2196.454000,0
window_counter,uitree_layout_node_skip,,,,,987489,1974.978000,0
window_counter,uitree_layout_depth_recompute,,,,,169,0.338000,0
window_counter,uitree_ensure_layout,,,,,6925,13.850000,0
window_counter,uitree_cc_create,,,,,11997,23.994000,0
window_counter,uitree_cc_deleteall,,,,,426,0.852000,0
window_counter,uitree_cc_deleteall_rows,,,,,3430,6.860000,0
window_counter,uitree_apply_geo,,,,,21983,43.966000,0
window_counter,uitree_apply_content,,,,,32984,65.968000,0
window_counter,uitree_apply_hook,,,,,7927,15.854000,0
window_counter,uitree_apply_other,,,,,277868,555.736000,0
window_gauge,uitree_components,,,,,7056,7056.000000,0
window_gauge,uitree_capacity,,,,,8192,8192.000000,0
window_gauge,uitree_node_bytes,,,,,17039360,17039360.000000,0
window_counter,cs2_scripts,,,,,4611,9.222000,0
window_counter,cs2_opcodes,,,,,1900862,3801.724000,0
window_counter,cs2_host_ops,,,,,269424,538.848000,0
window_counter,cs2_cycles,,,,,1900862,3801.724000,0
window_counter,cs2_vm_acquire,,,,,2542,5.084000,0
window_counter,cs2_vm_pool_hit,,,,,2540,5.080000,0
window_counter,cs2_vm_pool_miss,,,,,2,0.004000,0
window_counter,cs2_vm_init_ns,,,,,783000,1566.000000,0
window_counter,cs2_frame_pool_hit,,,,,6924,13.848000,0
window_counter,cs2_frame_pool_miss,,,,,12,0.024000,0
window_counter,cache_model_hit,,,,,11526,23.052000,0
window_counter,cache_model_miss,,,,,2141,4.282000,0
window_counter,cache_sprite_hit,,,,,7059,14.118000,0
window_counter,cache_sprite_miss,,,,,1025,2.050000,0
window_counter,painter_pops,,,,,2699674,5399.348000,0
window_counter,painter_gate_rejects,,,,,1193978,2387.956000,0
window_counter,painter_pushes,,,,,2699674,5399.348000,0
window_counter,painter_push_dedup,,,,,1293468,2586.936000,0
window_counter,painter_drain_events,,,,,1248,2.496000,0
window_gauge,painter_commands,,,,,4337,4337.000000,0
window_gauge,painter_tiles_remaining_set,,,,,4336,4336.000000,0
window_gauge,zone_map_count,,,,,48,48.000000,0
window_gauge,zone_map_capacity,,,,,256,256.000000,0
window_gauge,npc_slot_max,,,,,67,67.000000,0
window_counter,iface_open,,,,,49,0.098000,0
window_counter,iface_close,,,,,2,0.004000,0
window_counter,iface_bake,,,,,21,0.042000,0
window_counter,iface_bake_reuse,,,,,28,0.056000,0
window_counter,iface_mount_ns,,,,,3530000,7060.000000,0
window_counter,uitree_anim_scan,,,,,180,0.360000,0
window_counter,iface_group_scan_nodes,,,,,9338,18.676000,0
window_stage,frame,728818,697000,883000,1034000,,,1
window_stage,async,52,0,1000,1000,,,1
window_stage,logic,11476,1000,90000,166000,,,1
window_stage,cs2,10184,0,82000,159000,,,1
window_stage,layout,6522,0,58000,71000,,,1
window_stage,interact,5452,5000,8000,12000,,,1
window_stage,emit,43080,37000,84000,109000,,,1
window_stage,paint,85910,85000,93000,109000,,,1
window_stage,build,85956,85000,93000,109000,,,1
window_stage,render,414796,410000,442000,482000,,,1
window_stage,present,135682,135000,140000,152000,,,1
window_stage,server,494,0,1000,101000,,,1
window_counter,uitree_find_id,,,,,278063,556.126000,1
window_counter,uitree_find_id_probes,,,,,340985,681.970000,1
window_counter,uitree_find_child,,,,,120,0.240000,1
window_counter,uitree_find_child_hit,,,,,90,0.180000,1
window_counter,uitree_find_child_ceil_miss,,,,,30,0.060000,1
window_counter,uitree_walk_emit,,,,,1426000,2852.000000,1
window_counter,uitree_walk_hit,,,,,315000,630.000000,1
window_counter,uitree_walk_hover,,,,,48500,97.000000,1
window_counter,uitree_emit_skip,,,,,1365000,2730.000000,1
window_counter,uitree_layout_resolve,,,,,56,0.112000,1
window_counter,uitree_layout_nodes,,,,,395136,790.272000,1
window_counter,uitree_layout_node_skip,,,,,395100,790.200000,1
window_counter,uitree_layout_depth_recompute,,,,,56,0.112000,1
window_counter,uitree_ensure_layout,,,,,3069,6.138000,1
window_counter,uitree_cc_deleteall,,,,,56,0.112000,1
window_counter,uitree_apply_geo,,,,,4098,8.196000,1
window_counter,uitree_apply_content,,,,,3144,6.288000,1
window_counter,uitree_apply_hook,,,,,116,0.232000,1
window_counter,uitree_apply_other,,,,,250048,500.096000,1
window_gauge,uitree_components,,,,,7056,7056.000000,1
window_gauge,uitree_capacity,,,,,8192,8192.000000,1
window_gauge,uitree_node_bytes,,,,,17039360,17039360.000000,1
window_counter,cs2_scripts,,,,,1120,2.240000,1
window_counter,cs2_opcodes,,,,,117041,234.082000,1
window_counter,cs2_host_ops,,,,,15479,30.958000,1
window_counter,cs2_cycles,,,,,117041,234.082000,1
window_counter,cs2_vm_acquire,,,,,1120,2.240000,1
window_counter,cs2_vm_pool_hit,,,,,1120,2.240000,1
window_counter,cs2_vm_init_ns,,,,,331000,662.000000,1
window_counter,cs2_frame_pool_hit,,,,,2344,4.688000,1
window_counter,cache_sprite_hit,,,,,1,0.002000,1
window_counter,painter_pops,,,,,3873836,7747.672000,1
window_counter,painter_gate_rejects,,,,,1709144,3418.288000,1
window_counter,painter_pushes,,,,,3873836,7747.672000,1
window_counter,painter_push_dedup,,,,,1914192,3828.384000,1
window_counter,painter_drain_events,,,,,2000,4.000000,1
window_gauge,painter_commands,,,,,4329,4329.000000,1
window_gauge,painter_tiles_remaining_set,,,,,4328,4328.000000,1
window_gauge,zone_map_count,,,,,48,48.000000,1
window_gauge,zone_map_capacity,,,,,256,256.000000,1
window_gauge,npc_slot_max,,,,,67,67.000000,1
window_counter,uitree_anim_scan,,,,,112,0.224000,1
window_stage,frame,833925,812000,1077000,1209000,,,2
window_stage,async,105,0,1000,1000,,,2
window_stage,logic,21175,1000,176000,198000,,,2
window_stage,cs2,18980,0,167000,188000,,,2
window_stage,layout,8650,0,73000,81000,,,2
window_stage,interact,9720,9000,17000,49000,,,2
window_stage,emit,86180,92000,133000,218000,,,2
window_stage,paint,92555,92000,101000,122000,,,2
window_stage,build,92605,92000,101000,122000,,,2
window_stage,render,438885,435000,475000,523000,,,2
window_stage,present,139570,139000,145000,199000,,,2
window_stage,server,825,0,1000,98000,,,2
window_counter,uitree_find_id,,,,,111171,555.855000,2
window_counter,uitree_find_id_probes,,,,,136141,680.705000,2
window_counter,uitree_find_child,,,,,20,0.100000,2
window_counter,uitree_find_child_hit,,,,,20,0.100000,2
window_counter,uitree_walk_emit,,,,,570400,2852.000000,2
window_counter,uitree_walk_hit,,,,,126000,630.000000,2
window_counter,uitree_walk_hover,,,,,19400,97.000000,2
window_counter,uitree_emit_skip,,,,,546000,2730.000000,2
window_counter,uitree_layout_resolve,,,,,24,0.120000,2
window_counter,uitree_layout_nodes,,,,,169344,846.720000,2
window_counter,uitree_layout_node_skip,,,,,169344,846.720000,2
window_counter,uitree_layout_depth_recompute,,,,,24,0.120000,2
window_counter,uitree_ensure_layout,,,,,1282,6.410000,2
window_counter,uitree_cc_deleteall,,,,,24,0.120000,2
window_counter,uitree_apply_geo,,,,,1605,8.025000,2
window_counter,uitree_apply_content,,,,,1263,6.315000,2
window_counter,uitree_apply_hook,,,,,24,0.120000,2
window_counter,uitree_apply_other,,,,,100020,500.100000,2
window_gauge,uitree_components,,,,,7056,7056.000000,2
window_gauge,uitree_capacity,,,,,8192,8192.000000,2
window_gauge,uitree_node_bytes,,,,,17039360,17039360.000000,2
window_counter,cs2_scripts,,,,,480,2.400000,2
window_counter,cs2_opcodes,,,,,43737,218.685000,2
window_counter,cs2_host_ops,,,,,6000,30.000000,2
window_counter,cs2_cycles,,,,,43737,218.685000,2
window_counter,cs2_vm_acquire,,,,,480,2.400000,2
window_counter,cs2_vm_pool_hit,,,,,480,2.400000,2
window_counter,cs2_vm_init_ns,,,,,175000,875.000000,2
