kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,4222006,3462600,4959800,154114000,,,0
window_stage,async,388707,100,300,121491200,,,0
window_stage,logic,27450,18000,65900,1125400,,,0
window_stage,cs2,7861,0,29300,1124800,,,0
window_stage,layout,109,0,500,6900,,,0
window_stage,interact,7861,6600,16100,59500,,,0
window_stage,emit,8381,7100,19600,24100,,,0
window_stage,paint,854905,823500,1064100,1795300,,,0
window_stage,build,855062,823600,1064400,1795500,,,0
window_stage,render,2155863,1827900,2822600,82778200,,,0
window_stage,pick_finish,9526,8800,16600,42200,,,0
window_stage,present,582299,431200,1117500,2094300,,,0
window_stage,server,0,0,0,0,,,0
window_stage,platform_poll,51059,55600,144000,285900,,,0
window_stage,command_drain,516,500,1200,5200,,,0
window_stage,app_run,530660,61500,170000,121581000,,,0
window_stage,frame_post,30639,23500,73100,234500,,,0
window_stage,input_prep,54410,58300,148400,370400,,,0
window_stage,surface_sync,146,100,300,700,,,0
window_stage,display,3602791,3276900,4648400,84964600,,,0
window_stage,window_sync,147,100,400,800,,,0
window_cpu,main_thread,3623821,2894944,4099046,138066278,,,0
window_cpu_info,cycle_normalized_estimate,,,,,,,0
window_cpu_raw,main_thread_calibration_clock_total,,,,,1812500000,3625000.000000,0
window_counter,uitree_find_id,,,,,279111,558.222000,0
window_counter,uitree_find_id_probes,,,,,318741,637.482000,0
window_counter,uitree_id_rebuild,,,,,10,0.020000,0
window_counter,uitree_find_child,,,,,1950,3.900000,0
window_counter,uitree_find_child_hit,,,,,11,0.022000,0
window_counter,uitree_find_child_ceil_miss,,,,,1890,3.780000,0
window_counter,uitree_walk_emit,,,,,55888,111.776000,0
window_counter,uitree_walk_hit,,,,,136180,272.360000,0
window_counter,uitree_walk_hover,,,,,21000,42.000000,0
window_counter,uitree_emit_skip,,,,,48902,97.804000,0
window_counter,uitree_layout_resolve,,,,,103,0.206000,0
window_counter,uitree_layout_skip,,,,,92,0.184000,0
window_counter,uitree_layout_nodes,,,,,7071,14.142000,0
window_counter,uitree_layout_node_skip,,,,,4990,9.980000,0
window_counter,uitree_layout_depth_recompute,,,,,8,0.016000,0
window_counter,uitree_ensure_layout,,,,,927,1.854000,0
window_counter,uitree_cc_create,,,,,1822,3.644000,0
window_counter,uitree_cc_deleteall,,,,,10,0.020000,0
window_counter,uitree_cc_deleteall_rows,,,,,906,1.812000,0
window_counter,uitree_apply_geo,,,,,2922,5.844000,0
window_counter,uitree_apply_content,,,,,54,0.108000,0
window_counter,uitree_apply_hook,,,,,66,0.132000,0
window_counter,uitree_apply_other,,,,,251451,502.902000,0
window_gauge,uitree_components,,,,,1072,1072.000000,0
window_gauge,uitree_capacity,,,,,2048,2048.000000,0
window_gauge,uitree_node_bytes,,,,,4259840,4259840.000000,0
window_counter,cs2_scripts,,,,,638,1.276000,0
window_counter,cs2_opcodes,,,,,65583,131.166000,0
window_counter,cs2_host_ops,,,,,10167,20.334000,0
window_counter,cs2_cycles,,,,,65583,131.166000,0
window_counter,cs2_vm_acquire,,,,,516,1.032000,0
window_counter,cs2_vm_pool_hit,,,,,515,1.030000,0
window_counter,cs2_vm_pool_miss,,,,,1,0.002000,0
window_counter,cs2_vm_init_ns,,,,,548500,1097.000000,0
window_counter,cs2_frame_pool_hit,,,,,744,1.488000,0
window_counter,cs2_frame_pool_miss,,,,,7,0.014000,0
window_counter,cache_model_hit,,,,,5349,10.698000,0
window_counter,cache_model_miss,,,,,827,1.654000,0
window_counter,cache_sprite_hit,,,,,201,0.402000,0
window_counter,cache_sprite_miss,,,,,139,0.278000,0
window_counter,painter_pops,,,,,9410700,18821.400000,0
window_counter,painter_gate_rejects,,,,,4093778,8187.556000,0
window_counter,painter_pushes,,,,,9410700,18821.400000,0
window_counter,painter_push_dedup,,,,,4282980,8565.960000,0
window_counter,painter_drain_events,,,,,1976,3.952000,0
window_gauge,painter_commands,,,,,4946,4946.000000,0
window_gauge,painter_tiles_remaining_set,,,,,9778,9778.000000,0
window_counter,iface_open,,,,,1,0.002000,0
window_counter,iface_bake,,,,,1,0.002000,0
window_counter,iface_mount_ns,,,,,507900,1015.800000,0
window_counter,uitree_anim_scan,,,,,204,0.408000,0
window_counter,d3d9_world_atlas_upload_bytes,,,,,2097152,4194.304000,0
window_counter,d3d9_world_atlas_uploads,,,,,1,0.002000,0
window_counter,d3d9_animated_texture_upload_bytes,,,,,131072,262.144000,0
window_counter,d3d9_animated_texture_uploads,,,,,2,0.004000,0
window_counter,d3d9_ui_texture_upload_bytes,,,,,927496,1854.992000,0
window_counter,d3d9_ui_texture_uploads,,,,,10,0.020000,0
window_counter,d3d9_ui_batch_draws,,,,,3483,6.966000,0
window_counter,d3d9_ui_rotmask_draws,,,,,992,1.984000,0
window_counter,d3d9_static_vbo_upload_bytes,,,,,42588160,85176.320000,0
window_counter,d3d9_static_vbo_uploads,,,,,17,0.034000,0
window_counter,d3d9_static_batch_builds,,,,,1,0.002000,0
window_gauge,d3d9_static_batch_active_pages,,,,,16,16.000000,0
window_counter,d3d9_ibo_upload_bytes,,,,,115061388,230122.776000,0
window_counter,d3d9_ibo_uploads,,,,,494,0.988000,0
window_counter,d3d9_ibo_indices,,,,,57530694,115061.388000,0
window_counter,d3d9_ibo_chain_nodes,,,,,1202396,2404.792000,0
window_counter,d3d9_draw_ranges,,,,,1214746,2429.492000,0
window_counter,d3d9_draw_calls,,,,,1214746,2429.492000,0
window_counter,d3d9_page_switches,,,,,1201902,2403.804000,0
window_counter,d3d9_texture_switches,,,,,13338,26.676000,0
window_counter,d3d9_stream_switches,,,,,20134,40.268000,0
window_stage,frame,3677206,3523700,4757500,7368700,,,1
window_stage,async,109,100,300,400,,,1
window_stage,logic,25960,20000,63400,109700,,,1
window_stage,cs2,5578,0,29800,75500,,,1
window_stage,layout,114,0,600,6400,,,1
window_stage,interact,8172,7200,15700,55000,,,1
window_stage,emit,9058,7400,19700,113700,,,1
window_stage,paint,902092,834400,1358700,2003800,,,1
window_stage,build,902261,834500,1359000,2004000,,,1
