dir	human_name	varp	const_not_started	const_complete	has_run_selftest	run_name	bmp_count	bmp_numbered	journal_bmp_count	leftover_count	has_reset	reset_name	boss_fight	boss_npcs	post_boss_stage	cutscene_or_instance	notes
quest_animalmagnetism	Animal Magnetism	%anma_main	^anma_not_started	^anma_complete	no	?	138	yes	22	4	yes	anma	no			yes	17 legacy/unnumbered bmp names alongside numbered; 24 TODO/stub markers; 4 leftover items (unimplemented)
quest_anothersliceofham	Another Slice of H.A.M.	%slice_quest	^slice_not_started	^slice_complete	yes	anothersliceofhamrun	130	yes	12	3	no	?	yes	slice_ham_mage;slice_ham_archer;slice_sigmund_noprayer	^slice_infiltrate;^slice_finish	yes	16 legacy/unnumbered bmp names alongside numbered; 22 TODO/stub markers; 3 leftover items (unimplemented)
quest_arena	Fight Arena	%arenaquest	^arena_not_started	^arena_complete	yes	arenarun	0	?	0	0	no	?	yes	arena_ogre;arena_scorpion;arena_bouncer;general_khazard_arena	arena_defeat_ogre;arena_defeat_scorpion;arena_defeat_bouncer;arena_defeat_general	yes	
quest_arthur	Merlin's Crystal	%arthur	^arthur_not_started	^arthur_complete	yes	arthurrun	0	?	0	0	no	?	no			yes	40 TODO/stub markers
quest_ascentofarceuus	The Ascent of Arceuus	%arcquest	^aoa_not_started	^aoa_complete	yes	aoarun	63	yes	13	8	yes	ascentofarceuus	yes	arcquest_soul	^aoa_soul;^aoa_kaal2	yes	13 TODO/stub markers; 8 leftover items (unimplemented)
quest_atailoftwocats	A Tail of Two Cats	%twocats	?	70 (literal int in quest_cheat.rs2, no named ^const)	no	?	0	?	0	0	no	?	no			no	configs/*.constant is an intentionally-empty stub; state lives in %twocats_quest only
quest_atfirstlight	At First Light	%afl	^afl_not_started	^afl_complete	yes	aflrun	74	yes	8	6	yes	atfirstlight	no			no	8 TODO/stub markers; 6 leftover items (unimplemented)
quest_ball	Witch's House	%ballquest	^ball_not_started	^ball_complete	yes	ballrun	0	?	0	0	no	?	yes	shapeshifterwolf	queue_defeat_witches_experiment	no	11 TODO/stub markers
quest_bearyoursoul	Bear Your Soul	%arceuus_soulbearer_story	^bys_not_started	^bys_complete	yes	bysrun	29	yes	4	4	yes	bearyoursoul	no			no	3 TODO/stub markers; 4 leftover items (unimplemented)
quest_belowicemountain	Below Ice Mountain	%bim	^bim_not_started	^bim_complete	yes	bimrun	102	yes	8	8	yes	belowicemountain	no			yes	8 TODO/stub markers; 8 leftover items (unimplemented)
quest_beneathcursedsands	Beneath Cursed Sands	%bcs	^bcs_not_started	^bcs_complete	yes	bcsrun	81	yes	6	8	yes	beneathcursedsands	no			yes	5 TODO/stub markers; 8 leftover items (unimplemented)
quest_betweenarock	Between a Rock...	%dwarfrock_quest	^dwarfrock_not_started	^dwarfrock_complete	no	?	0	?	0	0	no	?	no			no	8 TODO/stub markers
quest_biohazard	Biohazard	%biohazard	?	^biohazard_complete	no	?	13	no	0	0	yes	biohazardreset	no			no	unnumbered bmp scheme (13 scenes)
quest_blackarmgang	Shield of Arrav	%blackarmgang	^blackarmgang_not_started	^blackarmgang_complete	yes	blackarmgangrun	0	?	0	0	no	?	no			no	32 TODO/stub markers
quest_blackknight	Black Knights' Fortress	%spy	^blackknight_not_started	^blackknight_complete	yes	blackknightrun	7	no	0	0	no	?	no			no	unnumbered bmp scheme (7 scenes); 20 TODO/stub markers
quest_bonevoyage	Bone Voyage	%fossilquest_progress	^bv_not_started	^bv_complete	yes	bvrun	67	yes	12	3	yes	bonevoyage	no			no	12 TODO/stub markers; 3 leftover items (unimplemented)
quest_cabinfever	Cabin Fever	%fever_quest	^fever_not_started	^fever_complete	no	?	90	no	9	4	no	?	no			yes	unnumbered bmp scheme (77 scenes); 8 TODO/stub markers; 4 leftover items (unimplemented)
quest_childrenofthesun	Children of the Sun	%vmq1	^cots_not_started	^cots_complete	yes	cotsrun	45	yes	8	7	yes	childrenofthesun	no			yes	8 TODO/stub markers; 7 leftover items (unimplemented)
quest_chompybird	Big Chompy Bird Hunting	%chompybird_kills	^chompybird_not_started	^chompybird_complete	no	?	0	?	0	0	no	?	yes	chompybird	chompybird_kill	yes	2 TODO/stub markers
quest_clientofkourend	Client of Kourend	%veos_progress	^cok_not_started	^cok_complete	yes	cokrun	46	yes	6	4	yes	clientofkourend	no			yes	6 TODO/stub markers; 4 leftover items (unimplemented)
quest_cog	Clock Tower	%cog_bits	^quest_cog_not_started	^quest_cog_complete	yes	cogrun	12	no	0	0	no	?	no			no	unnumbered bmp scheme (12 scenes); 21 TODO/stub markers
quest_coldwar	Cold War	%peng_quest	^coldwar_not_started	^coldwar_complete	yes	cwrun	168	yes	28	5	yes	coldwar	no			yes	36 legacy/unnumbered bmp names alongside numbered; 23 TODO/stub markers; 5 leftover items (unimplemented)
quest_contact	Contact!	%contact	^contact_not_started	^contact_complete	yes	contactrun	77	yes	0	3	yes	contact	yes	contact_scarab_boss	^contact_osman_outside;^contact_scarab_killed	yes	9 TODO/stub markers; 3 leftover items (unimplemented)
quest_cook	Cook's Assistant	%cookquest	^cook_not_started	^cook_complete	yes	cookrun	13	no	0	0	yes	cook	no			no	unnumbered bmp scheme (13 scenes); 14 TODO/stub markers
quest_corsaircurse	The Corsair Curse	%corscurs_progress	^cc_not_started	^cc_complete	yes	ccrun	59	yes	6	7	yes	corsaircurse	no			yes	6 TODO/stub markers; 7 leftover items (unimplemented)
quest_crest	Family Crest	%crest_spells_levers_gauntlets	^crest_not_started	^crest_complete	yes	crestrun	0	?	0	0	no	?	yes	chronozon	^crest_cured_johnathon	no	
quest_currentaffairs	Current Affairs	%current_affairs	^ca_not_started	^ca_complete	yes	carun	0	?	0	0	yes	currentaffairs	no			no	5 TODO/stub markers
quest_curseofarrav	The Curse of Arrav	%coa	^coa_not_started	^coa_complete	yes	coarun	46	no	5	9	yes	curseofarrav	no			no	unnumbered bmp scheme (32 scenes); 4 TODO/stub markers; 9 leftover items (unimplemented)
quest_darknessofhallowvale	Darkness of Hallowvale	%myq3_main_quest	^doh_not_started	^doh_complete	yes	dohrun	133	yes	21	3	yes	darknessofhallowvale	no			yes	10 legacy/unnumbered bmp names alongside numbered; 15 TODO/stub markers; 3 leftover items (unimplemented)
quest_death	Death Plateau	%death_equiproom	^death_not_started	^death_complete	no	?	12	no	0	0	yes	deathreset	no			yes	unnumbered bmp scheme (12 scenes); 45 TODO/stub markers
quest_deathontheisle	Death on the Isle	%doti	^di_not_started	^di_complete	yes	dirun	79	yes	7	7	yes	deathontheisle	no			no	6 TODO/stub markers; 7 leftover items (unimplemented)
quest_deathtothedorgeshuun	Death to the Dorgeshuun	%dttd_main	^dttd_not_started	^dttd_complete	yes	dttdrun	82	yes	7	8	yes	deathtothedorgeshuun	yes	dttd_ham_guard_mill;dttd_sigmund_melee	calc;^dttd_mill_entered;^dttd_sigmund_defeated	yes	10 TODO/stub markers; 8 leftover items (unimplemented)
quest_defenderofvarrock	Defender of Varrock	%dov	^dov_not_started	^dov_complete	yes	dovrun	133	yes	14	7	yes	defenderofvarrock	yes	camdozaal_golem_chaos;dov_armoured_zombie_melee_1	^dov_ramarno;^dov_balcony_1;^dov_zombies_1;^dov_arrav (+more)	yes	13 legacy/unnumbered bmp names alongside numbered; 24 TODO/stub markers; 7 leftover items (unimplemented)
quest_demon	Demon Slayer	%demonslayer_main	^demon_not_started	^demon_complete	yes	demonrun	11	no	0	0	no	?	yes	delrith	demon_slayer_ready_to_banish	yes	unnumbered bmp scheme (11 scenes); 19 TODO/stub markers
quest_depthsofdespair	The Depths of Despair	%hosidiusquest	^dod_not_started	^dod_complete	yes	dodrun	65	yes	11	7	yes	depthsofdespair	yes	hosidiusquest_snake	^dod_snake;^dod_chest	yes	11 TODO/stub markers; 7 leftover items (unimplemented)
quest_desertrescue	Tourist Trap	%desertrescue_map_mechanisms	^desertrescue_not_started	^desertrescue_complete	no	?	0	?	0	0	no	?	yes	desertminingcaptain	^desertrescue_approached_captain;^desertrescue_killed_capt	no	
quest_deserttreasure	Desert Treasure I	%deserttreasure	^dt_not_started	^dt_complete	no	?	0	?	0	0	yes	deserttreasure	yes	blooddiamond_vampirewarrior;firediamond_firewarrior;icediamond_icewarrior;fd_damis_tougher	^dt_blood_agreed;^dt_blood_killed;^dt_smoke_keyed;^dt_smoke_complete (+more)	yes	18 TODO/stub markers
quest_deserttreasureii	Desert Treasure II - The Fallen Empire	%dt2	^dt2_not_started	^dt2_complete	yes	dt2run	77	yes	5	10	yes	deserttreasureii	no			yes	4 TODO/stub markers; 10 leftover items (unimplemented)
quest_deviousminds	Devious Minds	%devious_main	^deviousminds_not_started	^deviousminds_complete	no	?	0	?	0	0	no	?	no			yes	13 TODO/stub markers
quest_doric	Doric's Quest	%doricquest	^doric_not_started	^doric_complete	yes	doricrun	0	?	0	0	no	?	no			no	7 TODO/stub markers; has checked-in selftest bmps but no debugproc bmp_ found (check); stale: server/scripts/selftest/quest_doric has checked-in .bmp fixtures but no bmp_ debugproc exists in current scripts (drift)
quest_dragon	Dragon Slayer I	%dragonquest	^quest_dragon_not_started	^dragon_complete	yes	dragonrun	0	?	0	0	no	?	yes	elvarg;elvarg_alive	dragon_complete	yes	49 TODO/stub markers
quest_dragonslayer2	Dragon Slayer II	%ds2	^ds2_not_started	^ds2_complete	yes	ds2run	226	no	11	8	yes	dragonslayer2	yes	strange_spawn;galvek_earth;ds2_golem_magic;dream_robert_combat	^ds2_spawn;^ds2_finish;add;^ds2_robert (+more)	yes	108 legacy/unnumbered bmp names alongside numbered; 10 TODO/stub markers; 8 leftover items (unimplemented)
quest_dreammentor	Dream Mentor	%dream_prog	^dreammentor_not_started	^dreammentor_complete	no	?	77	yes	8	2	no	?	no			yes	7 legacy/unnumbered bmp names alongside numbered; 7 TODO/stub markers; 2 leftover items (unimplemented)
quest_druid	Druidic Ritual	%druidquest	^druid_not_started	^druid_complete	yes	druidrun	9	no	0	0	no	?	no			no	unnumbered bmp scheme (9 scenes); 11 TODO/stub markers
quest_druidspirit	Nature Spirit	%druidspirit	^druidspirit_not_started	^druidspirit_complete	no	?	0	?	0	0	no	?	yes	ghast_vis	ghast_vis_reward	yes	
quest_drunkmonk	Monk's Friend	%drunkmonkquest	^drunkmonk_not_started	^drunkmonk_complete	yes	drunkmonkrun	0	?	0	0	no	?	no			no	20 TODO/stub markers
quest_eadgar	Eadgar's Ruse	%eadgar_bits	^eadgar_pete_dialog_1	^eadgar_complete	no	?	0	?	0	0	no	?	no			no	
quest_eaglepeak	Eagles' Peak	%eaglepeak_quest	^eaglepeak_not_started	^eaglepeak_complete	no	?	163	yes	11	2	yes	eaglepeaksilver	yes	eaglepeak_uber_kebbit	^eaglepeak_silver_threatened	no	51 legacy/unnumbered bmp names alongside numbered; 7 TODO/stub markers; 2 leftover items (unimplemented)
quest_elemental_workshop	Elemental Workshop I	%elemental_workshop_bits (bitfield)	?	?	no	?	0	?	0	0	no	?	no			no	Elemental Workshop I tracks progress via testbit() on a shared bitfield varp, not a single staged int varp; no .constant file in this dir at all
quest_elementalworkshopii	Elemental Workshop II	%elemental_quest_2_main	^elem2_not_started	^elem2_complete	no	?	118	yes	13	3	no	?	no			no	3 legacy/unnumbered bmp names alongside numbered; 13 TODO/stub markers; 3 leftover items (unimplemented)
quest_elena	Plague City	%elenaquest	^quest_elena_not_started	^elena_complete	no	?	0	?	0	0	no	?	no			yes	2 TODO/stub markers
quest_enakhraslament	Enakhra's Lament	%enakh_quest	^enakh_not_started	^enakh_complete	yes	enakhraslamentrun	96	no	9	4	yes	enakhraslament	no			yes	unnumbered bmp scheme (83 scenes); 9 TODO/stub markers; 4 leftover items (unimplemented)
quest_enlightenedjourney	Enlightened Journey	%zep_quest	^ej_not_started	^ej_complete	yes	ejrun	81	yes	9	3	yes	ej	no			yes	16 TODO/stub markers; 3 leftover items (unimplemented)
quest_entertheabyss	Enter the Abyss	%abyssal_miniquest	^eta_not_started	^eta_complete	yes	etarun	9	no	0	0	yes	entertheabyss	no			no	unnumbered bmp scheme (9 scenes); 8 TODO/stub markers
quest_ethicallyacquiredantiquities	Ethically Acquired Antiquities	%eaa	^eaa_not_started	^eaa_complete	yes	eaarun	82	yes	12	6	yes	ethicallyacquiredantiquities	no			yes	12 TODO/stub markers; 6 leftover items (unimplemented)
quest_fenkenstrain	Creature of Fenkenstrain	%fenk_quest	^fenk_not_started	^fenk_complete	no	?	0	?	0	0	yes	fenkenstrain	yes	fenk_experiment_1		no	9 TODO/stub markers
quest_finaldawn	The Final Dawn	%vmq4	^tfd_not_started	^tfd_complete	yes	tfdrun	69	yes	8	9	yes	finaldawn	no			yes	7 TODO/stub markers; 9 leftover items (unimplemented)
quest_fishingcompo	Fishing Contest	%fishingcompo	^fishingcompo_not_started	^fishingcompo_complete	yes	fishingcomporun	10	no	0	0	no	?	no			no	unnumbered bmp scheme (10 scenes); 17 TODO/stub markers
quest_fluffs	Gertrude's Cat	%fluffs	^fluffs_not_started	^fluffs_complete	yes	fluffsrun	9	no	0	0	no	?	no			no	unnumbered bmp scheme (9 scenes); 15 TODO/stub markers
quest_forgettabletale	Forgettable Tale...	%forget_quest	^forget_not_started	^forget_complete	no	?	0	?	0	0	no	?	no			yes	24 TODO/stub markers
quest_forsakentower	The Forsaken Tower	%lovaquest	^ft_not_started	^ft_complete	yes	ftrun	49	yes	7	7	yes	forsakentower	no			no	6 TODO/stub markers; 7 leftover items (unimplemented)
quest_fremennikexiles	The Fremennik Exiles	%vikingexile	^fx_not_started	^fx_complete	yes	fxrun	67	yes	9	10	yes	fremennikexiles	no			yes	8 TODO/stub markers; 10 leftover items (unimplemented)
quest_gardenofdeath	The Garden of Death	%tgod	^god_not_started	^god_complete	yes	godrun	80	yes	8	5	yes	gardenofdeath	no			no	8 TODO/stub markers; 5 leftover items (unimplemented)
quest_gardenoftranquility	Garden of Tranquillity	%garden_quest	^garden_not_started	^garden_complete	yes	gardenoftranquilityrun	0	?	0	0	yes	gardenoftranquility	no			yes	6 TODO/stub markers
quest_gettingahead	Getting Ahead	%ga	^ga_not_started	^ga_complete	yes	garun	52	yes	6	6	yes	gettingahead	no			yes	6 TODO/stub markers; 6 leftover items (unimplemented)
quest_ghostsahoy	Ghosts Ahoy	%ahoy_questvar	^ahoy_not_started	^ahoy_complete	no	?	14	no	0	0	yes	ghostsahoy	yes	giant_lobster		no	unnumbered bmp scheme (14 scenes); 8 TODO/stub markers
quest_giantdwarf	The Giant Dwarf	%giantdwarf_quest	^gdwarf_not_started	^gdwarf_complete	yes	gdwarfrun	0	?	0	0	yes	giantdwarf	no			yes	15 TODO/stub markers
