# Curated worklist: cache-declared options with no binding.
# Derived from `world_interaction_scan.py --coverage`, filtered per
# docs/WORLD_INTERACTIONS.md S4 (the false-positive classes).  Status is NOT
# stored here -- `--worklist` re-resolves every row against the script tree,
# so a row cannot claim done while the binding is absent.
#
# family	table	symbol	op	verb	category	name
weave	loc	regicide_loom	op2	Weave	2299	Loom
weave	loc	loom	op2	Weave	2299	Loom
weave	loc	fossil_loom_built	op2	Weave	-	Loom
weave	loc	amenity_loom_built	op2	Weave	-	Loom
shear	npc	sheepunsheered	op1	Shear	507	Sheep
shear	npc	sheepunsheeredg	op1	Shear	507	Sheep
shear	npc	sheepunsheeredw	op1	Shear	507	Sheep
shear	npc	sheepunsheered2	op1	Shear	507	Sheep
shear	npc	sheepunsheered2g	op1	Shear	507	Sheep
shear	npc	sheepunsheered2w	op1	Shear	507	Sheep
shear	npc	sheepunsheered3	op1	Shear	507	Sheep
shear	npc	sheepunsheered3g	op1	Shear	507	Sheep
shear	npc	sheepunsheered3w	op1	Shear	507	Sheep
shear	npc	sheepunsheeredshaggy	op1	Shear	507	Sheep
shear	npc	sheepunsheeredshaggy2	op1	Shear	507	Sheep
smelt	loc	dwarf_keldagrim_furnace	op2	Smelt	-	Furnace
smelt	loc	enakh_new_furnace_lit	op2	Smelt	-	Furnace
smelt	loc	burgh_furnace_fired	op2	Smelt	-	Furnace
smelt	loc	lovakengj_furnace_large_01	op1	Smelt	-	Lovakite furnace
smelt	loc	zqfurnace_lit	op2	Smelt	-	Furnace
smelt	loc	lovaquest_tower_furnace_lit	op2	Smelt	-	Furnace
smelt	loc	cof_furnace	op2	Smelt	-	Furnace
smelt	loc	amenity_furnace_built	op2	Smelt	-	Furnace
churn	loc	dairy_churn	op1	Churn	1175	Dairy churn
churn	loc	dairy_churn_metal	op1	Churn	1175	Dairy churn
churn	loc	kr_sin_dairy_churn	op1	Churn	1175	Dairy churn
churn	loc	kr_sin_dairy_churn_north	op1	Churn	1175	Dairy churn
fruit_tree	loc	banana_tree_fruit_1	op1	Pick-banana	-	Banana tree
fruit_tree	loc	banana_tree_fruit_2	op1	Pick-banana	-	Banana tree
fruit_tree	loc	banana_tree_fruit_3	op1	Pick-banana	-	Banana tree
fruit_tree	loc	banana_tree_fruit_4	op1	Pick-banana	-	Banana tree
fruit_tree	loc	banana_tree_fruit_5	op1	Pick-banana	-	Banana tree
fruit_tree	loc	banana_tree_fruit_6	op1	Pick-banana	-	Banana tree
fruit_tree	loc	curry_tree_fruit_1	op1	Pick-leaf	-	Curry tree
fruit_tree	loc	curry_tree_fruit_2	op1	Pick-leaf	-	Curry tree
fruit_tree	loc	curry_tree_fruit_3	op1	Pick-leaf	-	Curry tree
fruit_tree	loc	curry_tree_fruit_4	op1	Pick-leaf	-	Curry tree
