Defense = 10
Attack	Hit Chance
-------------------
0	0.0000
1	0.0455
2	0.0909
3	0.1364
4	0.1818
5	0.2273
6	0.2727
7	0.3182
8	0.3636
9	0.4091
10	0.4545
11	0.5000
12	0.5385
13	0.5714
14	0.6000
15	0.6250
16	0.6471
17	0.6667
18	0.6842
19	0.7000
20	0.7143
Defense = 10
Attack	Hit Chance
-------------------
50	0.8824
51	0.8846
52	0.8868
53	0.8889
54	0.8909
55	0.8929
56	0.8947
57	0.8966
58	0.8983
59	0.9000
60	0.9016
61	0.9032
62	0.9048
63	0.9062
64	0.9077
65	0.9091
66	0.9104
67	0.9118
68	0.9130
69	0.9143
70	0.9155
71	0.9167
72	0.9178
73	0.9189
74	0.9200
75	0.9211
76	0.9221
77	0.9231
78	0.9241
79	0.9250
80	0.9259
81	0.9268
82	0.9277
83	0.9286
84	0.9294
85	0.9302
86	0.9310
87	0.9318
88	0.9326
89	0.9333
90	0.9341
91	0.9348
92	0.9355
93	0.9362
94	0.9368
95	0.9375
96	0.9381
97	0.9388
98	0.9394
99	0.9400
100	0.9406
Defense = 1000
Attack	Hit Chance
-------------------
0	0.0000
1	0.0005
2	0.0010
3	0.0015
4	0.0020
5	0.0025
6	0.0030
7	0.0035
8	0.0040
9	0.0045
10	0.0050
11	0.0055
12	0.0060
13	0.0065
14	0.0070
15	0.0075
16	0.0080
17	0.0085
18	0.0090
19	0.0095
20	0.0100
21	0.0105
22	0.0110
23	0.0115
24	0.0120
25	0.0125
26	0.0130
27	0.0135
28	0.0140
29	0.0145
30	0.0150
31	0.0155
32	0.0160
33	0.0165
34	0.0170
35	0.0175
36	0.0180
37	0.0185
38	0.0190
39	0.0195
40	0.0200
41	0.0205
42	0.0210
43	0.0215
44	0.0220
45	0.0225
46	0.0230
47	0.0235
48	0.0240
49	0.0245
50	0.0250
51	0.0255
52	0.0260
53	0.0265
54	0.0270
55	0.0275
56	0.0280
57	0.0285
58	0.0290
59	0.0295
60	0.0300
61	0.0305
62	0.0310
63	0.0315
64	0.0320
65	0.0325
66	0.0330
67	0.0335
68	0.0340
69	0.0345
70	0.0350
71	0.0355
72	0.0360
73	0.0365
74	0.0370
75	0.0375
