Function                                             CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Instructions Retired  Microarchitecture Usage(%)  Microarchitecture Usage:Microarchitecture Usage(%)  Microarchitecture Usage:CPI Rate  Module                                 Function (Full)                                                                                                                               Source File                      Start Address
---------------------------------------------------  --------  -----------------------  ------------------  ----------------------  --------------------  --------------------------  --------------------------------------------------  --------------------------------  -------------------------------------  --------------------------------------------------------------------------------------------------------------------------------------------  -------------------------------  -------------
raster_gouraud_ordered_bary_bs4                        2.699s                   2.699s                  0s                      0s        31,851,600,000                       31.0%                                               31.0%                             0.366  scene_tile_test                        raster_gouraud_ordered_bary_bs4                                                                                                               gouraud_branching_barycentric.c  0x235c0      
draw_scanline_gouraud_ordered_bary_bs4                 1.454s                   1.454s                  0s                      0s        15,717,900,000                       28.0%                                               28.0%                             0.400  scene_tile_test                        draw_scanline_gouraud_ordered_bary_bs4                                                                                                        gouraud_branching_barycentric.c  0x23762      
draw_scanline_gouraud_ordered_bary_bs4                 1.290s                   1.290s                  0s                      0s        15,886,200,000                                                                                                             0.361  scene_tile_test                        draw_scanline_gouraud_ordered_bary_bs4                                                                                                        gouraud_branching_barycentric.c  0x23934      
model_draw_face                                        1.219s                   1.219s                  0s                      0s        15,331,800,000                       61.4%                                               61.4%                             0.322  scene_tile_test                        model_draw_face                                                                                                                               render.c                         0x2b110      
game_render_sdl2                                       1.186s                   1.186s                  0s                      0s        10,550,100,000                       29.1%                                               29.1%                             0.464  scene_tile_test                        game_render_sdl2                                                                                                                              scene_tile_test.cpp              0x80cc       
bucket_sort_by_average_depth                           1.149s                   1.149s                  0s                      0s        10,032,000,000                       24.9%                                               24.9%                             0.479  scene_tile_test                        bucket_sort_by_average_depth                                                                                                                  render.c                         0x302b2      
draw_scanline_gouraud_ordered_bary_bs4                 1.054s                   1.054s                  0s                      0s        10,335,600,000                       27.8%                                               27.8%                             0.409  scene_tile_test                        draw_scanline_gouraud_ordered_bary_bs4                                                                                                        gouraud_branching_barycentric.c  0x23ca3      
iter_render_model_init                                 0.942s                   0.942s                  0s                      0s         3,240,600,000                        9.0%                                                9.0%                             1.210  scene_tile_test                        iter_render_model_init                                                                                                                        render.c                         0x30050      
render_scene_compute_ops                               0.884s                   0.884s                  0s                      0s         2,857,800,000                        8.2%                                                8.2%                             1.319  scene_tile_test                        render_scene_compute_ops                                                                                                                      render.c                         0x2d8b0      
raster_face_gouraud                                    0.767s                   0.767s                  0s                      0s        10,104,600,000                       32.2%                                               32.2%                             0.307  scene_tile_test                        raster_face_gouraud                                                                                                                           render_gouraud.u.c               0x23e40      
raster_gouraud_bary_bs4                                0.500s                   0.500s                  0s                      0s         4,455,000,000                       19.0%                                               19.0%                             0.484  scene_tile_test                        raster_gouraud_bary_bs4                                                                                                                       gouraud_branching_barycentric.c  0x24600      
__memmove_avx_unaligned_erms                           0.495s                   0.495s                  0s                      0s         1,065,900,000                        6.8%                                                6.8%                             1.957  libc.so.6                              __memmove_avx_unaligned_erms                                                                                                                  memmove-vec-unaligned-erms.S     0x188a00     
memcpy                                                 0.461s                   0.461s                  0s                      0s            46,200,000                        4.8%                                                4.8%                            43.214  scene_tile_test                        memcpy                                                                                                                                        string_fortified.h               0x8bf0       
sort_face_draw_order                                   0.390s                   0.390s                  0s                      0s         1,630,200,000                       10.5%                                               10.5%                             1.063  scene_tile_test                        sort_face_draw_order                                                                                                                          render.c                         0x304f0      
draw_scanline_gouraud_ordered_bary_bs4                 0.355s                   0.355s                  0s                      0s         4,530,900,000                       32.5%                                               32.5%                             0.347  scene_tile_test                        draw_scanline_gouraud_ordered_bary_bs4                                                                                                        gouraud_branching_barycentric.c  0x23afe      
parition_faces_by_priority                             0.338s                   0.338s                  0s                      0s         1,696,200,000                       11.5%                                               11.5%                             0.786  scene_tile_test                        parition_faces_by_priority                                                                                                                    render.c                         0x30404      
